Ticker,Date,open,high,low,close,volume
MCRB,2020-01-02,3.47,3.48,3.24,3.35,310314.0
MCRB,2020-01-03,3.29,3.44,3.25,3.27,281808.0
MCRB,2020-01-06,3.27,3.39,3.11,3.28,178060.0
MCRB,2020-01-07,3.27,3.33,3.13,3.19,277214.0
MCRB,2020-01-08,3.16,3.28,3.12,3.12,235376.0
MCRB,2020-01-09,3.14,3.18,3.1,3.11,163867.0
MCRB,2020-01-10,3.12,3.14,2.85,2.87,362164.0
MCRB,2020-01-13,2.96,3.01,2.86,2.99,235239.0
MCRB,2020-01-14,3.02,3.14,2.95,3.09,258223.0
MCRB,2020-01-15,3.05,3.3,3.03,3.27,221485.0
MCRB,2020-01-16,3.3,3.53,3.24,3.48,225784.0
MCRB,2020-01-17,3.51,3.54,3.3,3.43,265155.0
MCRB,2020-01-21,3.4,3.51,3.36,3.42,338737.0
MCRB,2020-01-22,3.44,3.51,3.34,3.45,79000.0
MCRB,2020-01-23,3.45,3.62,3.35,3.52,377532.0
MCRB,2020-01-24,3.51,3.55,3.08,3.13,278328.0
MCRB,2020-01-27,2.93,3.25,2.93,3.22,170062.0
MCRB,2020-01-28,3.26,3.32,3.19,3.22,94091.0
MCRB,2020-01-29,3.24,3.36,3.21,3.3,90800.0
MCRB,2020-01-30,3.25,3.36,3.2,3.34,223118.0
MCRB,2020-01-31,3.32,3.32,3.07,3.26,244678.0
MCRB,2020-02-03,3.3,3.47,3.26,3.44,129786.0
MCRB,2020-02-04,3.46,3.55,3.43,3.53,235263.0
MCRB,2020-02-05,3.58,3.77,3.55,3.65,274649.0
MCRB,2020-02-06,3.71,3.76,3.55,3.68,246714.0
MCRB,2020-02-07,3.66,3.76,3.51,3.52,317732.0
MCRB,2020-02-10,3.49,3.73,3.49,3.68,133969.0
MCRB,2020-02-11,3.65,3.8,3.61,3.64,143053.0
MCRB,2020-02-12,3.69,3.76,3.57,3.6,177080.0
MCRB,2020-02-13,3.6,3.65,3.44,3.56,172399.0
MCRB,2020-02-14,3.55,3.74,3.49,3.51,186296.0
MCRB,2020-02-18,3.51,3.84,3.42,3.62,157390.0
MCRB,2020-02-19,3.66,3.95,3.57,3.61,282626.0
MCRB,2020-02-20,3.61,3.9,3.61,3.81,196874.0
MCRB,2020-02-21,3.82,3.9,3.7,3.82,204078.0
MCRB,2020-02-24,3.7,3.71,3.5,3.52,126256.0
MCRB,2020-02-25,3.53,3.62,3.26,3.36,156140.0
MCRB,2020-02-26,3.37,3.57,3.36,3.57,144221.0
MCRB,2020-02-27,3.5,3.54,3.26,3.42,262334.0
MCRB,2020-02-28,3.25,3.41,3.14,3.14,270652.0
MCRB,2020-03-02,3.01,3.38,3.01,3.23,243632.0
MCRB,2020-03-03,3.17,3.4,3.08,3.37,237320.0
MCRB,2020-03-04,3.43,3.79,3.34,3.66,258719.0
MCRB,2020-03-05,3.56,3.9,3.46,3.54,253103.0
MCRB,2020-03-06,3.39,3.56,3.39,3.52,98152.0
MCRB,2020-03-09,3.27,3.4,3.11,3.17,192087.0
MCRB,2020-03-10,3.26,3.28,2.83,3.02,269278.0
MCRB,2020-03-11,3.01,3.07,2.59,2.64,721894.0
MCRB,2020-03-12,2.55,3.28,2.52,2.99,414467.0
MCRB,2020-03-13,2.93,3.31,2.8,3.22,768443.0
MCRB,2020-03-16,3.05,3.15,2.69,2.72,183834.0
MCRB,2020-03-17,2.77,3.2,2.68,3.12,294348.0
MCRB,2020-03-18,2.9,3.01,2.76,2.82,282068.0
MCRB,2020-03-19,2.86,3.22,2.7,3.22,297289.0
MCRB,2020-03-20,3.31,3.35,3.06,3.1,275382.0
MCRB,2020-03-23,3.14,3.6,3.04,3.4,530604.0
MCRB,2020-03-24,3.47,3.99,3.16,3.53,624898.0
MCRB,2020-03-25,3.52,3.98,3.31,3.43,453116.0
MCRB,2020-03-26,3.5,3.79,3.43,3.5,259747.0
MCRB,2020-03-27,3.47,3.85,3.3,3.43,253434.0
MCRB,2020-03-30,3.44,3.84,3.44,3.7,327765.0
MCRB,2020-03-31,3.69,3.71,3.27,3.57,187029.0
MCRB,2020-04-01,3.58,3.58,3.27,3.29,145373.0
MCRB,2020-04-02,3.22,3.28,3.04,3.16,279272.0
MCRB,2020-04-03,3.1,3.24,3.01,3.04,126650.0
MCRB,2020-04-06,3.14,3.47,3.14,3.32,247856.0
MCRB,2020-04-07,3.41,3.55,3.1,3.16,189406.0
MCRB,2020-04-08,3.15,3.51,3.08,3.34,163470.0
MCRB,2020-04-09,3.47,3.57,3.35,3.39,246265.0
MCRB,2020-04-13,3.38,3.77,3.36,3.55,340757.0
MCRB,2020-04-14,3.57,3.99,3.36,3.55,654625.0
MCRB,2020-04-15,3.47,3.92,3.47,3.7,209562.0
MCRB,2020-04-16,3.72,3.88,3.67,3.79,229619.0
MCRB,2020-04-17,3.92,3.98,3.74,3.9,332834.0
MCRB,2020-04-20,3.8,4.31,3.7,3.91,457187.0
MCRB,2020-04-21,3.82,3.93,3.5,3.68,205202.0
MCRB,2020-04-22,3.73,3.91,3.69,3.74,167327.0
MCRB,2020-04-23,3.84,3.94,3.56,3.56,258219.0
MCRB,2020-04-24,3.55,3.72,3.48,3.63,213570.0
MCRB,2020-04-27,3.73,4.29,3.6,3.88,770951.0
