Ticker,Date,open,high,low,close,volume
MELI,2020-01-02,576.94,615.84,576.94,610.19,588236.0
MELI,2020-01-03,602.62,609.84,600.06,607.8,320950.0
MELI,2020-01-06,601.04,613.79,601.0,606.55,209816.0
MELI,2020-01-07,606.64,627.97,604.74,625.0,481971.0
MELI,2020-01-08,625.0,637.82,624.55,633.44,334640.0
MELI,2020-01-09,643.43,649.05,638.59,646.43,413868.0
MELI,2020-01-10,653.79,670.15,648.63,669.48,680178.0
MELI,2020-01-13,670.44,697.22,670.07,691.1,660948.0
MELI,2020-01-14,690.0,693.98,649.24,652.07,976607.0
MELI,2020-01-15,653.4,662.57,640.01,659.98,592390.0
MELI,2020-01-16,665.83,667.11,653.37,666.46,315478.0
MELI,2020-01-17,671.49,675.0,661.77,673.01,359200.0
MELI,2020-01-21,665.0,666.77,647.0,658.46,590929.0
MELI,2020-01-22,667.46,677.77,662.34,663.15,357222.0
MELI,2020-01-23,660.93,669.99,653.38,663.33,265940.0
MELI,2020-01-24,666.4,674.89,654.04,660.58,272974.0
MELI,2020-01-27,647.0,655.41,636.37,653.86,338440.0
MELI,2020-01-28,661.22,676.31,657.77,674.72,359628.0
MELI,2020-01-29,678.99,681.0,666.02,668.61,367439.0
MELI,2020-01-30,663.3,672.5,656.68,671.08,266963.0
MELI,2020-01-31,670.99,670.99,660.93,663.0,302033.0
MELI,2020-02-03,667.0,680.62,665.54,677.98,341108.0
MELI,2020-02-04,691.44,711.17,684.22,709.86,506182.0
MELI,2020-02-05,725.19,725.19,674.01,675.84,654261.0
MELI,2020-02-06,689.4,689.4,668.49,671.0,395508.0
MELI,2020-02-07,671.0,678.22,642.92,646.02,960390.0
MELI,2020-02-10,647.1,660.97,646.15,658.23,696329.0
MELI,2020-02-11,633.31,661.99,608.87,651.62,1452149.0
MELI,2020-02-12,656.88,700.96,655.81,699.82,926532.0
MELI,2020-02-13,697.87,720.69,684.07,718.53,1111053.0
MELI,2020-02-14,720.87,735.24,718.06,735.01,967937.0
MELI,2020-02-18,734.38,734.38,725.0,728.45,914879.0
MELI,2020-02-19,733.76,745.0,732.15,742.74,530262.0
MELI,2020-02-20,742.79,756.48,728.0,742.59,730955.0
MELI,2020-02-21,739.88,747.42,721.49,735.6,562845.0
MELI,2020-02-24,701.01,701.01,666.67,673.46,1281062.0
MELI,2020-02-25,698.64,702.0,626.9,630.0,1261020.0
MELI,2020-02-26,635.94,661.84,626.01,632.05,1290426.0
MELI,2020-02-27,614.86,633.17,600.0,600.0,869711.0
MELI,2020-02-28,577.03,617.0,572.77,616.03,1053040.0
MELI,2020-03-02,621.24,643.4,613.4,642.11,644482.0
MELI,2020-03-03,649.99,670.0,615.91,624.73,606771.0
MELI,2020-03-04,647.6,658.95,642.39,653.63,471584.0
MELI,2020-03-05,629.25,647.66,622.05,627.88,403405.0
MELI,2020-03-06,600.0,618.06,585.89,614.51,599844.0
MELI,2020-03-09,547.36,581.98,537.99,539.64,1046395.0
MELI,2020-03-10,566.35,599.08,546.03,599.07,809034.0
MELI,2020-03-11,578.01,583.44,539.79,550.72,580500.0
MELI,2020-03-12,496.22,520.0,472.25,502.0,1437395.0
MELI,2020-03-13,534.43,549.97,493.8,535.69,1229824.0
MELI,2020-03-16,455.0,507.16,451.0,467.32,906808.0
MELI,2020-03-17,472.08,500.0,425.65,490.69,1124989.0
MELI,2020-03-18,455.0,498.1,422.22,452.17,1072117.0
MELI,2020-03-19,450.0,474.09,436.23,463.53,673042.0
MELI,2020-03-20,472.88,525.53,451.5,452.88,822295.0
MELI,2020-03-23,453.34,486.08,425.38,457.65,897678.0
MELI,2020-03-24,490.0,505.22,477.02,490.0,839255.0
MELI,2020-03-25,497.43,518.85,480.0,482.65,880181.0
MELI,2020-03-26,489.35,500.79,467.15,489.56,1047886.0
MELI,2020-03-27,479.41,485.9,455.41,471.43,578384.0
MELI,2020-03-30,474.54,489.34,470.01,473.29,640071.0
MELI,2020-03-31,475.86,499.9,473.5,488.58,662564.0
MELI,2020-04-01,466.0,468.99,435.04,447.34,965918.0
MELI,2020-04-02,445.47,472.2,443.0,462.87,795414.0
MELI,2020-04-03,452.72,460.96,443.01,454.47,868470.0
MELI,2020-04-06,473.88,509.25,470.09,506.16,688257.0
MELI,2020-04-07,547.19,554.93,507.59,525.67,711511.0
MELI,2020-04-08,536.25,548.0,527.08,544.0,391283.0
MELI,2020-04-09,551.04,557.85,527.08,533.28,497028.0
MELI,2020-04-13,528.02,546.99,517.01,543.0,401423.0
MELI,2020-04-14,558.72,577.24,551.62,562.02,644479.0
MELI,2020-04-15,551.87,595.84,540.9,588.64,667031.0
MELI,2020-04-16,611.25,633.2,590.01,612.71,932903.0
MELI,2020-04-17,626.18,628.13,582.81,597.5,558253.0
MELI,2020-04-20,593.72,617.96,591.0,601.64,550706.0
MELI,2020-04-21,595.72,598.15,562.0,573.38,546844.0
MELI,2020-04-22,586.99,615.0,570.09,601.05,669957.0
MELI,2020-04-23,609.01,615.0,582.13,586.71,429297.0
MELI,2020-04-24,590.26,597.13,553.61,571.27,728613.0
MELI,2020-04-27,591.43,593.0,575.0,589.47,398845.0
MELI,2020-04-28,592.02,606.36,589.0,598.54,456828.0
MELI,2020-04-29,605.01,611.76,591.04,602.42,497320.0
MELI,2020-04-30,603.87,606.69,579.01,583.51,604468.0
MELI,2020-05-01,571.4,609.81,570.01,605.52,699100.0
MELI,2020-05-04,596.3,610.4,592.72,607.4,415834.0
MELI,2020-05-05,618.85,633.9,610.83,620.94,861762.0
MELI,2020-05-06,734.0,777.97,729.09,742.88,2359081.0
MELI,2020-05-07,750.0,772.72,738.68,772.02,853094.0
MELI,2020-05-08,773.59,798.1,761.41,784.52,629401.0
MELI,2020-05-11,780.0,805.84,776.59,781.11,501292.0
MELI,2020-05-12,785.16,794.43,761.25,762.09,512676.0
MELI,2020-05-13,765.61,777.98,753.12,768.54,645888.0
MELI,2020-05-14,760.03,778.95,746.01,777.27,487434.0
MELI,2020-05-15,764.27,783.74,764.27,775.05,350538.0
MELI,2020-05-18,792.53,804.65,786.03,794.56,426164.0
MELI,2020-05-19,802.88,827.33,799.25,805.96,672610.0
MELI,2020-05-20,821.05,842.7,817.22,828.31,526673.0
MELI,2020-05-21,825.61,831.02,802.06,814.71,482345.0
MELI,2020-05-22,812.99,843.38,804.85,841.31,440683.0
MELI,2020-05-26,859.14,864.05,828.32,834.17,546350.0
MELI,2020-05-27,833.86,836.29,783.01,820.83,647723.0
MELI,2020-05-28,817.11,838.43,811.21,827.16,360756.0
MELI,2020-05-29,835.0,855.0,830.95,851.67,555378.0
MELI,2020-06-01,852.67,860.71,842.0,844.08,298951.0
MELI,2020-06-02,844.5,867.23,837.76,859.77,469014.0
MELI,2020-06-03,865.46,874.0,850.65,853.52,489568.0
MELI,2020-06-04,849.05,877.68,838.09,839.99,452705.0
MELI,2020-06-05,850.0,871.0,839.52,866.93,414073.0
MELI,2020-06-08,866.94,868.05,840.43,858.86,571401.0
MELI,2020-06-09,849.75,876.73,848.69,866.43,388503.0
MELI,2020-06-10,877.0,892.94,863.02,886.78,448327.0
MELI,2020-06-11,873.62,889.87,845.86,855.0,485260.0
MELI,2020-06-12,874.43,900.8,869.23,896.43,761705.0
MELI,2020-06-15,885.86,940.38,877.02,924.0,647777.0
MELI,2020-06-16,958.02,964.84,923.25,950.26,635103.0
MELI,2020-06-17,960.31,967.27,928.66,935.73,491870.0
MELI,2020-06-18,930.0,937.57,922.09,926.02,439850.0
MELI,2020-06-19,929.19,961.99,922.5,952.96,507272.0
MELI,2020-06-22,953.94,989.0,953.01,984.54,502151.0
MELI,2020-06-23,995.3,998.11,976.38,977.49,457081.0
MELI,2020-06-24,978.34,988.52,942.0,953.77,460299.0
MELI,2020-06-25,950.35,972.95,944.35,971.44,333232.0
MELI,2020-06-26,974.51,985.03,952.62,973.17,500846.0
MELI,2020-06-29,970.3,987.0,949.98,980.83,335566.0
MELI,2020-06-30,982.0,989.99,971.01,985.77,301000.0
MELI,2020-07-01,985.0,993.05,968.83,977.14,525753.0
MELI,2020-07-02,991.91,997.99,982.6,988.42,316771.0
MELI,2020-07-06,1001.93,1035.58,990.0,995.93,626549.0
MELI,2020-07-07,1000.58,1023.48,986.9,1007.24,408458.0
MELI,2020-07-08,1020.75,1020.98,1001.44,1015.0,386103.0
MELI,2020-07-09,1026.26,1026.26,991.82,1018.41,455659.0
MELI,2020-07-10,1020.0,1035.85,1001.61,1035.83,292509.0
MELI,2020-07-13,1058.01,1125.0,979.82,981.97,539155.0
MELI,2020-07-14,972.14,1000.0,950.41,972.63,659780.0
MELI,2020-07-15,978.28,987.18,956.81,971.63,528516.0
MELI,2020-07-16,959.66,965.72,945.79,956.62,329731.0
MELI,2020-07-17,964.62,972.95,941.44,964.72,303029.0
MELI,2020-07-20,980.34,1029.93,975.0,1024.81,458853.0
MELI,2020-07-21,1059.99,1059.99,1013.39,1018.9,405358.0
MELI,2020-07-22,1029.15,1046.8,1003.83,1019.39,341895.0
MELI,2020-07-23,1018.45,1034.23,976.82,982.3,379660.0
MELI,2020-07-24,968.03,1002.47,952.22,988.99,449649.0
MELI,2020-07-27,1004.48,1081.74,996.0,1070.44,563192.0
MELI,2020-07-28,1063.0,1066.33,1039.56,1039.56,298042.0
MELI,2020-07-29,1060.68,1095.35,1053.75,1086.91,475517.0
MELI,2020-07-30,1085.55,1131.89,1074.09,1107.5,781790.0
MELI,2020-07-31,1147.11,1150.82,1085.15,1124.62,726538.0
MELI,2020-08-03,1124.99,1181.99,1124.99,1172.62,521591.0
MELI,2020-08-04,1170.72,1175.0,1151.12,1173.93,396389.0
MELI,2020-08-05,1186.72,1234.27,1181.61,1225.45,620168.0
MELI,2020-08-06,1235.34,1248.22,1200.15,1219.96,423946.0
MELI,2020-08-07,1218.0,1235.0,1162.32,1193.97,878194.0
MELI,2020-08-10,1267.0,1270.0,1090.0,1124.31,1101577.0
MELI,2020-08-11,1137.99,1146.0,1097.72,1100.01,670450.0
MELI,2020-08-12,1117.42,1138.97,1101.22,1111.64,566989.0
MELI,2020-08-13,1122.51,1161.82,1121.0,1157.05,839281.0
MELI,2020-08-14,1171.65,1172.49,1145.0,1156.44,351173.0
MELI,2020-08-17,1171.76,1197.59,1165.01,1189.87,429033.0
MELI,2020-08-18,1191.0,1221.32,1180.0,1208.64,443151.0
MELI,2020-08-19,1213.78,1229.72,1198.0,1212.45,411748.0
MELI,2020-08-20,1200.02,1221.08,1195.53,1218.3,252929.0
MELI,2020-08-21,1211.0,1221.06,1200.0,1202.28,291355.0
MELI,2020-08-24,1217.0,1231.59,1198.66,1212.09,278947.0
MELI,2020-08-25,1210.38,1233.99,1200.3,1224.0,274472.0
MELI,2020-08-26,1230.06,1244.15,1208.2,1215.93,463554.0
MELI,2020-08-27,1224.73,1225.08,1199.0,1201.4,253559.0
MELI,2020-08-28,1208.01,1220.06,1172.86,1178.9,587370.0
MELI,2020-08-31,1174.75,1176.3,1128.56,1168.59,706303.0
MELI,2020-09-01,1200.0,1222.68,1195.63,1209.26,671539.0
MELI,2020-09-02,1221.11,1225.0,1171.63,1195.96,717677.0
MELI,2020-09-03,1168.48,1177.38,1067.92,1087.12,1097642.0
MELI,2020-09-04,1085.01,1102.29,1000.0,1083.38,899671.0
MELI,2020-09-08,1015.08,1078.7,1014.54,1022.53,714156.0
MELI,2020-09-09,1065.81,1070.52,1030.1,1057.34,667939.0
MELI,2020-09-10,1069.74,1090.82,1030.19,1040.99,689057.0
MELI,2020-09-11,1046.35,1055.0,1015.49,1032.98,405351.0
MELI,2020-09-14,1056.0,1065.0,1026.23,1036.77,449434.0
MELI,2020-09-15,1051.95,1054.71,1015.0,1029.99,451331.0
MELI,2020-09-16,1035.0,1048.81,1000.51,1003.0,463299.0
MELI,2020-09-17,979.99,995.82,959.87,980.15,737991.0
MELI,2020-09-18,987.03,1005.55,970.85,998.06,609703.0
MELI,2020-09-21,984.39,1012.14,966.74,1011.99,423615.0
MELI,2020-09-22,1023.0,1061.91,1011.01,1060.97,626924.0
MELI,2020-09-23,1072.72,1072.72,1010.6,1020.96,547405.0
MELI,2020-09-24,1003.63,1048.94,986.83,1034.63,553812.0
MELI,2020-09-25,1034.06,1068.39,1018.41,1062.0,419537.0
MELI,2020-09-28,1101.57,1107.86,1070.0,1093.43,472570.0
MELI,2020-09-29,1095.43,1095.43,1068.0,1082.87,235339.0
MELI,2020-09-30,1085.0,1098.0,1076.65,1082.48,348154.0
MELI,2020-10-01,1097.99,1117.86,1095.91,1115.34,424261.0
MELI,2020-10-02,1083.55,1105.0,1063.7,1079.33,405613.0
MELI,2020-10-05,1085.78,1097.61,1079.08,1090.58,315150.0
MELI,2020-10-06,1086.79,1116.65,1085.01,1091.39,412658.0
MELI,2020-10-07,1105.7,1149.0,1094.86,1145.0,555889.0
MELI,2020-10-08,1158.54,1173.43,1150.72,1160.37,448227.0
MELI,2020-10-09,1165.13,1202.99,1162.8,1199.84,455356.0
MELI,2020-10-12,1236.23,1239.0,1201.89,1215.75,542212.0
MELI,2020-10-13,1227.84,1280.44,1202.23,1269.17,583493.0
MELI,2020-10-14,1270.0,1283.96,1217.17,1238.7,605761.0
MELI,2020-10-15,1212.13,1261.92,1206.0,1257.89,468176.0
MELI,2020-10-16,1269.89,1280.52,1258.05,1271.38,363859.0
MELI,2020-10-19,1273.0,1298.81,1266.78,1284.05,645125.0
MELI,2020-10-20,1297.99,1378.5,1295.01,1333.66,741957.0
MELI,2020-10-21,1333.43,1374.93,1286.77,1299.13,708249.0
MELI,2020-10-22,1293.67,1316.0,1269.4,1294.32,377443.0
MELI,2020-10-23,1300.01,1312.67,1282.74,1312.16,262070.0
MELI,2020-10-26,1303.08,1327.39,1255.38,1281.44,346791.0
MELI,2020-10-27,1285.95,1293.81,1267.1,1282.47,328198.0
MELI,2020-10-28,1248.0,1285.99,1237.46,1273.59,325089.0
MELI,2020-10-29,1288.88,1314.77,1267.93,1300.98,394765.0
MELI,2020-10-30,1279.41,1292.78,1195.01,1214.05,620500.0
MELI,2020-11-02,1229.45,1252.0,1192.14,1215.86,406891.0
MELI,2020-11-03,1220.0,1242.77,1196.63,1233.97,330178.0
MELI,2020-11-04,1282.0,1321.16,1275.0,1315.69,610120.0
MELI,2020-11-05,1405.1,1460.0,1372.76,1437.8,902246.0
MELI,2020-11-06,1433.98,1490.66,1395.68,1485.86,567822.0
MELI,2020-11-09,1445.51,1450.42,1330.0,1330.72,961946.0
MELI,2020-11-10,1325.88,1325.93,1219.14,1226.03,1031196.0
MELI,2020-11-11,1274.39,1339.1,1267.52,1304.49,700127.0
MELI,2020-11-12,1315.0,1355.0,1293.56,1296.0,631942.0
MELI,2020-11-13,1321.73,1335.46,1285.46,1301.66,446168.0
MELI,2020-11-16,1286.55,1311.9,1275.89,1286.31,445836.0
MELI,2020-11-17,1298.04,1312.53,1283.0,1300.81,400088.0
MELI,2020-11-18,1305.31,1327.41,1290.89,1318.09,498591.0
MELI,2020-11-19,1324.96,1383.96,1312.31,1370.3,485092.0
MELI,2020-11-20,1372.93,1423.97,1365.58,1416.99,615525.0
MELI,2020-11-23,1431.47,1458.1,1413.99,1451.77,640614.0
