Ticker,Date,open,high,low,close,volume
MTLS,2020-01-02,18.47,18.68,18.4,18.61,45401.0
MTLS,2020-01-03,18.43,18.74,18.24,18.3,96240.0
MTLS,2020-01-06,18.13,18.4,18.11,18.26,51230.0
MTLS,2020-01-07,18.26,18.62,18.07,18.51,35669.0
MTLS,2020-01-08,18.48,19.09,18.48,19.09,29440.0
MTLS,2020-01-09,19.19,19.33,19.01,19.2,36570.0
MTLS,2020-01-10,18.34,19.25,18.24,19.02,60285.0
MTLS,2020-01-13,18.72,19.25,18.72,19.1,48555.0
MTLS,2020-01-14,19.19,19.49,18.9,19.35,63579.0
MTLS,2020-01-15,19.19,19.42,18.63,19.01,110636.0
MTLS,2020-01-16,18.95,19.22,18.73,18.78,81310.0
MTLS,2020-01-17,18.84,19.02,18.48,18.96,77239.0
MTLS,2020-01-21,18.96,19.08,18.82,18.98,30453.0
MTLS,2020-01-22,18.98,19.11,18.74,18.74,38294.0
MTLS,2020-01-23,18.53,18.88,18.52,18.78,47852.0
MTLS,2020-01-24,18.62,19.3,18.62,19.26,72153.0
MTLS,2020-01-27,18.75,18.9,18.34,18.34,16824.0
MTLS,2020-01-28,18.54,18.82,18.37,18.82,26695.0
MTLS,2020-01-29,18.79,18.82,18.47,18.47,16472.0
MTLS,2020-01-30,18.11,18.62,18.11,18.61,27195.0
MTLS,2020-01-31,18.43,18.54,18.0,18.18,70072.0
MTLS,2020-02-03,18.25,18.42,18.2,18.27,41684.0
MTLS,2020-02-04,18.51,18.65,18.32,18.5,18021.0
MTLS,2020-02-05,18.62,19.1,18.32,19.1,44961.0
MTLS,2020-02-06,19.04,19.14,18.6,19.03,20990.0
MTLS,2020-02-07,18.82,18.82,18.12,18.12,20244.0
MTLS,2020-02-10,18.12,18.75,18.12,18.75,25018.0
MTLS,2020-02-11,18.95,19.05,18.75,19.05,30761.0
MTLS,2020-02-12,19.1,19.75,19.0,19.67,112716.0
MTLS,2020-02-13,19.36,19.74,18.01,19.43,39088.0
MTLS,2020-02-14,19.2,19.76,19.15,19.52,37444.0
MTLS,2020-02-18,19.17,19.51,18.76,18.84,47706.0
MTLS,2020-02-19,18.89,19.65,18.89,19.62,47952.0
MTLS,2020-02-20,19.75,19.8,19.03,19.8,39687.0
MTLS,2020-02-21,19.13,19.45,19.01,19.25,61118.0
MTLS,2020-02-24,18.5,19.0,18.41,19.0,40176.0
MTLS,2020-02-25,18.65,18.99,17.83,17.93,100376.0
MTLS,2020-02-26,17.75,18.02,17.0,17.0,103408.0
MTLS,2020-02-27,16.97,17.32,16.37,17.24,156887.0
MTLS,2020-02-28,16.3,16.96,16.3,16.54,65173.0
