Ticker,Date,open,high,low,close,volume
MTRX,2020-01-02,23.08,23.08,22.32,22.52,123320.0
MTRX,2020-01-03,22.61,22.74,22.3,22.46,152355.0
MTRX,2020-01-06,22.4,22.77,22.2,22.7,88035.0
MTRX,2020-01-07,22.52,22.65,22.14,22.26,89117.0
MTRX,2020-01-08,22.21,22.27,22.0,22.03,71101.0
MTRX,2020-01-09,22.03,22.06,21.69,21.84,131313.0
MTRX,2020-01-10,21.82,21.87,21.35,21.4,109285.0
MTRX,2020-01-13,21.38,21.66,21.26,21.49,111690.0
MTRX,2020-01-14,21.39,21.6,21.26,21.35,148628.0
MTRX,2020-01-15,21.22,21.38,21.01,21.08,143837.0
MTRX,2020-01-16,21.29,21.6,21.27,21.37,80886.0
MTRX,2020-01-17,21.51,21.53,21.14,21.25,90159.0
MTRX,2020-01-21,21.12,21.49,21.04,21.35,149539.0
MTRX,2020-01-22,21.34,21.37,20.98,21.17,120061.0
MTRX,2020-01-23,20.98,21.37,20.81,21.31,157990.0
MTRX,2020-01-24,21.26,21.26,20.55,20.77,104986.0
MTRX,2020-01-27,20.3,20.68,20.13,20.34,120736.0
MTRX,2020-01-28,20.45,20.55,20.16,20.22,109137.0
MTRX,2020-01-29,20.3,20.35,20.02,20.18,112924.0
MTRX,2020-01-30,20.0,20.5,20.0,20.47,78998.0
MTRX,2020-01-31,20.24,20.42,19.98,20.12,132309.0
MTRX,2020-02-03,20.14,20.38,19.75,19.84,179804.0
MTRX,2020-02-04,20.08,20.27,19.51,19.57,201595.0
MTRX,2020-02-05,19.9,20.36,19.84,19.85,103805.0
MTRX,2020-02-06,14.02,14.6,12.8,12.85,1018548.0
MTRX,2020-02-07,13.06,13.16,12.42,12.8,537729.0
MTRX,2020-02-10,12.62,12.77,12.13,12.66,412211.0
MTRX,2020-02-11,12.79,13.61,12.79,13.53,366929.0
MTRX,2020-02-12,13.81,14.23,13.48,13.73,279107.0
MTRX,2020-02-13,13.62,13.93,13.62,13.83,191015.0
MTRX,2020-02-14,13.85,14.26,13.85,14.08,212494.0
MTRX,2020-02-18,13.96,14.36,13.78,14.33,142575.0
MTRX,2020-02-19,14.95,16.0,14.78,15.1,484308.0
MTRX,2020-02-20,15.15,15.5,14.59,14.77,217704.0
MTRX,2020-02-21,14.75,14.81,14.34,14.72,217848.0
MTRX,2020-02-24,14.25,14.54,13.97,14.28,147471.0
MTRX,2020-02-25,14.26,14.36,13.99,14.15,474694.0
MTRX,2020-02-26,14.19,14.26,13.51,13.57,326700.0
MTRX,2020-02-27,13.27,13.62,12.84,12.86,384192.0
MTRX,2020-02-28,12.49,12.87,11.93,12.08,327957.0
MTRX,2020-03-02,12.08,12.35,11.7,12.32,211466.0
MTRX,2020-03-03,12.32,12.61,12.03,12.13,304524.0
MTRX,2020-03-04,12.25,12.7,11.95,12.62,248642.0
MTRX,2020-03-05,12.4,12.69,11.93,12.65,217923.0
MTRX,2020-03-06,12.2,12.61,12.13,12.47,304521.0
MTRX,2020-03-09,9.89,11.93,9.79,11.55,348448.0
MTRX,2020-03-10,12.01,12.12,11.41,11.82,405783.0
MTRX,2020-03-11,11.49,11.49,10.94,11.07,222706.0
MTRX,2020-03-12,10.29,11.06,9.91,10.06,314942.0
MTRX,2020-03-13,10.74,11.48,10.68,11.46,343463.0
MTRX,2020-03-16,10.46,12.02,10.08,11.52,203201.0
MTRX,2020-03-17,11.66,13.21,11.31,12.17,312280.0
MTRX,2020-03-18,11.64,11.64,7.11,7.46,415689.0
MTRX,2020-03-19,7.6,9.21,7.39,8.9,335053.0
MTRX,2020-03-20,8.75,9.04,7.76,8.46,361473.0
MTRX,2020-03-23,8.33,8.59,7.81,8.43,343441.0
MTRX,2020-03-24,8.78,9.09,8.22,8.58,275093.0
MTRX,2020-03-25,8.58,8.95,7.81,8.61,307089.0
MTRX,2020-03-26,8.65,9.53,8.49,9.06,386534.0
MTRX,2020-03-27,8.93,9.46,8.57,9.07,250090.0
MTRX,2020-03-30,9.06,9.48,8.74,9.31,230610.0
MTRX,2020-03-31,9.58,9.58,9.25,9.47,273341.0
