Ticker,Date,open,high,low,close,volume
NET,2020-01-02,17.24,17.35,16.8,17.03,706092.0
NET,2020-01-03,16.96,17.33,16.82,17.17,594403.0
NET,2020-01-06,17.15,17.95,16.98,17.69,1261809.0
NET,2020-01-07,17.67,17.85,17.3,17.67,568971.0
NET,2020-01-08,17.65,18.0,17.5,17.78,543817.0
NET,2020-01-09,18.12,18.12,17.0,17.02,924376.0
NET,2020-01-10,17.26,17.64,17.1,17.48,653595.0
NET,2020-01-13,17.7,18.54,17.63,18.36,840797.0
NET,2020-01-14,18.52,18.85,18.11,18.7,775592.0
NET,2020-01-15,18.7,19.3,18.7,18.85,1229327.0
NET,2020-01-16,19.11,19.24,18.64,18.96,700445.0
NET,2020-01-17,19.14,19.3,18.4,18.6,542730.0
NET,2020-01-21,18.56,18.9,18.0,18.0,636082.0
NET,2020-01-22,18.19,18.49,17.98,18.05,526465.0
NET,2020-01-23,18.05,18.18,17.76,18.17,407089.0
NET,2020-01-24,18.18,18.68,17.72,17.77,648911.0
NET,2020-01-27,17.34,17.86,17.02,17.82,666353.0
NET,2020-01-28,17.77,18.13,17.63,18.08,481617.0
NET,2020-01-29,18.19,18.27,17.59,17.59,451812.0
NET,2020-01-30,17.91,18.37,17.66,18.32,595331.0
NET,2020-01-31,18.31,18.35,17.74,17.86,537810.0
NET,2020-02-03,18.0,18.19,17.52,17.69,640377.0
NET,2020-02-04,17.9,18.4,17.77,17.93,964497.0
NET,2020-02-05,18.16,18.29,17.65,18.0,1161752.0
NET,2020-02-06,18.0,18.05,17.72,17.77,545126.0
NET,2020-02-07,17.88,18.35,17.8,18.17,595443.0
NET,2020-02-10,18.23,19.2,18.1,18.34,1358517.0
NET,2020-02-11,18.41,19.23,18.36,18.37,1455929.0
NET,2020-02-12,18.55,18.6,17.55,17.82,1429948.0
NET,2020-02-13,17.75,18.21,17.72,18.07,1715473.0
NET,2020-02-14,18.46,18.7,17.22,17.75,4739910.0
NET,2020-02-18,17.7,17.92,17.24,17.5,2840130.0
NET,2020-02-19,17.45,18.23,17.35,18.01,7996744.0
NET,2020-02-20,18.15,21.35,18.1,20.3,10976178.0
NET,2020-02-21,20.3,21.35,20.3,21.02,3428297.0
NET,2020-02-24,19.75,20.48,19.27,19.81,2941188.0
NET,2020-02-25,19.91,20.44,19.0,20.29,4153977.0
NET,2020-02-26,20.2,22.69,20.02,22.11,7310726.0
NET,2020-02-27,20.65,22.52,20.51,21.94,5353652.0
NET,2020-02-28,21.03,21.79,19.83,21.3,3932458.0
NET,2020-03-02,21.69,22.08,20.38,22.08,3115414.0
NET,2020-03-03,22.33,22.4,21.0,22.08,2232096.0
NET,2020-03-04,22.35,23.42,22.09,22.7,3042514.0
