Ticker,Date,open,high,low,close,volume
NIU,2020-01-02,8.66,8.91,8.5,8.73,175973.0
NIU,2020-01-03,8.58,8.7,8.45,8.58,161908.0
NIU,2020-01-06,8.5,8.67,8.4,8.5,103284.0
NIU,2020-01-07,8.55,8.65,8.4,8.48,112926.0
NIU,2020-01-08,8.26,8.3,7.54,8.27,299200.0
NIU,2020-01-09,8.28,8.49,8.06,8.1,117921.0
NIU,2020-01-10,8.07,8.26,7.94,8.09,206700.0
NIU,2020-01-13,8.06,8.48,8.06,8.39,117944.0
NIU,2020-01-14,8.5,8.59,8.48,8.5,99167.0
NIU,2020-01-15,8.46,8.58,8.46,8.52,67447.0
NIU,2020-01-16,8.52,8.72,8.5,8.64,121583.0
NIU,2020-01-17,8.64,9.16,8.55,9.1,210824.0
NIU,2020-01-21,9.1,9.22,8.71,9.17,338474.0
NIU,2020-01-22,9.22,9.37,9.05,9.34,152753.0
NIU,2020-01-23,9.2,9.36,9.0,9.33,96172.0
NIU,2020-01-24,9.29,9.39,9.11,9.32,114894.0
NIU,2020-01-27,8.31,9.04,8.1,8.98,437661.0
NIU,2020-01-28,8.95,9.13,8.9,9.03,473694.0
NIU,2020-01-29,9.08,9.1,8.8,8.89,405063.0
NIU,2020-01-30,8.78,8.78,8.6,8.63,228174.0
NIU,2020-01-31,8.6,8.82,8.6,8.76,153203.0
NIU,2020-02-03,8.7,8.98,8.6,8.81,87912.0
NIU,2020-02-04,8.9,9.13,8.56,8.92,334508.0
NIU,2020-02-05,8.96,9.08,8.84,8.96,108303.0
NIU,2020-02-06,9.09,10.03,9.06,9.98,528366.0
NIU,2020-02-07,9.7,10.1,9.6,9.79,268974.0
NIU,2020-02-10,9.75,9.9,9.25,9.29,198565.0
NIU,2020-02-11,9.3,9.67,9.26,9.48,348854.0
NIU,2020-02-12,9.5,9.85,9.5,9.69,130180.0
NIU,2020-02-13,9.59,9.86,9.52,9.69,129552.0
NIU,2020-02-14,9.56,9.7,9.2,9.36,168880.0
NIU,2020-02-18,9.36,9.64,9.35,9.44,124722.0
NIU,2020-02-19,9.5,9.77,9.35,9.6,78404.0
NIU,2020-02-20,9.6,10.0,9.51,9.97,209077.0
NIU,2020-02-21,9.88,9.88,9.22,9.38,220527.0
NIU,2020-02-24,9.0,9.1,8.77,8.88,175727.0
NIU,2020-02-25,8.97,9.11,8.62,8.63,128765.0
NIU,2020-02-26,8.59,9.0,8.59,8.65,460394.0
NIU,2020-02-27,8.6,8.86,8.3,8.6,222781.0
NIU,2020-02-28,8.39,8.66,8.36,8.52,218214.0
NIU,2020-03-02,8.6,8.8,8.35,8.8,169809.0
NIU,2020-03-03,8.98,8.98,8.53,8.79,144533.0
NIU,2020-03-04,8.82,8.88,8.63,8.76,82950.0
NIU,2020-03-05,8.65,8.77,8.43,8.63,155489.0
NIU,2020-03-06,8.43,8.68,8.34,8.62,194995.0
NIU,2020-03-09,8.29,8.49,7.9,8.13,317821.0
NIU,2020-03-10,8.4,8.5,8.22,8.36,163653.0
NIU,2020-03-11,8.17,8.25,7.74,7.93,461168.0
NIU,2020-03-12,7.43,7.44,6.9,7.13,324962.0
NIU,2020-03-13,7.59,7.7,7.13,7.37,131580.0
NIU,2020-03-16,6.8,7.0,6.4,6.55,238768.0
NIU,2020-03-17,6.8,7.7,6.5,7.55,209609.0
NIU,2020-03-18,6.91,7.3,6.56,6.87,149060.0
NIU,2020-03-19,6.81,7.14,6.52,6.73,186697.0
NIU,2020-03-20,6.81,6.98,6.5,6.57,235946.0
NIU,2020-03-23,6.58,6.58,6.16,6.17,175544.0
NIU,2020-03-24,6.41,6.69,6.08,6.3,529686.0
NIU,2020-03-25,6.4,6.9,6.25,6.77,193062.0
NIU,2020-03-26,6.89,7.37,6.76,7.24,142128.0
NIU,2020-03-27,6.96,7.13,6.84,6.89,69256.0
NIU,2020-03-30,6.84,7.17,6.6,6.91,88507.0
NIU,2020-03-31,7.1,7.24,6.88,6.97,95232.0
NIU,2020-04-01,6.96,7.17,6.78,6.91,95765.0
NIU,2020-04-02,6.83,6.99,6.5,6.61,381752.0
NIU,2020-04-03,6.64,6.64,6.32,6.47,149153.0
NIU,2020-04-06,6.63,7.15,6.51,6.91,93438.0
NIU,2020-04-07,7.23,7.48,6.89,6.99,98324.0
NIU,2020-04-08,6.92,6.99,6.79,6.96,53362.0
NIU,2020-04-09,6.94,7.22,6.86,6.99,123819.0
NIU,2020-04-13,6.92,7.2,6.25,6.36,251093.0
NIU,2020-04-14,6.7,6.88,6.52,6.62,124702.0
NIU,2020-04-15,6.51,6.82,6.26,6.69,139695.0
NIU,2020-04-16,6.86,7.0,6.62,7.0,99351.0
NIU,2020-04-17,7.3,7.32,6.91,7.08,171938.0
NIU,2020-04-20,7.01,7.66,7.01,7.46,113641.0
NIU,2020-04-21,7.2,7.4,7.05,7.13,77329.0
NIU,2020-04-22,7.42,7.62,7.21,7.6,101871.0
NIU,2020-04-23,7.8,8.2,7.75,8.0,165473.0
NIU,2020-04-24,8.09,8.23,7.85,8.04,83792.0
NIU,2020-04-27,8.23,8.8,8.21,8.48,129161.0
NIU,2020-04-28,8.69,8.98,8.55,8.84,207015.0
NIU,2020-04-29,8.84,9.05,8.63,8.81,227394.0
NIU,2020-04-30,8.52,8.81,8.22,8.46,180636.0
NIU,2020-05-01,8.5,8.6,8.31,8.51,131885.0
NIU,2020-05-04,8.5,8.5,8.24,8.35,62780.0
NIU,2020-05-05,8.5,8.67,8.44,8.53,139328.0
NIU,2020-05-06,8.54,8.78,8.37,8.56,102743.0
NIU,2020-05-07,8.74,8.98,8.68,8.9,88458.0
NIU,2020-05-08,9.0,9.06,8.86,8.94,81535.0
NIU,2020-05-11,8.89,9.02,8.58,8.93,151642.0
NIU,2020-05-12,8.99,9.4,8.76,9.27,144881.0
NIU,2020-05-13,9.27,9.28,8.87,9.0,185174.0
NIU,2020-05-14,8.8,8.93,8.58,8.86,167182.0
NIU,2020-05-15,8.77,9.17,8.75,9.06,147200.0
NIU,2020-05-18,9.06,9.5,8.42,9.32,338192.0
NIU,2020-05-19,9.42,10.66,9.33,10.6,550758.0
NIU,2020-05-20,10.32,10.75,9.0,9.94,867357.0
NIU,2020-05-21,9.69,10.15,9.68,10.05,264051.0
NIU,2020-05-22,10.0,10.29,9.76,10.09,173385.0
