Ticker,Date,open,high,low,close,volume
NNDM,2020-01-02,2.63,2.63,2.53,2.55,18721.0
NNDM,2020-01-03,2.56,2.58,2.51,2.51,8898.0
NNDM,2020-01-06,2.47,2.58,2.45,2.5,20634.0
NNDM,2020-01-07,2.48,2.5,2.4,2.41,14095.0
NNDM,2020-01-08,2.51,2.51,2.43,2.45,17895.0
NNDM,2020-01-09,2.44,2.44,2.4,2.42,11216.0
NNDM,2020-01-10,2.43,2.47,2.4,2.41,11140.0
NNDM,2020-01-13,2.39,2.41,2.3,2.37,58328.0
NNDM,2020-01-14,2.33,2.37,2.32,2.36,10479.0
NNDM,2020-01-15,2.37,2.37,2.26,2.26,15077.0
NNDM,2020-01-16,2.28,2.34,2.28,2.29,13586.0
NNDM,2020-01-17,2.3,2.34,2.29,2.29,23199.0
NNDM,2020-01-21,2.35,2.72,2.35,2.57,92299.0
NNDM,2020-01-22,2.55,2.58,2.5,2.54,15067.0
NNDM,2020-01-23,2.6,2.7,2.52,2.7,65854.0
NNDM,2020-01-24,2.7,2.7,2.51,2.55,36403.0
NNDM,2020-01-27,2.62,2.62,2.29,2.34,30153.0
NNDM,2020-01-28,2.48,2.48,2.34,2.42,11173.0
NNDM,2020-01-29,2.42,2.47,2.3,2.31,16661.0
NNDM,2020-01-30,2.36,2.45,2.28,2.3,14559.0
NNDM,2020-01-31,2.3,2.4,2.24,2.24,24394.0
NNDM,2020-02-03,2.41,2.41,2.21,2.22,38474.0
NNDM,2020-02-04,2.24,2.24,1.83,1.91,100024.0
NNDM,2020-02-05,1.55,1.57,1.47,1.5,1188569.0
NNDM,2020-02-06,1.59,1.59,1.47,1.47,210918.0
NNDM,2020-02-07,1.47,1.5,1.4,1.4,75847.0
NNDM,2020-02-10,1.45,1.45,1.31,1.33,112959.0
NNDM,2020-02-11,1.36,1.38,1.23,1.26,225230.0
NNDM,2020-02-12,1.3,1.36,1.25,1.27,99196.0
NNDM,2020-02-13,1.32,1.32,1.24,1.3,36850.0
NNDM,2020-02-14,1.3,1.32,1.26,1.32,60179.0
NNDM,2020-02-18,1.4,1.42,1.33,1.36,44549.0
NNDM,2020-02-19,1.34,1.39,1.29,1.36,94309.0
NNDM,2020-02-20,1.28,1.41,1.26,1.41,92763.0
NNDM,2020-02-21,1.36,1.4,1.34,1.35,19937.0
NNDM,2020-02-24,1.29,1.31,1.26,1.28,98352.0
NNDM,2020-02-25,1.26,1.29,1.26,1.27,72131.0
NNDM,2020-02-26,1.28,1.34,1.27,1.27,43907.0
NNDM,2020-02-27,1.27,1.3,1.27,1.29,69091.0
NNDM,2020-02-28,1.3,1.38,1.15,1.33,80924.0
NNDM,2020-03-02,1.32,1.37,1.18,1.27,42507.0
NNDM,2020-03-03,1.32,1.32,1.25,1.27,17419.0
NNDM,2020-03-04,1.37,1.37,1.21,1.28,34830.0
NNDM,2020-03-05,1.29,1.37,1.25,1.28,58097.0
NNDM,2020-03-06,1.28,1.3,1.22,1.27,30697.0
NNDM,2020-03-09,1.13,1.15,1.0,1.08,96497.0
NNDM,2020-03-10,1.06,1.19,1.02,1.05,38609.0
NNDM,2020-03-11,1.03,1.08,1.0,1.06,26515.0
NNDM,2020-03-12,0.88,1.0,0.83,0.88,36851.0
NNDM,2020-03-13,0.88,0.98,0.88,0.98,16267.0
NNDM,2020-03-16,0.86,0.86,0.78,0.85,46057.0
NNDM,2020-03-17,0.79,0.82,0.75,0.8,36760.0
NNDM,2020-03-18,0.73,0.73,0.65,0.66,33361.0
NNDM,2020-03-19,0.68,0.8,0.62,0.7,106929.0
NNDM,2020-03-20,0.71,0.77,0.6,0.75,22059.0
NNDM,2020-03-23,0.71,0.71,0.65,0.71,29690.0
NNDM,2020-03-24,0.69,0.74,0.69,0.73,22835.0
NNDM,2020-03-25,0.74,0.74,0.69,0.74,34476.0
NNDM,2020-03-26,0.74,0.74,0.69,0.7,49444.0
NNDM,2020-03-27,0.72,0.89,0.7,0.85,249875.0
NNDM,2020-03-30,1.07,1.54,0.86,1.15,3007971.0
NNDM,2020-03-31,1.15,1.15,0.86,0.94,555516.0
NNDM,2020-04-01,0.9,0.9,0.7,0.75,247677.0
NNDM,2020-04-02,0.79,0.82,0.71,0.72,103908.0
NNDM,2020-04-03,0.7,0.72,0.51,0.65,155295.0
NNDM,2020-04-06,0.99,0.99,0.7,0.71,161245.0
NNDM,2020-04-07,0.82,0.87,0.75,0.82,203182.0
NNDM,2020-04-08,0.78,0.89,0.75,0.84,196138.0
NNDM,2020-04-09,0.89,1.37,0.84,1.08,1943075.0
NNDM,2020-04-13,1.03,1.05,0.88,0.95,1286337.0
NNDM,2020-04-14,0.99,1.22,0.99,1.14,695213.0
NNDM,2020-04-15,1.19,1.66,1.14,1.49,1946717.0
NNDM,2020-04-16,1.56,1.6,1.26,1.34,1007787.0
NNDM,2020-04-17,1.29,1.35,1.21,1.28,455150.0
NNDM,2020-04-20,1.3,1.32,1.18,1.24,723036.0
NNDM,2020-04-21,1.22,1.23,1.03,1.03,759282.0
NNDM,2020-04-22,0.8,0.88,0.65,0.7,5608524.0
NNDM,2020-04-23,0.76,0.77,0.74,0.76,1974504.0
NNDM,2020-04-24,0.77,0.77,0.71,0.74,1605325.0
NNDM,2020-04-27,0.77,0.78,0.74,0.77,1806749.0
NNDM,2020-04-28,0.79,0.79,0.74,0.75,889150.0
NNDM,2020-04-29,0.76,0.77,0.73,0.76,993177.0
NNDM,2020-04-30,0.75,0.99,0.73,0.81,10934717.0
NNDM,2020-05-01,0.88,0.88,0.72,0.77,2413099.0
NNDM,2020-05-04,0.79,0.82,0.74,0.76,996487.0
NNDM,2020-05-05,0.76,0.79,0.72,0.75,833401.0
NNDM,2020-05-06,0.74,0.74,0.7,0.73,579122.0
NNDM,2020-05-07,0.76,0.83,0.74,0.78,1854681.0
NNDM,2020-05-08,0.79,1.02,0.79,0.9,3992148.0
NNDM,2020-05-11,0.89,1.07,0.82,0.98,2353657.0
NNDM,2020-05-12,0.96,0.97,0.84,0.87,1258564.0
NNDM,2020-05-13,0.89,0.89,0.74,0.84,836561.0
NNDM,2020-05-14,0.77,0.78,0.7,0.78,949733.0
NNDM,2020-05-15,0.78,0.82,0.73,0.8,457560.0
NNDM,2020-05-18,0.79,0.79,0.76,0.77,660625.0
NNDM,2020-05-19,1.24,3.97,1.14,3.4,331855208.0
NNDM,2020-05-20,3.21,4.89,2.81,2.96,147139202.0
NNDM,2020-05-21,2.75,3.46,2.34,3.09,64271242.0
NNDM,2020-05-22,2.99,3.35,2.81,3.03,16739438.0
NNDM,2020-05-26,3.05,3.11,2.71,2.85,12737380.0
NNDM,2020-05-27,2.76,2.8,2.51,2.59,8773360.0
NNDM,2020-05-28,2.62,2.87,2.51,2.67,7369695.0
NNDM,2020-05-29,2.65,2.7,2.51,2.59,5106099.0
NNDM,2020-06-01,2.54,2.61,2.4,2.48,5259745.0
NNDM,2020-06-02,2.39,3.31,2.3,3.08,31082452.0
NNDM,2020-06-03,2.9,2.99,2.65,2.75,9837905.0
NNDM,2020-06-04,2.6,2.89,2.48,2.63,7699898.0
NNDM,2020-06-05,2.56,2.75,2.53,2.61,4220767.0
NNDM,2020-06-08,2.72,2.84,2.6,2.62,5932870.0
NNDM,2020-06-09,2.62,2.7,2.52,2.6,3412998.0
NNDM,2020-06-10,2.64,2.64,2.51,2.53,4550304.0
NNDM,2020-06-11,2.4,2.5,2.28,2.36,3767238.0
NNDM,2020-06-12,2.42,2.45,2.27,2.31,2553963.0
NNDM,2020-06-15,2.25,2.46,2.16,2.36,3294402.0
NNDM,2020-06-16,2.44,2.45,2.28,2.42,2981831.0
NNDM,2020-06-17,2.28,2.31,2.21,2.25,3537370.0
NNDM,2020-06-18,2.19,2.29,2.1,2.19,2677465.0
NNDM,2020-06-19,2.23,2.43,2.16,2.31,4345287.0
NNDM,2020-06-22,2.27,2.33,2.21,2.24,2049411.0
NNDM,2020-06-23,2.51,2.57,2.26,2.31,6483014.0
NNDM,2020-06-24,2.29,2.31,2.11,2.25,3114589.0
NNDM,2020-06-25,2.21,2.29,2.16,2.2,1934185.0
NNDM,2020-06-26,2.19,2.19,2.08,2.1,2421055.0
NNDM,2020-06-29,2.11,2.2,2.05,2.12,1501093.0
NNDM,2020-06-30,2.13,2.23,2.07,2.2,1420455.0
NNDM,2020-07-01,2.25,2.25,2.09,2.12,1543769.0
NNDM,2020-07-02,2.13,2.17,2.09,2.12,1116936.0
NNDM,2020-07-06,2.15,2.18,2.08,2.15,1881024.0
NNDM,2020-07-07,2.1,2.14,2.01,2.03,2212677.0
NNDM,2020-07-08,2.05,2.05,1.9,1.94,2627726.0
NNDM,2020-07-09,1.95,1.96,1.75,1.88,3033969.0
NNDM,2020-07-10,1.96,2.05,1.89,1.93,1757399.0
NNDM,2020-07-13,1.92,1.92,1.83,1.83,1715721.0
NNDM,2020-07-14,1.8,1.82,1.63,1.71,2081829.0
NNDM,2020-07-15,1.75,1.87,1.71,1.82,1466259.0
NNDM,2020-07-16,1.82,1.99,1.74,1.99,1378669.0
NNDM,2020-07-17,2.04,2.43,2.03,2.15,7678223.0
NNDM,2020-07-20,2.28,2.29,2.15,2.23,2531538.0
NNDM,2020-07-21,2.24,2.27,2.12,2.22,1371417.0
NNDM,2020-07-22,2.22,2.42,2.15,2.4,2942484.0
NNDM,2020-07-23,2.43,2.5,2.21,2.26,2456363.0
NNDM,2020-07-24,2.29,2.48,2.13,2.4,3411951.0
NNDM,2020-07-27,2.44,2.48,2.23,2.27,1873053.0
NNDM,2020-07-28,2.29,2.3,2.17,2.23,986971.0
NNDM,2020-07-29,2.23,2.32,2.2,2.29,1139053.0
NNDM,2020-07-30,2.27,2.37,2.25,2.35,1189798.0
NNDM,2020-07-31,2.35,2.35,2.25,2.29,807707.0
NNDM,2020-08-03,2.29,2.4,2.29,2.35,1281551.0
NNDM,2020-08-04,2.39,2.8,2.36,2.56,5765525.0
NNDM,2020-08-05,2.65,2.73,2.35,2.46,3440958.0
NNDM,2020-08-06,2.35,2.36,2.01,2.23,2530849.0
NNDM,2020-08-07,2.2,2.33,2.18,2.18,1343803.0
NNDM,2020-08-10,2.19,2.25,2.15,2.16,1069930.0
NNDM,2020-08-11,2.16,2.2,1.96,2.0,1898649.0
NNDM,2020-08-12,2.02,2.1,2.0,2.05,944432.0
NNDM,2020-08-13,1.9,2.02,1.86,1.91,1965246.0
NNDM,2020-08-14,1.94,2.09,1.92,1.97,891268.0
NNDM,2020-08-17,1.98,1.99,1.86,1.89,1147118.0
NNDM,2020-08-18,1.9,1.99,1.8,1.83,1095252.0
NNDM,2020-08-19,1.82,1.85,1.77,1.82,1012651.0
NNDM,2020-08-20,1.81,1.81,1.73,1.78,917297.0
NNDM,2020-08-21,1.78,1.78,1.71,1.76,790776.0
NNDM,2020-08-24,1.78,1.78,1.7,1.72,693176.0
NNDM,2020-08-25,1.72,1.74,1.65,1.7,972076.0
NNDM,2020-08-26,1.66,1.75,1.66,1.72,521895.0
NNDM,2020-08-27,1.74,1.74,1.66,1.68,550896.0
NNDM,2020-08-28,1.72,1.79,1.65,1.69,1607964.0
NNDM,2020-08-31,1.7,1.75,1.61,1.65,843916.0
NNDM,2020-09-01,1.64,1.64,1.55,1.59,860736.0
NNDM,2020-09-02,1.59,1.6,1.53,1.59,632938.0
NNDM,2020-09-03,1.59,1.6,1.44,1.45,1315074.0
