Ticker,Date,open,high,low,close,volume
NTDOY,2020-01-02,50.68,50.82,50.45,50.69,236077.0
NTDOY,2020-01-03,49.73,50.5,49.73,50.25,101249.0
NTDOY,2020-01-06,49.4,49.68,49.12,49.55,232506.0
NTDOY,2020-01-07,49.4,49.51,49.05,49.16,219319.0
NTDOY,2020-01-08,49.1,49.75,48.9,49.61,556567.0
NTDOY,2020-01-09,49.7,49.74,49.4,49.54,519339.0
NTDOY,2020-01-10,49.55,49.55,49.27,49.46,207259.0
NTDOY,2020-01-13,49.1,49.6,49.1,49.6,127837.0
NTDOY,2020-01-14,48.9,49.16,48.9,49.15,118814.0
NTDOY,2020-01-15,49.06,49.15,48.97,49.01,87181.0
NTDOY,2020-01-16,49.0,49.02,48.76,48.84,239885.0
NTDOY,2020-01-17,48.81,48.81,48.57,48.67,298514.0
NTDOY,2020-01-21,49.0,49.25,48.85,48.96,191711.0
NTDOY,2020-01-22,49.26,49.26,49.0,49.05,97970.0
NTDOY,2020-01-23,49.25,49.77,49.25,49.76,105230.0
NTDOY,2020-01-24,49.61,49.96,49.58,49.73,188953.0
NTDOY,2020-01-27,48.08,48.4,48.08,48.18,256812.0
NTDOY,2020-01-28,48.23,48.99,48.23,48.95,185695.0
NTDOY,2020-01-29,48.89,48.95,48.69,48.8,150432.0
NTDOY,2020-01-30,48.68,48.79,46.81,47.35,474477.0
NTDOY,2020-01-31,46.66,46.68,45.75,45.9,965245.0
NTDOY,2020-02-03,46.14,46.14,45.8,45.82,445236.0
NTDOY,2020-02-04,46.1,46.42,46.02,46.42,433161.0
NTDOY,2020-02-05,46.13,46.4,46.13,46.4,484984.0
NTDOY,2020-02-06,46.3,46.5,46.26,46.33,366767.0
NTDOY,2020-02-07,45.87,46.38,45.87,46.03,504438.0
NTDOY,2020-02-10,46.03,46.4,46.03,46.4,730653.0
NTDOY,2020-02-11,46.31,46.83,46.31,46.78,180537.0
NTDOY,2020-02-12,46.1,46.4,46.1,46.4,251622.0
NTDOY,2020-02-13,45.77,46.02,45.49,45.7,175626.0
NTDOY,2020-02-14,45.15,45.37,45.1,45.22,545672.0
NTDOY,2020-02-18,44.96,45.22,44.93,44.99,382163.0
NTDOY,2020-02-19,45.3,45.6,45.3,45.45,397830.0
NTDOY,2020-02-20,44.52,45.21,44.52,44.83,174851.0
NTDOY,2020-02-21,44.15,44.75,44.15,44.35,167019.0
NTDOY,2020-02-24,43.05,43.63,43.0,43.17,243458.0
NTDOY,2020-02-25,43.82,44.1,43.27,43.39,471647.0
NTDOY,2020-02-26,43.57,44.23,43.57,43.85,240897.0
NTDOY,2020-02-27,43.1,43.21,42.5,42.54,340512.0
NTDOY,2020-02-28,40.76,42.03,40.76,41.98,777595.0
NTDOY,2020-03-02,42.01,43.23,42.01,43.23,451941.0
NTDOY,2020-03-03,42.61,43.14,42.18,42.53,207328.0
NTDOY,2020-03-04,43.16,43.81,43.16,43.79,239501.0
NTDOY,2020-03-05,43.12,43.95,43.12,43.76,413305.0
NTDOY,2020-03-06,43.02,43.91,43.02,43.88,193653.0
NTDOY,2020-03-09,42.2,43.05,41.61,42.4,451116.0
NTDOY,2020-03-10,43.08,43.58,42.33,43.49,400271.0
NTDOY,2020-03-11,42.26,42.5,41.22,41.53,240116.0
NTDOY,2020-03-12,39.5,39.85,37.65,38.92,833468.0
NTDOY,2020-03-13,39.46,40.19,38.4,39.7,373934.0
NTDOY,2020-03-16,37.7,38.87,35.82,37.96,428982.0
NTDOY,2020-03-17,39.93,41.15,39.5,41.02,526389.0
NTDOY,2020-03-18,40.0,41.4,39.99,40.71,366568.0
NTDOY,2020-03-19,42.51,45.0,42.15,43.85,367122.0
NTDOY,2020-03-20,44.17,45.18,43.3,43.51,288721.0
NTDOY,2020-03-23,42.72,43.79,42.72,42.98,297665.0
NTDOY,2020-03-24,45.9,45.9,42.87,44.64,503552.0
NTDOY,2020-03-25,44.58,44.58,42.29,43.81,435848.0
