Ticker,Date,open,high,low,close,volume
NUVA,2020-01-02,77.58,78.34,76.5,77.77,301904.0
NUVA,2020-01-03,76.97,77.76,75.02,77.49,441618.0
NUVA,2020-01-06,76.83,77.75,76.37,77.25,395442.0
NUVA,2020-01-07,77.25,78.96,76.63,78.09,664502.0
NUVA,2020-01-08,78.83,79.59,78.07,79.12,630484.0
NUVA,2020-01-09,79.5,80.21,78.82,79.7,673248.0
NUVA,2020-01-10,79.93,80.55,79.08,80.09,277122.0
NUVA,2020-01-13,80.0,80.83,79.38,80.75,701595.0
NUVA,2020-01-14,80.83,81.44,80.2,81.13,283873.0
NUVA,2020-01-15,80.98,81.91,78.93,79.61,668109.0
NUVA,2020-01-16,79.8,80.99,79.14,79.37,708873.0
NUVA,2020-01-17,79.85,80.15,77.83,78.1,593247.0
NUVA,2020-01-21,77.96,79.21,77.27,77.7,792148.0
NUVA,2020-01-22,78.15,78.59,77.59,77.88,306912.0
NUVA,2020-01-23,77.68,78.04,77.02,77.31,513944.0
NUVA,2020-01-24,77.55,77.66,76.39,77.1,296021.0
NUVA,2020-01-27,76.11,77.65,76.11,77.41,377573.0
NUVA,2020-01-28,77.6,78.55,77.57,78.19,249252.0
NUVA,2020-01-29,78.28,78.92,77.71,78.28,272774.0
NUVA,2020-01-30,77.93,78.96,77.37,78.66,393999.0
NUVA,2020-01-31,78.31,78.7,76.72,77.12,477742.0
NUVA,2020-02-03,77.53,81.0,77.3,77.45,518781.0
NUVA,2020-02-04,78.25,78.83,77.31,77.51,477738.0
NUVA,2020-02-05,78.05,78.84,76.41,76.61,917090.0
NUVA,2020-02-06,76.68,77.35,76.14,76.97,392158.0
NUVA,2020-02-07,76.75,77.38,75.49,75.95,531400.0
NUVA,2020-02-10,75.82,77.33,75.05,76.8,450571.0
NUVA,2020-02-11,77.06,77.51,76.57,77.34,311094.0
NUVA,2020-02-12,77.46,77.98,76.31,77.28,332801.0
NUVA,2020-02-13,76.8,79.02,76.8,78.56,594890.0
NUVA,2020-02-14,78.6,79.38,77.83,79.29,290304.0
NUVA,2020-02-18,79.27,80.13,77.82,78.65,634392.0
NUVA,2020-02-19,78.96,80.08,78.75,79.4,576036.0
NUVA,2020-02-20,79.98,79.98,77.61,78.97,373732.0
NUVA,2020-02-21,75.02,77.11,73.38,75.16,2391248.0
NUVA,2020-02-24,73.4,74.42,72.86,73.28,725943.0
NUVA,2020-02-25,73.13,73.46,70.25,70.91,755658.0
NUVA,2020-02-26,71.0,71.09,67.87,69.1,2035656.0
NUVA,2020-02-27,68.07,69.0,65.83,65.83,3345729.0
NUVA,2020-02-28,64.24,65.86,63.38,65.81,1400245.0
NUVA,2020-03-02,66.27,66.45,64.6,65.63,1183922.0
NUVA,2020-03-03,65.66,66.18,59.94,61.65,1463732.0
NUVA,2020-03-04,62.89,64.5,62.15,64.15,811991.0
NUVA,2020-03-05,62.04,62.91,61.32,62.14,807563.0
NUVA,2020-03-06,60.21,61.24,56.91,58.93,1625896.0
NUVA,2020-03-09,56.0,57.52,52.87,52.93,1675038.0
NUVA,2020-03-10,54.91,55.79,52.93,53.83,1452681.0
NUVA,2020-03-11,52.36,53.71,48.86,49.42,1423073.0
NUVA,2020-03-12,46.35,48.09,42.62,43.01,1692765.0
NUVA,2020-03-13,45.3,45.45,39.7,43.43,2457993.0
