Ticker,Date,open,high,low,close,volume
NVMI,2020-01-02,38.32,38.45,37.73,37.95,62150.0
NVMI,2020-01-03,37.61,37.75,37.25,37.62,29319.0
NVMI,2020-01-06,36.92,37.15,36.23,36.42,67281.0
NVMI,2020-01-07,36.82,37.5,36.6,37.2,32371.0
NVMI,2020-01-08,37.59,37.89,37.25,37.54,69077.0
NVMI,2020-01-09,37.97,38.19,37.14,37.52,55895.0
NVMI,2020-01-10,37.52,37.95,36.96,37.57,68832.0
NVMI,2020-01-13,37.89,38.05,37.58,37.99,62392.0
NVMI,2020-01-14,38.33,39.15,38.31,39.07,81617.0
NVMI,2020-01-15,39.69,39.71,38.71,39.0,140080.0
NVMI,2020-01-16,39.72,40.51,39.59,39.77,131588.0
NVMI,2020-01-17,39.79,39.9,39.24,39.88,44814.0
NVMI,2020-01-21,40.28,40.72,40.01,40.27,331945.0
NVMI,2020-01-22,40.84,41.42,40.39,40.57,147237.0
NVMI,2020-01-23,40.74,41.37,40.49,40.93,185791.0
NVMI,2020-01-24,41.26,41.26,39.64,39.97,74099.0
NVMI,2020-01-27,38.5,39.0,38.04,38.09,61808.0
NVMI,2020-01-28,38.45,38.58,38.11,38.47,35417.0
NVMI,2020-01-29,38.59,39.13,38.27,38.38,78607.0
NVMI,2020-01-30,37.87,39.18,37.71,38.8,203230.0
NVMI,2020-01-31,38.66,38.67,37.5,38.04,258955.0
NVMI,2020-02-03,37.75,38.5,37.41,38.4,123478.0
NVMI,2020-02-04,38.83,39.76,38.83,39.5,85420.0
NVMI,2020-02-05,39.65,39.93,39.12,39.66,388745.0
NVMI,2020-02-06,40.01,40.92,39.63,40.46,132968.0
NVMI,2020-02-07,40.09,40.2,39.71,40.14,64940.0
NVMI,2020-02-10,39.69,40.1,39.37,39.85,129521.0
NVMI,2020-02-11,40.14,41.91,40.12,41.48,435240.0
NVMI,2020-02-12,41.83,42.14,40.75,41.54,76425.0
NVMI,2020-02-13,40.16,41.72,40.16,41.45,162860.0
NVMI,2020-02-14,41.95,41.95,39.54,39.96,208550.0
NVMI,2020-02-18,38.9,39.44,37.62,38.03,132869.0
NVMI,2020-02-19,38.15,39.34,38.11,39.18,120505.0
NVMI,2020-02-20,39.15,39.15,38.0,38.71,55097.0
NVMI,2020-02-21,38.44,38.44,37.78,38.3,100462.0
NVMI,2020-02-24,36.28,37.4,36.01,37.1,241036.0
NVMI,2020-02-25,37.18,37.4,36.02,36.08,143106.0
NVMI,2020-02-26,36.74,37.22,36.23,36.7,81128.0
NVMI,2020-02-27,35.41,36.33,35.08,36.04,183455.0
NVMI,2020-02-28,34.71,36.33,34.43,35.34,164673.0
NVMI,2020-03-02,35.47,35.94,34.67,35.8,99090.0
NVMI,2020-03-03,35.94,36.86,35.63,36.41,335121.0
NVMI,2020-03-04,36.61,37.32,35.93,37.26,77331.0
NVMI,2020-03-05,36.19,36.69,35.73,36.59,127821.0
NVMI,2020-03-06,35.76,36.59,35.71,36.51,213631.0
NVMI,2020-03-09,30.38,33.84,30.07,32.5,313863.0
NVMI,2020-03-10,34.76,34.8,33.95,34.67,180060.0
NVMI,2020-03-11,33.86,34.57,32.7,33.14,110756.0
NVMI,2020-03-12,31.09,32.6,30.0,30.24,152615.0
NVMI,2020-03-13,32.12,33.08,30.2,32.48,64497.0
NVMI,2020-03-16,28.84,30.2,27.5,28.71,103987.0
NVMI,2020-03-17,28.04,31.22,27.26,30.59,297957.0
NVMI,2020-03-18,28.36,29.3,25.7,26.82,105313.0
NVMI,2020-03-19,26.8,29.45,26.76,28.06,112360.0
NVMI,2020-03-20,28.42,31.39,28.13,28.54,92306.0
NVMI,2020-03-23,28.05,29.5,27.42,28.9,149019.0
NVMI,2020-03-24,29.99,32.25,29.99,31.93,97226.0
NVMI,2020-03-25,31.39,33.44,31.2,31.77,69931.0
NVMI,2020-03-26,32.5,34.68,32.24,34.55,96172.0
