Ticker,Date,open,high,low,close,volume
NVS,2020-01-02,94.69,95.47,94.5,94.95,1212954.0
NVS,2020-01-03,94.11,95.28,94.1,94.79,1062277.0
NVS,2020-01-06,94.67,95.43,94.64,95.43,1487645.0
NVS,2020-01-07,95.09,95.09,94.42,94.48,1153731.0
NVS,2020-01-08,94.49,94.88,94.35,94.48,982082.0
NVS,2020-01-09,94.86,95.14,94.62,94.77,768327.0
NVS,2020-01-10,94.46,94.48,93.79,93.86,1706927.0
NVS,2020-01-13,93.92,93.98,93.47,93.71,1582773.0
NVS,2020-01-14,94.09,94.48,93.98,94.38,1084013.0
NVS,2020-01-15,94.83,95.11,94.56,94.6,1546641.0
NVS,2020-01-16,95.07,95.12,94.73,95.1,1441139.0
NVS,2020-01-17,95.72,96.06,95.4,95.93,1854681.0
NVS,2020-01-21,95.64,95.97,95.18,95.19,2616697.0
NVS,2020-01-22,95.32,95.49,94.71,95.21,2762991.0
NVS,2020-01-23,95.09,95.17,94.45,94.92,2122830.0
NVS,2020-01-24,95.0,95.21,93.65,93.87,5575435.0
NVS,2020-01-27,93.05,94.04,92.96,93.7,1410069.0
NVS,2020-01-28,94.49,95.72,94.39,95.54,2442521.0
NVS,2020-01-29,96.23,96.78,95.64,95.74,3156678.0
NVS,2020-01-30,95.61,95.92,95.04,95.92,1849810.0
NVS,2020-01-31,95.15,95.33,94.21,94.51,2067193.0
NVS,2020-02-03,94.34,94.84,94.15,94.25,1615158.0
NVS,2020-02-04,94.46,95.33,94.41,95.1,1312804.0
NVS,2020-02-05,96.63,96.64,96.03,96.37,2897131.0
NVS,2020-02-06,96.25,97.0,96.03,96.96,2116846.0
NVS,2020-02-07,96.64,96.84,95.74,95.83,1586682.0
NVS,2020-02-10,96.17,97.45,96.11,97.42,1455356.0
NVS,2020-02-11,97.82,98.29,97.78,98.23,1862263.0
NVS,2020-02-12,98.34,99.84,97.74,99.01,3000215.0
NVS,2020-02-13,97.89,98.27,97.73,97.77,1676268.0
NVS,2020-02-14,97.71,97.82,97.27,97.63,1058244.0
NVS,2020-02-18,96.97,97.47,96.94,97.2,1130751.0
NVS,2020-02-19,97.36,97.66,97.19,97.22,1331596.0
NVS,2020-02-20,97.05,97.09,95.88,96.29,1283411.0
NVS,2020-02-21,96.19,96.96,95.97,96.76,1452598.0
NVS,2020-02-24,92.72,93.67,89.97,90.08,4167901.0
NVS,2020-02-25,90.57,90.63,87.46,87.95,7631068.0
NVS,2020-02-26,88.59,89.37,86.86,87.11,5514321.0
NVS,2020-02-27,86.75,88.38,85.97,86.02,4531289.0
NVS,2020-02-28,83.93,84.81,83.05,83.96,4826936.0
NVS,2020-03-02,85.6,87.16,84.53,86.87,3202459.0
NVS,2020-03-03,85.74,86.65,83.21,83.62,2426084.0
NVS,2020-03-04,86.7,87.87,85.78,87.65,2416683.0
NVS,2020-03-05,85.43,86.35,85.05,85.81,2389127.0
NVS,2020-03-06,84.33,85.83,83.97,85.72,5624794.0
NVS,2020-03-09,82.95,83.77,80.53,81.46,5811045.0
NVS,2020-03-10,84.96,85.56,82.27,84.95,5580274.0
NVS,2020-03-11,83.28,83.64,81.56,82.14,2626520.0
NVS,2020-03-12,76.19,77.97,72.16,74.07,5738037.0
NVS,2020-03-13,79.21,79.69,73.81,79.61,4352387.0
NVS,2020-03-16,70.07,76.16,69.18,73.14,5888358.0
NVS,2020-03-17,73.81,77.51,73.0,76.95,3689668.0
NVS,2020-03-18,73.7,75.75,71.57,74.96,4221662.0
NVS,2020-03-19,75.14,77.76,74.38,75.56,4823184.0
NVS,2020-03-20,75.95,76.76,72.17,72.42,3553019.0
NVS,2020-03-23,73.73,74.49,70.23,70.67,3714354.0
NVS,2020-03-24,73.9,74.3,72.03,73.56,2877720.0
NVS,2020-03-25,75.54,78.06,74.27,76.89,3623682.0
NVS,2020-03-26,76.89,79.93,76.86,79.74,2677707.0
NVS,2020-03-27,77.54,81.04,77.16,79.28,2654041.0
