Ticker,Date,open,high,low,close,volume
NVTA,2020-01-02,16.4,16.5,15.79,16.35,1361171.0
NVTA,2020-01-03,15.9,16.3,15.65,16.12,1384413.0
NVTA,2020-01-06,15.8,16.18,15.61,16.05,1472347.0
NVTA,2020-01-07,16.13,16.29,15.71,15.78,1827825.0
NVTA,2020-01-08,15.82,16.53,15.61,16.26,1701322.0
NVTA,2020-01-09,16.51,17.1,16.32,16.55,1743326.0
NVTA,2020-01-10,16.67,17.12,16.46,16.72,2056365.0
NVTA,2020-01-13,17.73,18.79,17.5,18.38,5166745.0
NVTA,2020-01-14,18.38,18.39,17.76,18.22,2424861.0
NVTA,2020-01-15,18.26,19.61,18.18,19.58,3133244.0
NVTA,2020-01-16,19.85,20.38,19.04,20.26,3280196.0
NVTA,2020-01-17,20.35,20.4,19.5,19.63,2328441.0
NVTA,2020-01-21,19.5,19.77,18.54,18.75,2175518.0
NVTA,2020-01-22,18.76,19.09,18.46,18.75,1193759.0
NVTA,2020-01-23,18.71,18.72,18.15,18.5,1411834.0
NVTA,2020-01-24,18.5,18.97,18.12,18.35,1993324.0
NVTA,2020-01-27,17.49,18.62,17.26,18.16,2487538.0
NVTA,2020-01-28,18.45,18.9,18.25,18.74,1762668.0
NVTA,2020-01-29,18.76,20.24,18.76,20.01,2394578.0
NVTA,2020-01-30,19.7,20.23,19.05,19.56,2016695.0
NVTA,2020-01-31,19.39,19.48,18.19,18.65,2172453.0
NVTA,2020-02-03,18.81,18.95,18.15,18.82,1237918.0
NVTA,2020-02-04,19.22,19.49,18.94,19.31,1329713.0
NVTA,2020-02-05,19.52,19.88,19.3,19.59,1225595.0
NVTA,2020-02-06,19.8,23.39,19.31,22.16,11347459.0
NVTA,2020-02-07,23.47,24.12,22.22,22.99,13071475.0
NVTA,2020-02-10,24.12,24.35,22.94,24.17,5537463.0
NVTA,2020-02-11,25.1,25.35,24.34,24.62,4589078.0
NVTA,2020-02-12,25.0,25.85,24.5,25.77,3331320.0
NVTA,2020-02-13,25.53,27.12,25.26,26.25,3863538.0
NVTA,2020-02-14,26.69,27.32,26.14,27.04,3431981.0
NVTA,2020-02-18,27.28,27.7,26.14,27.25,3523051.0
NVTA,2020-02-19,27.52,28.0,26.82,27.5,4756860.0
NVTA,2020-02-20,24.78,24.89,23.27,23.82,10019761.0
NVTA,2020-02-21,23.11,23.59,22.42,23.1,5229988.0
NVTA,2020-02-24,21.77,22.52,21.41,22.1,4421136.0
NVTA,2020-02-25,22.95,22.95,20.78,21.14,3638208.0
NVTA,2020-02-26,21.04,21.73,20.19,20.75,3166158.0
NVTA,2020-02-27,19.9,21.08,19.41,20.23,3885103.0
NVTA,2020-02-28,19.16,20.49,18.83,20.38,4283807.0
NVTA,2020-03-02,20.68,20.75,19.03,20.1,3086362.0
NVTA,2020-03-03,20.29,20.89,18.85,19.49,2940820.0
NVTA,2020-03-04,19.78,20.87,19.51,20.85,2727256.0
NVTA,2020-03-05,20.21,21.1,19.55,20.04,2622094.0
NVTA,2020-03-06,19.3,19.8,18.25,18.63,3110147.0
NVTA,2020-03-09,16.54,18.16,16.0,16.67,3430229.0
NVTA,2020-03-10,17.52,17.88,16.01,17.85,3951082.0
NVTA,2020-03-11,17.31,17.72,15.84,15.85,4375814.0
NVTA,2020-03-12,14.51,14.51,11.84,11.88,6304503.0
NVTA,2020-03-13,13.21,13.24,11.0,12.23,5551562.0
NVTA,2020-03-16,10.5,11.09,9.75,9.92,4770430.0
NVTA,2020-03-17,10.08,10.36,8.52,9.75,5805628.0
NVTA,2020-03-18,9.0,9.57,7.58,7.64,4233917.0
NVTA,2020-03-19,7.65,10.17,7.42,9.79,4114944.0
NVTA,2020-03-20,10.61,11.31,9.65,10.15,3422192.0
NVTA,2020-03-23,10.02,10.7,9.53,10.08,2465067.0
NVTA,2020-03-24,11.09,12.24,10.75,12.15,3000452.0
NVTA,2020-03-25,12.68,15.35,12.5,14.64,4348106.0
NVTA,2020-03-26,14.05,17.68,14.0,16.34,3952928.0
NVTA,2020-03-27,15.16,15.93,14.0,14.09,3463328.0
NVTA,2020-03-30,14.22,14.88,13.13,14.19,3601582.0
NVTA,2020-03-31,14.22,14.76,13.27,13.67,1875085.0
NVTA,2020-04-01,12.57,13.27,11.7,11.71,2341457.0
NVTA,2020-04-02,10.39,13.25,10.02,12.65,6764364.0
NVTA,2020-04-03,12.54,13.43,12.42,12.62,3073199.0
NVTA,2020-04-06,13.63,13.66,12.6,13.23,3569410.0
NVTA,2020-04-07,14.19,14.4,12.74,12.77,2819910.0
NVTA,2020-04-08,13.28,13.57,12.89,13.53,1819409.0
NVTA,2020-04-09,13.86,14.24,13.02,13.29,2221782.0
NVTA,2020-04-13,13.29,13.29,12.42,13.02,1950089.0
NVTA,2020-04-14,13.42,14.58,13.38,14.31,2545483.0
NVTA,2020-04-15,13.51,14.32,13.34,13.56,2359869.0
NVTA,2020-04-16,13.57,13.91,13.41,13.89,1940379.0
NVTA,2020-04-17,14.5,14.91,14.13,14.77,2104867.0
NVTA,2020-04-20,14.5,15.86,14.33,15.39,3401594.0
NVTA,2020-04-21,15.12,15.63,14.58,15.24,2336792.0
NVTA,2020-04-22,15.74,16.68,15.29,16.44,1582626.0
NVTA,2020-04-23,16.59,17.05,15.58,15.62,4041804.0
NVTA,2020-04-24,15.76,16.69,15.62,16.44,1832759.0
NVTA,2020-04-27,16.79,18.55,16.72,17.71,2816229.0
NVTA,2020-04-28,18.38,18.45,16.39,16.91,2628937.0
NVTA,2020-04-29,17.49,17.72,16.78,17.49,2105922.0
NVTA,2020-04-30,17.25,17.46,16.5,16.55,1667901.0
NVTA,2020-05-01,16.0,16.47,15.02,15.4,2448956.0
NVTA,2020-05-04,15.09,16.24,14.84,16.21,2280514.0
NVTA,2020-05-05,16.8,17.09,16.45,16.67,2477688.0
NVTA,2020-05-06,16.98,17.37,15.64,16.32,2842717.0
NVTA,2020-05-07,16.68,16.72,15.83,16.12,1930925.0
NVTA,2020-05-08,16.38,17.24,16.03,17.16,1660572.0
NVTA,2020-05-11,17.1,18.0,16.86,17.85,2058205.0
NVTA,2020-05-12,18.06,18.83,17.37,17.53,2818150.0
NVTA,2020-05-13,17.56,17.73,15.5,16.11,2397810.0
NVTA,2020-05-14,15.6,16.33,15.12,15.57,2201460.0
NVTA,2020-05-15,15.54,16.5,15.12,16.48,1806957.0
NVTA,2020-05-18,17.2,17.58,16.76,17.13,2012711.0
NVTA,2020-05-19,17.0,17.27,15.99,16.02,1923319.0
NVTA,2020-05-20,16.37,16.9,16.13,16.74,2272972.0
NVTA,2020-05-21,16.76,16.96,16.04,16.74,1565595.0
NVTA,2020-05-22,16.76,17.74,16.56,17.51,1956334.0
NVTA,2020-05-26,17.94,18.19,16.5,16.54,2525524.0
NVTA,2020-05-27,16.74,17.17,16.04,17.12,2017523.0
NVTA,2020-05-28,17.17,17.88,16.6,17.14,2539158.0
NVTA,2020-05-29,17.1,17.49,16.03,16.82,2936323.0
NVTA,2020-06-01,16.75,17.82,16.56,17.45,2328359.0
NVTA,2020-06-02,17.63,17.87,17.08,17.58,1601333.0
NVTA,2020-06-03,17.63,18.6,17.43,17.55,2145662.0
NVTA,2020-06-04,17.5,17.8,16.55,16.67,1865259.0
NVTA,2020-06-05,17.22,17.83,16.9,17.34,2180627.0
NVTA,2020-06-08,17.75,18.1,17.02,17.45,1924912.0
NVTA,2020-06-09,17.26,18.34,17.21,17.73,2036071.0
NVTA,2020-06-10,17.95,18.7,17.6,17.64,2054031.0
NVTA,2020-06-11,16.76,17.0,15.62,15.78,3835750.0
NVTA,2020-06-12,16.34,16.49,15.22,16.17,2239681.0
NVTA,2020-06-15,15.61,17.31,15.45,17.06,2328731.0
NVTA,2020-06-16,17.7,18.09,16.87,17.71,2365078.0
NVTA,2020-06-17,17.82,18.03,17.34,17.47,1309058.0
NVTA,2020-06-18,17.41,18.15,17.37,17.69,1532613.0
NVTA,2020-06-19,17.92,18.75,17.85,18.71,5565371.0
NVTA,2020-06-22,22.02,27.77,21.5,27.05,28120265.0
NVTA,2020-06-23,26.29,30.23,25.87,29.91,10738366.0
NVTA,2020-06-24,28.61,29.37,26.78,27.48,5058363.0
NVTA,2020-06-25,27.0,29.33,26.46,27.98,5151372.0
NVTA,2020-06-26,28.03,30.23,27.69,27.89,7721724.0
NVTA,2020-06-29,28.0,28.38,26.69,28.15,2776542.0
NVTA,2020-06-30,28.3,30.49,28.03,30.29,3395065.0
NVTA,2020-07-01,29.59,31.75,28.72,30.48,4165352.0
NVTA,2020-07-02,30.86,32.5,30.52,31.72,2694957.0
NVTA,2020-07-06,32.5,34.18,31.73,32.49,3501574.0
NVTA,2020-07-07,32.27,34.7,31.92,33.22,2461713.0
NVTA,2020-07-08,33.59,35.33,33.4,34.24,3249682.0
NVTA,2020-07-09,34.82,35.21,32.71,34.3,2994425.0
NVTA,2020-07-10,33.96,34.66,32.94,33.47,1463254.0
NVTA,2020-07-13,34.21,35.31,32.67,32.81,3055866.0
NVTA,2020-07-14,32.5,33.09,29.61,32.5,3128323.0
NVTA,2020-07-15,33.32,34.59,32.55,34.41,2383447.0
NVTA,2020-07-16,34.12,34.56,33.16,33.35,1127371.0
NVTA,2020-07-17,33.35,33.79,32.6,32.67,2296894.0
NVTA,2020-07-20,32.89,33.89,32.2,32.9,1929313.0
NVTA,2020-07-21,33.14,33.46,31.66,31.81,1883823.0
NVTA,2020-07-22,32.07,32.65,31.43,32.48,1409939.0
NVTA,2020-07-23,32.36,33.08,30.9,31.01,1928621.0
NVTA,2020-07-24,30.56,30.58,29.4,29.73,1909314.0
NVTA,2020-07-27,29.86,32.07,29.75,31.58,1921034.0
NVTA,2020-07-28,31.81,31.81,29.48,29.59,1591541.0
NVTA,2020-07-29,29.85,30.31,28.81,29.12,1710861.0
NVTA,2020-07-30,28.72,29.87,28.41,29.58,1765901.0
NVTA,2020-07-31,30.03,30.4,28.53,29.2,1248463.0
NVTA,2020-08-03,30.0,32.49,29.78,32.07,2347935.0
NVTA,2020-08-04,32.5,33.45,31.09,33.11,2881939.0
NVTA,2020-08-05,30.27,33.49,30.24,33.36,5410353.0
NVTA,2020-08-06,32.55,32.69,30.51,30.96,3074633.0
NVTA,2020-08-07,30.88,30.88,27.88,28.43,3052689.0
NVTA,2020-08-10,29.0,29.13,28.05,28.79,1578250.0
NVTA,2020-08-11,28.5,29.85,27.47,29.01,2178259.0
NVTA,2020-08-12,29.31,30.78,28.58,29.76,2249033.0
NVTA,2020-08-13,29.91,31.59,29.79,30.95,2271146.0
NVTA,2020-08-14,30.98,31.12,29.34,30.02,1490872.0
NVTA,2020-08-17,30.3,32.09,30.1,31.82,1847584.0
NVTA,2020-08-18,32.0,33.25,31.66,32.92,2625691.0
NVTA,2020-08-19,32.97,33.3,31.7,32.94,2913828.0
NVTA,2020-08-20,32.69,33.82,32.37,33.74,2289141.0
NVTA,2020-08-21,33.7,35.85,33.6,35.35,4046766.0
NVTA,2020-08-24,36.19,36.5,33.06,33.57,2952112.0
NVTA,2020-08-25,33.34,33.57,32.41,32.99,1742241.0
NVTA,2020-08-26,32.95,35.13,32.8,34.16,2027579.0
NVTA,2020-08-27,34.18,34.45,31.6,33.01,1617256.0
NVTA,2020-08-28,33.23,34.98,33.16,34.35,1716413.0
NVTA,2020-08-31,34.25,35.78,33.86,34.96,2600300.0
NVTA,2020-09-01,34.97,36.74,34.15,36.67,2482994.0
NVTA,2020-09-02,36.83,37.22,34.51,37.05,2120127.0
NVTA,2020-09-03,36.5,36.5,33.05,34.33,2674916.0
NVTA,2020-09-04,33.8,34.38,29.2,32.12,3839334.0
NVTA,2020-09-08,30.88,32.83,30.17,30.23,2430409.0
NVTA,2020-09-09,30.76,32.73,30.43,32.48,2241092.0
NVTA,2020-09-10,32.77,34.98,32.15,32.75,2255090.0
NVTA,2020-09-11,33.2,33.86,32.01,32.53,1382542.0
NVTA,2020-09-14,33.14,35.31,33.14,35.14,2047491.0
NVTA,2020-09-15,35.51,39.94,35.48,39.01,4456050.0
NVTA,2020-09-16,39.08,40.93,38.57,40.07,5138696.0
NVTA,2020-09-17,38.99,40.15,37.9,39.07,3173530.0
NVTA,2020-09-18,39.7,40.96,38.42,40.0,6409356.0
NVTA,2020-09-21,39.25,40.79,37.59,40.59,4300803.0
NVTA,2020-09-22,41.09,43.59,39.92,43.1,3465506.0
NVTA,2020-09-23,42.91,44.04,40.09,40.75,3302148.0
NVTA,2020-09-24,39.23,43.54,38.88,42.71,2849109.0
NVTA,2020-09-25,42.9,44.82,42.46,44.67,2550546.0
NVTA,2020-09-28,45.24,46.17,43.23,43.9,2674255.0
NVTA,2020-09-29,44.35,45.94,44.04,44.29,2132790.0
NVTA,2020-09-30,44.68,44.97,42.63,43.35,3700495.0
NVTA,2020-10-01,43.98,44.63,43.38,44.07,1649986.0
NVTA,2020-10-02,42.75,44.19,42.23,42.43,1869271.0
NVTA,2020-10-05,43.75,45.6,43.47,45.4,2065265.0
NVTA,2020-10-06,45.6,50.18,45.5,47.51,3775200.0
NVTA,2020-10-07,48.82,51.44,48.35,50.08,3536971.0
NVTA,2020-10-08,51.52,53.48,49.82,52.83,3656069.0
NVTA,2020-10-09,52.93,54.49,52.16,53.31,2582486.0
NVTA,2020-10-12,54.17,55.38,51.12,51.13,3071471.0
NVTA,2020-10-13,51.36,53.31,51.14,52.59,3114446.0
NVTA,2020-10-14,52.31,52.73,48.6,49.28,4066072.0
NVTA,2020-10-15,48.24,48.93,47.31,47.68,3181056.0
NVTA,2020-10-16,47.96,48.49,46.82,47.03,2344414.0
NVTA,2020-10-19,47.41,50.42,46.98,48.39,2530332.0
NVTA,2020-10-20,48.54,49.15,47.0,47.24,1703457.0
NVTA,2020-10-21,47.31,47.68,43.85,44.04,2809152.0
NVTA,2020-10-22,44.28,46.24,44.2,46.01,2285361.0
NVTA,2020-10-23,46.0,46.31,44.9,45.26,1493856.0
NVTA,2020-10-26,44.7,47.09,44.68,46.08,1669473.0
NVTA,2020-10-27,46.63,48.44,46.13,48.13,2478105.0
NVTA,2020-10-28,46.2,46.56,43.9,44.22,1891530.0
NVTA,2020-10-29,44.71,45.2,42.34,43.76,2984054.0
NVTA,2020-10-30,43.27,43.27,38.42,39.21,3990190.0
NVTA,2020-11-02,39.72,40.39,38.38,39.09,2858684.0
NVTA,2020-11-03,40.09,41.65,39.26,41.2,3012128.0
NVTA,2020-11-04,42.35,44.44,42.25,43.21,2038391.0
NVTA,2020-11-05,44.95,46.65,44.55,45.69,3045784.0
NVTA,2020-11-06,43.01,46.66,41.38,44.76,4114864.0
NVTA,2020-11-09,45.54,47.68,42.69,44.23,2957068.0
NVTA,2020-11-10,45.08,45.12,39.97,43.05,3205250.0
NVTA,2020-11-11,43.72,48.14,43.72,46.59,2622940.0
NVTA,2020-11-12,47.0,49.79,46.71,47.14,2469686.0
NVTA,2020-11-13,48.0,49.23,46.97,47.02,1883656.0
NVTA,2020-11-16,46.9,47.72,45.53,46.4,1922861.0
NVTA,2020-11-17,46.34,46.68,45.07,46.1,1475242.0
NVTA,2020-11-18,46.99,48.33,45.56,45.62,2025789.0
NVTA,2020-11-19,45.7,48.15,45.52,46.77,2038608.0
NVTA,2020-11-20,46.88,48.89,46.2,48.0,2306329.0
NVTA,2020-11-23,49.5,52.56,48.55,50.92,5008180.0
