Ticker,Date,open,high,low,close,volume
OKTA,2020-01-02,116.75,118.26,115.82,117.31,1001641.0
OKTA,2020-01-03,114.69,118.55,114.27,118.29,928852.0
OKTA,2020-01-06,116.94,123.63,116.52,123.43,1863262.0
OKTA,2020-01-07,123.9,125.39,122.21,122.89,1276188.0
OKTA,2020-01-08,123.31,126.71,122.89,125.55,1153513.0
OKTA,2020-01-09,127.36,129.52,125.7,128.52,1308825.0
OKTA,2020-01-10,128.52,131.84,128.5,129.39,1348165.0
OKTA,2020-01-13,130.07,132.91,129.8,131.16,1165696.0
OKTA,2020-01-14,131.16,131.75,128.59,129.03,1184351.0
OKTA,2020-01-15,130.0,132.48,128.09,128.57,1168476.0
OKTA,2020-01-16,130.17,130.93,126.71,128.4,1367037.0
OKTA,2020-01-17,128.34,128.97,124.09,125.83,1418803.0
OKTA,2020-01-21,125.92,127.91,124.72,125.26,1301753.0
OKTA,2020-01-22,127.01,129.0,124.89,125.02,830403.0
OKTA,2020-01-23,126.09,127.92,124.35,127.84,947178.0
OKTA,2020-01-24,129.34,132.11,127.02,129.66,1229569.0
OKTA,2020-01-27,126.49,128.58,124.59,125.82,1337084.0
OKTA,2020-01-28,126.8,128.87,125.11,127.47,975920.0
OKTA,2020-01-29,129.0,131.67,128.5,129.0,1397084.0
OKTA,2020-01-30,129.14,134.21,128.71,132.94,1785896.0
OKTA,2020-01-31,133.01,134.0,127.07,128.05,1381819.0
OKTA,2020-02-03,128.75,129.85,126.45,129.35,1012103.0
OKTA,2020-02-04,130.65,135.25,130.24,134.76,1497414.0
OKTA,2020-02-05,135.01,135.5,127.75,129.67,1858981.0
OKTA,2020-02-06,130.45,130.96,124.8,130.09,1236232.0
OKTA,2020-02-07,130.26,132.93,129.4,132.79,1076139.0
OKTA,2020-02-10,132.6,135.9,132.32,135.76,1342468.0
OKTA,2020-02-11,136.5,138.85,134.14,137.27,1106507.0
OKTA,2020-02-12,137.18,138.97,134.8,137.58,1301351.0
OKTA,2020-02-13,137.25,138.71,135.18,135.31,1133878.0
OKTA,2020-02-14,136.0,139.11,135.51,137.03,1179021.0
OKTA,2020-02-18,137.0,138.0,134.76,137.9,953933.0
OKTA,2020-02-19,138.65,142.98,138.5,139.5,1604907.0
OKTA,2020-02-20,139.5,141.24,134.41,138.55,1719376.0
OKTA,2020-02-21,137.06,137.94,131.58,133.59,1406721.0
OKTA,2020-02-24,123.91,128.0,120.28,126.8,2189021.0
OKTA,2020-02-25,129.44,130.22,122.2,122.97,1778234.0
OKTA,2020-02-26,124.05,129.36,123.53,127.82,1721749.0
