Ticker,Date,open,high,low,close,volume
ONE,2020-01-02,6.66,6.78,6.66,6.71,45980.0
ONE,2020-01-03,6.66,6.8,6.66,6.78,81204.0
ONE,2020-01-06,6.73,6.94,6.73,6.82,147057.0
ONE,2020-01-07,6.87,6.96,6.83,6.93,66660.0
ONE,2020-01-08,6.88,7.03,6.86,6.95,277906.0
ONE,2020-01-09,7.01,7.01,6.79,6.92,48167.0
ONE,2020-01-10,6.99,7.0,6.78,6.87,135575.0
ONE,2020-01-13,6.94,6.95,6.87,6.9,136949.0
ONE,2020-01-14,6.92,7.02,6.78,6.95,122878.0
ONE,2020-01-15,6.97,6.98,6.89,6.91,20338.0
ONE,2020-01-16,6.94,6.97,6.89,6.91,26792.0
ONE,2020-01-17,6.92,6.95,6.66,6.8,68002.0
ONE,2020-01-21,6.66,6.78,6.45,6.76,273696.0
ONE,2020-01-22,6.84,6.94,6.66,6.9,174498.0
ONE,2020-01-23,6.64,6.74,6.43,6.5,501283.0
ONE,2020-01-24,6.45,6.45,6.32,6.4,190994.0
ONE,2020-01-27,6.31,6.31,5.96,6.15,117095.0
ONE,2020-01-28,6.17,6.28,6.17,6.21,29157.0
ONE,2020-01-29,6.11,6.18,6.05,6.08,35854.0
ONE,2020-01-30,6.16,6.16,5.9,6.05,212047.0
ONE,2020-01-31,6.06,6.09,5.91,5.93,109601.0
ONE,2020-02-03,5.9,6.06,5.9,5.99,103800.0
ONE,2020-02-04,5.98,6.35,5.95,6.06,102539.0
ONE,2020-02-05,6.05,6.12,5.92,6.0,80857.0
ONE,2020-02-06,5.99,6.0,5.93,5.99,92145.0
ONE,2020-02-07,5.96,5.96,5.79,5.85,143777.0
ONE,2020-02-10,5.85,5.96,5.85,5.89,55978.0
ONE,2020-02-11,5.92,5.95,5.7,5.84,111665.0
ONE,2020-02-12,5.84,5.84,5.64,5.66,133830.0
ONE,2020-02-13,5.66,5.67,5.46,5.46,176912.0
ONE,2020-02-14,5.58,5.6,5.46,5.54,93838.0
ONE,2020-02-18,5.6,5.6,5.31,5.48,201525.0
ONE,2020-02-19,5.6,5.77,5.01,5.31,366602.0
ONE,2020-02-20,5.33,5.37,5.13,5.31,296629.0
ONE,2020-02-21,5.31,5.31,4.89,4.94,309294.0
ONE,2020-02-24,4.95,5.0,4.74,4.77,300248.0
ONE,2020-02-25,4.75,5.49,4.69,5.22,922209.0
ONE,2020-02-26,5.25,5.58,4.68,5.07,625738.0
ONE,2020-02-27,5.0,5.51,4.9,5.46,713979.0
ONE,2020-02-28,5.39,5.45,5.1,5.44,477911.0
ONE,2020-03-02,5.4,5.66,5.36,5.6,234775.0
ONE,2020-03-03,5.56,5.63,5.4,5.47,206672.0
ONE,2020-03-04,5.47,5.6,5.14,5.18,249285.0
ONE,2020-03-05,5.19,5.51,5.11,5.36,461708.0
ONE,2020-03-06,5.38,5.55,5.29,5.41,180345.0
ONE,2020-03-09,4.9,5.34,4.9,5.22,317483.0
ONE,2020-03-10,5.2,5.59,5.2,5.51,524915.0
ONE,2020-03-11,5.46,5.57,5.33,5.5,371742.0
ONE,2020-03-12,5.24,5.6,5.11,5.34,682048.0
ONE,2020-03-13,5.4,5.46,4.92,5.19,650176.0
ONE,2020-03-16,5.04,5.15,4.94,5.02,256771.0
ONE,2020-03-17,4.99,5.07,4.75,4.95,352989.0
ONE,2020-03-18,4.81,5.23,4.71,4.9,429811.0
ONE,2020-03-19,4.83,5.2,4.83,4.95,266623.0
ONE,2020-03-20,4.96,5.3,4.88,4.98,140522.0
ONE,2020-03-23,4.87,4.94,4.45,4.75,194720.0
