Ticker,Date,open,high,low,close,volume
ONVO,2020-01-02,7.4,7.8,7.2,7.6,34706.0
ONVO,2020-01-03,7.61,8.2,7.46,7.82,31224.0
ONVO,2020-01-06,8.2,8.7,8.0,8.47,42276.0
ONVO,2020-01-07,8.67,9.6,8.67,9.2,65073.0
ONVO,2020-01-08,9.2,10.0,9.2,9.8,43578.0
ONVO,2020-01-09,10.2,10.2,8.8,9.19,38067.0
ONVO,2020-01-10,9.4,9.65,8.8,9.0,16576.0
ONVO,2020-01-13,9.43,9.6,9.0,9.03,20499.0
ONVO,2020-01-14,9.2,9.6,9.0,9.1,35687.0
ONVO,2020-01-15,9.12,9.6,9.0,9.37,15000.0
ONVO,2020-01-16,9.2,9.4,9.05,9.2,21427.0
ONVO,2020-01-17,9.2,9.2,8.78,9.16,23740.0
ONVO,2020-01-21,8.8,8.88,7.4,8.07,59270.0
ONVO,2020-01-22,7.83,8.0,7.2,7.26,57776.0
ONVO,2020-01-23,7.5,7.72,6.82,6.98,45643.0
ONVO,2020-01-24,7.56,7.6,7.03,7.3,29276.0
ONVO,2020-01-27,7.2,7.2,6.93,7.05,23769.0
ONVO,2020-01-28,7.6,7.6,7.0,7.1,19541.0
ONVO,2020-01-29,7.2,7.41,7.17,7.35,32766.0
ONVO,2020-01-30,7.34,7.34,6.93,7.12,20248.0
ONVO,2020-01-31,7.0,7.01,6.25,6.33,42637.0
ONVO,2020-02-03,6.4,6.4,5.6,5.82,36219.0
ONVO,2020-02-04,6.2,6.39,5.62,5.9,38325.0
ONVO,2020-02-05,6.6,6.7,6.2,6.4,25924.0
ONVO,2020-02-06,6.6,6.64,6.48,6.55,18351.0
ONVO,2020-02-07,6.55,6.6,6.4,6.49,9985.0
ONVO,2020-02-10,6.4,6.92,6.24,6.74,23282.0
ONVO,2020-02-11,6.53,7.09,6.4,6.91,19280.0
ONVO,2020-02-12,7.0,7.15,6.26,6.69,19041.0
ONVO,2020-02-13,6.6,7.0,6.5,6.66,20319.0
ONVO,2020-02-14,6.6,6.7,6.4,6.66,12336.0
ONVO,2020-02-18,6.58,6.7,6.3,6.43,12812.0
ONVO,2020-02-19,6.4,6.7,6.36,6.65,18462.0
ONVO,2020-02-20,6.6,7.14,6.6,7.06,26268.0
ONVO,2020-02-21,7.06,7.06,6.6,7.06,12562.0
ONVO,2020-02-24,6.64,6.99,6.5,6.56,15773.0
ONVO,2020-02-25,6.56,6.79,6.2,6.21,12643.0
ONVO,2020-02-26,6.04,6.18,5.6,5.61,21192.0
ONVO,2020-02-27,5.6,6.38,5.2,6.22,45864.0
ONVO,2020-02-28,6.4,6.8,6.19,6.46,23729.0
ONVO,2020-03-02,6.21,7.37,6.2,7.14,31094.0
ONVO,2020-03-03,7.2,7.26,6.22,6.85,21596.0
ONVO,2020-03-04,6.53,6.84,6.4,6.8,17348.0
ONVO,2020-03-05,6.49,6.79,6.3,6.54,14873.0
ONVO,2020-03-06,6.2,6.54,6.07,6.1,18083.0
ONVO,2020-03-09,5.2,6.0,5.2,5.44,33720.0
ONVO,2020-03-10,6.18,6.3,5.4,5.64,16490.0
ONVO,2020-03-11,5.88,5.94,5.2,5.2,14369.0
ONVO,2020-03-12,5.0,5.06,4.5,4.5,34728.0
ONVO,2020-03-13,5.94,6.0,4.5,4.85,37630.0
ONVO,2020-03-16,4.5,4.58,4.3,4.31,27601.0
ONVO,2020-03-17,3.87,4.6,3.87,4.45,27170.0
ONVO,2020-03-18,4.61,4.8,4.2,4.2,16742.0
ONVO,2020-03-19,4.2,5.2,4.2,5.06,75312.0
ONVO,2020-03-20,5.06,5.2,4.7,5.0,25121.0
ONVO,2020-03-23,5.2,5.2,4.3,4.46,19002.0
ONVO,2020-03-24,4.5,5.06,4.44,5.04,27868.0
ONVO,2020-03-25,5.06,5.7,5.0,5.45,41984.0
ONVO,2020-03-26,5.7,6.19,5.35,5.72,32336.0
ONVO,2020-03-27,6.0,6.1,5.32,5.79,19226.0
ONVO,2020-03-30,6.06,6.06,5.6,5.72,19818.0
ONVO,2020-03-31,5.7,8.9,5.7,8.2,298206.0
ONVO,2020-04-01,7.4,7.6,5.4,5.9,140022.0
ONVO,2020-04-02,6.0,6.08,4.8,5.12,47037.0
ONVO,2020-04-03,5.37,5.49,5.2,5.28,16366.0
ONVO,2020-04-06,5.8,6.4,5.4,5.9,37688.0
ONVO,2020-04-07,6.0,6.0,5.31,5.8,33624.0
ONVO,2020-04-08,5.6,6.66,5.24,6.59,53971.0
