Ticker,Date,open,high,low,close,volume
PACB,2020-01-02,5.17,5.24,5.13,5.16,1466926.0
PACB,2020-01-03,5.15,5.44,5.09,5.26,12272170.0
PACB,2020-01-06,5.26,5.33,4.98,5.19,4351341.0
PACB,2020-01-07,5.14,5.17,4.92,4.92,3772575.0
PACB,2020-01-08,4.88,4.9,4.7,4.71,4695083.0
PACB,2020-01-09,4.77,4.83,4.6,4.65,5509307.0
PACB,2020-01-10,4.65,4.74,4.6,4.73,2220802.0
PACB,2020-01-13,4.71,4.94,4.71,4.87,1832426.0
PACB,2020-01-14,4.85,4.97,4.79,4.81,3091310.0
PACB,2020-01-15,4.8,4.95,4.78,4.93,2485354.0
PACB,2020-01-16,4.93,5.06,4.89,5.04,3134507.0
PACB,2020-01-17,5.03,5.1,4.91,4.98,1934566.0
PACB,2020-01-21,4.95,5.1,4.95,4.98,2742012.0
PACB,2020-01-22,5.0,5.04,4.94,4.97,1157411.0
PACB,2020-01-23,4.95,5.02,4.93,4.95,1435065.0
PACB,2020-01-24,4.95,4.99,4.93,4.95,1243469.0
PACB,2020-01-27,4.93,4.95,4.88,4.89,609240.0
PACB,2020-01-28,4.85,4.9,4.76,4.78,1312812.0
PACB,2020-01-29,4.75,4.82,4.72,4.73,700540.0
PACB,2020-01-30,4.7,4.73,4.61,4.69,758794.0
PACB,2020-01-31,4.65,4.72,4.54,4.67,1558341.0
PACB,2020-02-03,4.68,4.86,4.68,4.8,911291.0
PACB,2020-02-04,4.81,4.85,4.72,4.74,1232901.0
PACB,2020-02-05,4.74,4.82,4.7,4.72,1095853.0
PACB,2020-02-06,4.73,4.82,4.73,4.82,1193940.0
PACB,2020-02-07,5.0,5.13,4.44,4.53,5051099.0
PACB,2020-02-10,4.49,4.62,4.18,4.2,3000615.0
PACB,2020-02-11,4.23,4.34,3.9,4.14,3484171.0
PACB,2020-02-12,4.15,4.3,4.09,4.25,2137879.0
PACB,2020-02-13,4.21,4.52,4.18,4.51,3686075.0
