Ticker,Date,open,high,low,close,volume
PD,2020-01-02,23.69,24.4,23.69,24.34,553738.0
PD,2020-01-03,24.09,24.46,23.66,24.38,602653.0
PD,2020-01-06,24.12,24.89,24.01,24.64,565856.0
PD,2020-01-07,24.77,25.23,24.09,24.72,658500.0
PD,2020-01-08,24.32,25.42,24.05,25.27,1134868.0
PD,2020-01-09,25.49,25.49,24.17,24.65,850520.0
PD,2020-01-10,24.81,25.0,24.17,24.21,475565.0
PD,2020-01-13,24.1,25.25,24.0,24.92,639958.0
PD,2020-01-14,25.26,25.26,24.47,24.71,302728.0
PD,2020-01-15,24.69,25.14,24.33,24.42,531574.0
PD,2020-01-16,24.62,25.48,24.53,25.37,496804.0
PD,2020-01-17,25.5,25.88,25.21,25.23,517539.0
PD,2020-01-21,25.31,25.51,24.73,24.76,559063.0
PD,2020-01-22,24.76,25.79,24.75,25.38,519180.0
PD,2020-01-23,25.0,25.2,24.08,24.16,943642.0
PD,2020-01-24,24.72,24.72,23.34,23.72,754816.0
PD,2020-01-27,23.2,23.33,22.95,23.1,518830.0
PD,2020-01-28,23.22,23.83,23.02,23.66,418225.0
PD,2020-01-29,23.85,24.63,23.71,24.35,561024.0
PD,2020-01-30,24.13,24.65,23.9,24.61,302685.0
PD,2020-01-31,24.5,24.64,23.03,23.32,680693.0
PD,2020-02-03,23.39,23.66,22.98,23.48,350171.0
PD,2020-02-04,23.76,24.65,23.36,24.07,427361.0
PD,2020-02-05,24.36,24.36,22.71,22.91,482874.0
PD,2020-02-06,22.9,23.2,22.42,22.89,917847.0
PD,2020-02-07,22.9,23.06,22.29,22.5,1039822.0
PD,2020-02-10,22.47,23.12,21.86,22.89,827471.0
PD,2020-02-11,23.13,23.13,22.15,22.36,445190.0
PD,2020-02-12,22.1,22.31,21.38,22.05,2067115.0
PD,2020-02-13,21.89,22.11,21.01,21.07,869557.0
PD,2020-02-14,21.1,21.88,20.96,21.3,608318.0
PD,2020-02-18,21.3,21.73,21.18,21.66,594344.0
PD,2020-02-19,21.75,22.76,21.72,21.99,1091819.0
PD,2020-02-20,22.16,22.53,21.17,21.3,1075321.0
PD,2020-02-21,21.16,21.33,20.63,21.04,1169482.0
PD,2020-02-24,20.16,20.84,19.15,20.6,1952413.0
PD,2020-02-25,20.78,21.0,19.57,19.82,955115.0
PD,2020-02-26,19.85,20.32,19.39,19.5,772694.0
PD,2020-02-27,19.11,19.31,17.98,18.59,1142519.0
PD,2020-02-28,18.02,20.94,18.01,20.6,1831024.0
PD,2020-03-02,20.99,21.25,20.04,20.87,1336873.0
PD,2020-03-03,21.01,21.63,19.18,20.02,1035060.0
PD,2020-03-04,20.48,21.02,19.62,20.7,774423.0
PD,2020-03-05,20.22,20.6,19.28,19.79,904043.0
PD,2020-03-06,19.26,19.97,18.94,19.59,1148187.0
PD,2020-03-09,18.5,18.76,17.58,18.16,1016643.0
PD,2020-03-10,18.73,19.28,17.89,19.27,1229477.0
PD,2020-03-11,18.7,18.85,17.97,18.1,918108.0
PD,2020-03-12,16.67,17.69,15.23,15.77,1128475.0
PD,2020-03-13,16.37,16.76,13.75,15.61,1183203.0
PD,2020-03-16,13.12,14.34,12.63,12.87,1144511.0
PD,2020-03-17,13.14,14.94,12.33,14.94,1148869.0
PD,2020-03-18,13.86,15.73,13.55,14.92,1139905.0
PD,2020-03-19,14.47,18.84,14.47,18.43,2433583.0
PD,2020-03-20,18.83,19.57,17.93,19.07,2661611.0
PD,2020-03-23,17.16,18.79,16.6,17.79,4162964.0
PD,2020-03-24,18.75,19.14,17.74,18.03,1592213.0
PD,2020-03-25,18.07,18.9,17.99,18.35,2741242.0
PD,2020-03-26,18.57,19.21,17.9,18.4,1887201.0
PD,2020-03-27,17.83,17.83,15.71,16.3,1649985.0
PD,2020-03-30,16.18,17.18,16.0,17.03,1297454.0
PD,2020-03-31,16.95,17.73,16.82,17.28,1158494.0
PD,2020-04-01,16.74,17.15,15.65,16.04,2148263.0
PD,2020-04-02,16.11,16.15,15.0,15.89,2582565.0
PD,2020-04-03,15.84,15.84,14.7,15.11,2571888.0
PD,2020-04-06,15.85,17.43,15.6,17.26,2547230.0
PD,2020-04-07,18.0,18.0,15.93,16.63,1734251.0
PD,2020-04-08,16.95,18.25,16.71,18.13,2663861.0
