Ticker,Date,open,high,low,close,volume
PERI,2020-01-02,6.36,6.5,6.32,6.5,147292.0
PERI,2020-01-03,6.42,6.58,6.27,6.56,195487.0
PERI,2020-01-06,7.08,7.57,6.95,7.3,1333520.0
PERI,2020-01-07,7.4,7.86,7.4,7.76,780688.0
PERI,2020-01-08,8.04,8.45,8.01,8.28,1174055.0
PERI,2020-01-09,8.42,8.47,7.78,8.36,867636.0
PERI,2020-01-10,8.46,8.58,8.07,8.44,360965.0
PERI,2020-01-13,8.5,8.52,8.03,8.3,503305.0
PERI,2020-01-14,8.44,9.05,8.15,8.72,716952.0
PERI,2020-01-15,8.95,9.19,8.86,8.95,535384.0
PERI,2020-01-16,9.1,9.2,8.7,8.72,398883.0
PERI,2020-01-17,8.8,9.04,8.77,8.97,320313.0
PERI,2020-01-21,9.22,9.52,8.96,9.37,685584.0
PERI,2020-01-22,9.45,9.7,9.11,9.27,503571.0
PERI,2020-01-23,9.27,9.4,8.8,8.8,401864.0
PERI,2020-01-24,8.82,8.89,8.01,8.29,759114.0
PERI,2020-01-27,7.8,8.11,7.53,7.95,534543.0
PERI,2020-01-28,8.1,8.17,7.79,8.02,275428.0
PERI,2020-01-29,8.09,8.36,7.97,8.16,389120.0
PERI,2020-01-30,7.99,8.01,7.61,7.83,319452.0
PERI,2020-01-31,7.8,7.94,7.58,7.71,253258.0
PERI,2020-02-03,7.68,8.02,7.55,7.9,405776.0
PERI,2020-02-04,8.18,8.32,7.93,8.17,322175.0
PERI,2020-02-05,8.7,8.71,8.21,8.37,346172.0
PERI,2020-02-06,8.42,8.57,7.77,7.97,452029.0
PERI,2020-02-07,8.06,8.15,7.71,7.92,348572.0
PERI,2020-02-10,7.91,8.17,7.82,8.13,298525.0
PERI,2020-02-11,8.21,8.4,8.04,8.34,395613.0
PERI,2020-02-12,8.83,9.1,7.87,8.42,1868626.0
PERI,2020-02-13,8.42,8.6,8.32,8.5,401518.0
PERI,2020-02-14,8.63,9.53,8.63,9.01,1287914.0
PERI,2020-02-18,9.0,9.22,8.51,8.78,1246495.0
PERI,2020-02-19,8.82,9.1,8.61,8.87,656108.0
PERI,2020-02-20,8.81,8.85,8.29,8.64,465534.0
PERI,2020-02-21,8.63,8.64,8.26,8.39,532942.0
PERI,2020-02-24,7.97,8.09,7.53,7.83,772270.0
PERI,2020-02-25,8.0,8.04,7.7,7.86,426544.0
PERI,2020-02-26,7.87,8.01,7.73,7.79,299868.0
PERI,2020-02-27,7.46,7.5,7.03,7.2,736633.0
PERI,2020-02-28,6.83,7.29,6.76,7.2,699898.0
PERI,2020-03-02,7.23,7.35,7.05,7.28,330350.0
PERI,2020-03-03,7.35,7.37,7.02,7.16,363772.0
PERI,2020-03-04,7.21,7.3,7.01,7.21,294329.0
PERI,2020-03-05,6.91,7.1,6.82,7.0,315823.0
PERI,2020-03-06,6.77,7.11,6.72,7.0,367401.0
PERI,2020-03-09,6.41,6.45,6.15,6.28,469398.0
PERI,2020-03-10,6.39,6.59,6.18,6.56,308638.0
PERI,2020-03-11,6.36,6.39,5.92,6.2,369212.0
PERI,2020-03-12,5.53,5.58,4.92,5.22,589121.0
PERI,2020-03-13,5.5,5.55,4.9,5.17,455288.0
PERI,2020-03-16,4.51,4.54,3.78,4.06,506393.0
PERI,2020-03-17,4.09,4.24,3.8,4.11,475404.0
PERI,2020-03-18,3.82,3.97,3.43,3.67,439354.0
PERI,2020-03-19,3.73,4.04,3.65,3.95,333169.0
PERI,2020-03-20,4.01,4.34,3.96,4.08,401535.0
PERI,2020-03-23,4.15,4.19,3.9,4.09,320706.0
PERI,2020-03-24,4.49,4.58,4.31,4.46,252667.0
PERI,2020-03-25,4.83,4.91,4.53,4.76,266680.0
PERI,2020-03-26,4.87,5.09,4.77,4.92,199732.0
PERI,2020-03-27,4.77,5.0,4.6,4.96,216202.0
PERI,2020-03-30,5.0,5.03,4.6,4.66,301575.0
PERI,2020-03-31,4.65,4.91,4.65,4.89,222646.0
PERI,2020-04-01,4.67,4.72,4.18,4.27,323838.0
PERI,2020-04-02,4.31,4.65,4.25,4.48,300610.0
PERI,2020-04-03,4.48,4.53,4.13,4.2,162152.0
PERI,2020-04-06,4.42,4.61,4.35,4.6,196392.0
PERI,2020-04-07,4.95,5.04,4.63,4.85,248083.0
PERI,2020-04-08,4.9,5.0,4.74,4.95,139171.0
PERI,2020-04-09,4.95,5.2,4.83,5.08,200248.0
PERI,2020-04-13,5.12,5.15,4.86,5.14,287538.0
PERI,2020-04-14,5.26,5.36,5.02,5.1,163559.0
PERI,2020-04-15,4.96,4.97,4.77,4.93,93223.0
PERI,2020-04-16,4.94,4.98,4.7,4.79,184659.0
PERI,2020-04-17,4.8,4.89,4.7,4.76,261416.0
PERI,2020-04-20,4.67,4.87,4.67,4.85,326501.0
PERI,2020-04-21,4.88,4.9,4.67,4.76,224924.0
PERI,2020-04-22,4.81,4.87,4.73,4.81,171782.0
PERI,2020-04-23,4.8,4.99,4.8,4.8,257408.0
PERI,2020-04-24,4.87,4.9,4.61,4.72,267072.0
PERI,2020-04-27,4.77,4.84,4.67,4.69,247903.0
PERI,2020-04-28,4.79,4.8,4.52,4.66,348185.0
PERI,2020-04-29,4.77,5.07,4.7,4.95,594322.0
PERI,2020-04-30,5.1,5.1,4.78,4.99,307198.0
PERI,2020-05-01,4.9,4.96,4.36,4.46,528328.0
PERI,2020-05-04,4.57,4.73,4.53,4.73,274393.0
PERI,2020-05-05,4.8,4.9,4.66,4.69,149481.0
PERI,2020-05-06,5.32,5.32,4.44,4.54,1141372.0
