Ticker,Date,open,high,low,close,volume
PHR,2020-01-02,26.74,27.1,25.7,26.37,499355.0
PHR,2020-01-03,26.07,26.71,25.95,26.59,227092.0
PHR,2020-01-06,26.54,27.31,26.02,27.24,194111.0
PHR,2020-01-07,27.19,27.52,27.09,27.24,414454.0
PHR,2020-01-08,27.24,27.48,26.52,27.11,176146.0
PHR,2020-01-09,27.29,27.57,26.73,26.78,243204.0
PHR,2020-01-10,26.83,26.91,26.29,26.56,259492.0
PHR,2020-01-13,26.56,26.82,26.21,26.21,787361.0
PHR,2020-01-14,26.08,26.23,25.26,25.88,514120.0
PHR,2020-01-15,25.68,26.21,25.68,26.0,506835.0
PHR,2020-01-16,26.05,27.7,25.9,27.59,436576.0
PHR,2020-01-17,27.74,28.18,27.46,27.83,523115.0
PHR,2020-01-21,27.68,28.54,27.33,28.33,520326.0
PHR,2020-01-22,28.42,28.75,27.84,28.5,798943.0
PHR,2020-01-23,28.39,29.01,27.73,29.0,401801.0
PHR,2020-01-24,29.25,30.19,29.12,29.99,399390.0
PHR,2020-01-27,29.52,29.74,28.46,29.26,547221.0
PHR,2020-01-28,29.39,30.67,29.29,30.65,629454.0
PHR,2020-01-29,30.7,31.38,30.11,31.15,412068.0
PHR,2020-01-30,30.95,31.36,30.86,31.18,357948.0
PHR,2020-01-31,31.2,31.2,30.4,31.0,358018.0
PHR,2020-02-03,31.08,31.51,30.15,31.47,436562.0
PHR,2020-02-04,31.7,31.85,30.92,31.03,498438.0
PHR,2020-02-05,31.4,33.71,31.4,33.43,468250.0
PHR,2020-02-06,33.6,34.32,32.73,33.27,729701.0
PHR,2020-02-07,33.25,33.34,32.0,32.58,140663.0
PHR,2020-02-10,32.62,33.66,32.28,32.76,323954.0
PHR,2020-02-11,32.8,33.48,32.25,33.29,134523.0
PHR,2020-02-12,33.24,33.54,32.09,32.36,377089.0
PHR,2020-02-13,32.13,34.39,32.13,33.55,308635.0
PHR,2020-02-14,33.62,33.72,32.41,32.61,156577.0
PHR,2020-02-18,32.47,33.52,32.34,32.73,164118.0
PHR,2020-02-19,32.85,34.85,32.8,33.37,576505.0
PHR,2020-02-20,33.4,34.3,33.2,33.61,484311.0
PHR,2020-02-21,33.67,34.59,33.49,34.13,204114.0
PHR,2020-02-24,33.12,33.62,31.14,31.82,279117.0
PHR,2020-02-25,32.0,32.58,30.33,30.46,274955.0
PHR,2020-02-26,30.61,31.89,30.61,31.7,476626.0
PHR,2020-02-27,31.19,32.68,30.52,31.45,302095.0
PHR,2020-02-28,30.28,31.16,29.77,31.04,418598.0
PHR,2020-03-02,31.14,31.28,28.86,29.5,331261.0
PHR,2020-03-03,29.65,30.39,28.51,29.3,362846.0
PHR,2020-03-04,29.84,32.3,29.54,31.39,345859.0
PHR,2020-03-05,30.71,31.24,30.35,30.79,257088.0
PHR,2020-03-06,30.07,30.44,27.67,28.15,283017.0
PHR,2020-03-09,26.76,26.92,24.5,24.82,448758.0
PHR,2020-03-10,25.7,25.74,24.12,25.27,367190.0
PHR,2020-03-11,24.74,25.07,22.96,23.5,360141.0
PHR,2020-03-12,21.86,23.18,19.8,20.94,464002.0
PHR,2020-03-13,22.03,22.29,19.67,20.3,698939.0
PHR,2020-03-16,18.75,19.01,16.42,18.09,534743.0
PHR,2020-03-17,18.14,19.44,17.29,18.86,351247.0
PHR,2020-03-18,17.64,18.07,16.01,16.59,164857.0
PHR,2020-03-19,16.64,18.69,16.09,18.53,548053.0
PHR,2020-03-20,18.83,21.4,16.57,20.12,2502376.0
PHR,2020-03-23,20.0,20.25,18.6,18.99,560636.0
PHR,2020-03-24,19.89,19.89,17.67,18.16,442335.0
PHR,2020-03-25,18.03,19.44,16.87,18.18,798853.0
PHR,2020-03-26,17.94,20.77,17.39,20.57,372619.0
PHR,2020-03-27,19.87,20.21,18.51,18.67,295018.0
PHR,2020-03-30,18.68,20.34,18.01,20.34,555229.0
PHR,2020-03-31,20.26,21.5,19.63,21.03,469276.0
PHR,2020-04-01,20.31,20.7,18.89,19.36,390542.0
PHR,2020-04-02,19.53,19.93,18.41,19.16,158394.0
PHR,2020-04-03,18.99,19.31,17.49,18.54,231546.0
PHR,2020-04-06,19.0,19.62,18.16,18.32,439880.0
PHR,2020-04-07,18.76,18.97,17.27,17.65,546426.0
PHR,2020-04-08,17.66,18.76,17.51,17.96,669669.0
PHR,2020-04-09,18.23,20.37,18.0,19.75,592889.0
PHR,2020-04-13,19.75,20.48,19.15,19.97,542936.0
PHR,2020-04-14,20.71,20.85,18.84,19.81,386264.0
PHR,2020-04-15,19.28,20.57,18.0,19.93,431191.0
PHR,2020-04-16,19.85,20.84,19.01,19.89,400329.0
PHR,2020-04-17,20.27,22.74,20.27,21.84,420131.0
PHR,2020-04-20,21.19,23.28,21.19,22.69,813227.0
PHR,2020-04-21,22.53,23.74,22.02,22.55,520841.0
PHR,2020-04-22,22.84,23.83,21.6,22.01,437784.0
PHR,2020-04-23,21.4,25.29,20.55,23.5,993964.0
PHR,2020-04-24,24.18,24.39,23.25,23.67,1448273.0
PHR,2020-04-27,23.85,27.54,23.54,26.63,722337.0
PHR,2020-04-28,26.6,27.37,25.92,26.75,403947.0
PHR,2020-04-29,27.16,28.26,26.45,26.66,421032.0
PHR,2020-04-30,26.0,26.37,25.04,25.39,307354.0
PHR,2020-05-01,24.87,25.2,23.82,25.2,483042.0
PHR,2020-05-04,24.5,25.03,24.21,24.81,301884.0
PHR,2020-05-05,25.17,25.73,24.52,25.01,354454.0
PHR,2020-05-06,25.0,25.8,24.56,25.0,253443.0
PHR,2020-05-07,25.63,26.63,25.11,26.6,291856.0
PHR,2020-05-08,26.9,27.71,26.39,27.53,310241.0
PHR,2020-05-11,27.23,27.61,26.73,27.21,348970.0
PHR,2020-05-12,27.21,27.68,26.45,26.5,308365.0
PHR,2020-05-13,26.3,26.63,24.9,25.73,175722.0
PHR,2020-05-14,25.15,25.99,24.89,25.98,167241.0
PHR,2020-05-15,26.52,27.0,25.61,26.19,224485.0
PHR,2020-05-18,27.2,27.86,26.94,27.7,295064.0
PHR,2020-05-19,27.52,29.02,27.52,28.5,321650.0
PHR,2020-05-20,29.84,30.36,29.13,29.5,376628.0
PHR,2020-05-21,29.25,30.02,28.74,29.45,306484.0
PHR,2020-05-22,29.74,29.84,29.06,29.45,158928.0
PHR,2020-05-26,30.23,30.35,29.51,29.59,285500.0
PHR,2020-05-27,30.04,30.04,28.34,28.91,269276.0
PHR,2020-05-28,29.1,30.39,28.77,29.32,414408.0
PHR,2020-05-29,29.3,29.39,28.52,29.32,327153.0
PHR,2020-06-01,29.14,30.43,28.78,30.08,328396.0
PHR,2020-06-02,30.26,30.35,29.35,29.92,414626.0
PHR,2020-06-03,30.35,31.46,30.08,30.96,426833.0
PHR,2020-06-04,30.55,31.05,28.56,29.03,305624.0
PHR,2020-06-05,29.97,32.69,29.38,32.03,627698.0
PHR,2020-06-08,32.34,32.67,31.38,31.6,384434.0
PHR,2020-06-09,31.86,32.53,29.33,29.9,1268627.0
PHR,2020-06-10,29.21,30.82,27.71,30.18,850544.0
PHR,2020-06-11,28.93,28.93,26.2,27.22,1227123.0
PHR,2020-06-12,28.29,28.98,27.51,28.67,576630.0
PHR,2020-06-15,27.74,30.63,27.74,30.23,516152.0
PHR,2020-06-16,29.31,30.06,28.61,30.06,950929.0
PHR,2020-06-17,29.97,30.22,28.86,29.03,499019.0
PHR,2020-06-18,28.71,28.92,27.57,28.51,677253.0
PHR,2020-06-19,28.75,29.25,27.71,28.28,612478.0
PHR,2020-06-22,28.27,29.16,28.03,29.1,699808.0
PHR,2020-06-23,29.3,29.36,28.29,28.52,382299.0
PHR,2020-06-24,28.17,28.29,27.07,27.75,429149.0
PHR,2020-06-25,27.66,28.49,27.12,28.07,446696.0
PHR,2020-06-26,27.99,28.35,26.9,27.02,903346.0
PHR,2020-06-29,27.42,27.77,26.55,27.05,338324.0
PHR,2020-06-30,27.15,28.49,26.83,28.28,383708.0
PHR,2020-07-01,28.09,28.97,27.98,27.99,686756.0
PHR,2020-07-02,28.49,29.14,28.13,29.14,573141.0
PHR,2020-07-06,29.53,29.53,28.24,28.83,387527.0
PHR,2020-07-07,28.9,29.89,28.69,29.28,431964.0
PHR,2020-07-08,29.21,29.21,27.48,27.82,412685.0
PHR,2020-07-09,27.79,28.52,27.63,28.25,320146.0
PHR,2020-07-10,28.42,29.37,28.01,29.31,253654.0
PHR,2020-07-13,29.47,29.98,29.01,29.09,366329.0
PHR,2020-07-14,28.97,29.85,28.3,29.05,223402.0
PHR,2020-07-15,29.35,30.33,29.24,30.05,382627.0
PHR,2020-07-16,29.87,30.01,28.95,29.46,197787.0
PHR,2020-07-17,29.4,29.69,28.98,29.17,226196.0
PHR,2020-07-20,29.06,29.77,29.0,29.49,278647.0
PHR,2020-07-21,29.45,29.46,28.47,28.73,442996.0
PHR,2020-07-22,28.47,28.89,27.8,28.78,338827.0
PHR,2020-07-23,28.52,28.97,27.83,28.01,320874.0
PHR,2020-07-24,27.71,27.89,26.96,27.0,275678.0
PHR,2020-07-27,26.59,27.83,26.5,27.46,310561.0
PHR,2020-07-28,27.46,27.71,27.26,27.52,179954.0
PHR,2020-07-29,27.73,28.53,27.67,28.51,240389.0
PHR,2020-07-30,28.19,29.33,28.03,29.3,312545.0
PHR,2020-07-31,29.28,30.2,29.21,30.06,465625.0
PHR,2020-08-03,30.0,31.16,29.91,30.87,302757.0
PHR,2020-08-04,30.91,31.62,30.79,31.02,314395.0
PHR,2020-08-05,30.42,30.5,28.06,29.89,547193.0
PHR,2020-08-06,29.84,30.86,29.76,30.68,227036.0
PHR,2020-08-07,30.53,30.98,29.84,30.27,131631.0
PHR,2020-08-10,30.22,30.73,29.72,30.59,232951.0
PHR,2020-08-11,30.69,31.02,29.49,29.62,347042.0
PHR,2020-08-12,29.7,30.34,29.14,29.66,216510.0
PHR,2020-08-13,29.7,31.0,29.55,30.52,478125.0
PHR,2020-08-14,30.32,31.0,29.55,29.84,194751.0
PHR,2020-08-17,29.96,30.24,29.34,30.06,195344.0
PHR,2020-08-18,30.12,30.42,29.89,30.27,286712.0
PHR,2020-08-19,30.4,31.07,30.22,30.52,190962.0
PHR,2020-08-20,30.24,31.0,30.2,30.46,121858.0
PHR,2020-08-21,30.38,30.68,30.16,30.44,85509.0
PHR,2020-08-24,30.72,30.72,29.31,29.67,160259.0
PHR,2020-08-25,29.7,31.02,29.54,30.61,252740.0
PHR,2020-08-26,30.76,31.52,30.52,30.96,361770.0
PHR,2020-08-27,31.11,31.35,30.81,31.0,197238.0
PHR,2020-08-28,31.1,31.99,30.97,31.6,484531.0
PHR,2020-08-31,31.14,31.86,28.96,31.54,898826.0
PHR,2020-09-01,31.37,32.01,31.08,31.92,569821.0
PHR,2020-09-02,32.29,33.15,31.75,33.05,760867.0
PHR,2020-09-03,33.24,34.66,32.31,32.91,720945.0
PHR,2020-09-04,33.2,33.31,30.03,31.0,388710.0
PHR,2020-09-08,30.41,30.98,29.64,30.45,379014.0
PHR,2020-09-09,30.83,31.03,29.08,30.01,780872.0
PHR,2020-09-10,30.73,31.12,28.43,28.53,375020.0
PHR,2020-09-11,28.83,28.83,27.42,28.15,633759.0
PHR,2020-09-14,28.44,30.16,28.44,30.05,486112.0
PHR,2020-09-15,30.37,30.69,29.9,30.44,321327.0
PHR,2020-09-16,30.27,30.58,29.9,29.96,380355.0
PHR,2020-09-17,29.33,29.81,28.96,29.68,452014.0
PHR,2020-09-18,30.0,30.31,29.46,29.86,721007.0
PHR,2020-09-21,29.04,29.49,28.16,28.53,281893.0
PHR,2020-09-22,29.2,29.76,28.37,29.66,321741.0
PHR,2020-09-23,29.43,30.0,28.84,29.24,445728.0
PHR,2020-09-24,29.05,29.39,27.79,27.95,245863.0
PHR,2020-09-25,28.0,29.22,27.96,28.94,192414.0
PHR,2020-09-28,29.15,29.54,28.84,29.36,146159.0
PHR,2020-09-29,29.59,31.08,29.59,30.94,595238.0
