Ticker,Date,open,high,low,close,volume
PLTR,2020-09-30,10.0,11.42,9.11,9.5,338584433.0
PLTR,2020-10-01,9.69,10.1,9.23,9.46,124297587.0
PLTR,2020-10-02,9.06,9.28,8.94,9.2,55018343.0
PLTR,2020-10-05,9.43,9.49,8.92,9.03,36316878.0
PLTR,2020-10-06,9.04,10.18,8.9,9.9,90864039.0
PLTR,2020-10-07,10.04,10.49,9.99,10.0,54672419.0
PLTR,2020-10-08,10.29,10.4,9.99,10.0,34989186.0
PLTR,2020-10-09,10.13,10.19,9.89,9.95,19653450.0
PLTR,2020-10-12,10.04,10.05,9.66,9.89,20623565.0
PLTR,2020-10-13,9.88,9.88,9.41,9.47,21847177.0
PLTR,2020-10-14,9.6,9.66,9.29,9.34,13785097.0
PLTR,2020-10-15,9.27,9.91,9.18,9.91,12924093.0
PLTR,2020-10-16,9.94,9.95,9.66,9.71,11142464.0
PLTR,2020-10-19,9.79,9.82,9.53,9.57,9126352.0
PLTR,2020-10-20,9.6,9.66,9.27,9.27,11138223.0
PLTR,2020-10-21,9.3,9.48,9.2,9.2,9189978.0
PLTR,2020-10-22,9.37,9.75,9.22,9.68,17928578.0
PLTR,2020-10-23,9.71,9.83,9.47,9.49,12618010.0
PLTR,2020-10-26,9.72,9.97,9.6,9.95,23767344.0
PLTR,2020-10-27,10.0,11.04,9.92,10.95,53695925.0
PLTR,2020-10-28,10.66,10.99,10.1,10.85,30941720.0
PLTR,2020-10-29,10.9,11.1,10.56,10.75,20515706.0
PLTR,2020-10-30,10.61,10.68,9.85,10.13,19728372.0
PLTR,2020-11-02,10.23,10.57,10.23,10.54,11677845.0
PLTR,2020-11-03,10.57,10.94,10.44,10.5,21652807.0
PLTR,2020-11-04,10.82,10.92,10.55,10.72,15783356.0
PLTR,2020-11-05,10.9,12.13,10.85,11.88,48560380.0
PLTR,2020-11-06,12.22,14.96,12.05,13.83,89977555.0
PLTR,2020-11-09,14.96,15.9,14.11,14.67,60098963.0
PLTR,2020-11-10,14.99,15.01,13.18,14.0,38078742.0
PLTR,2020-11-11,14.57,15.97,14.4,15.96,47027940.0
PLTR,2020-11-12,16.66,17.06,14.41,14.58,99287571.0
PLTR,2020-11-13,14.49,16.0,14.49,15.8,76622565.0
PLTR,2020-11-16,15.96,16.1,15.01,15.93,65325988.0
PLTR,2020-11-17,16.29,18.75,16.18,17.85,116618543.0
PLTR,2020-11-18,18.28,19.25,17.54,17.9,89957892.0
PLTR,2020-11-19,18.5,18.98,17.96,18.98,56225400.0
PLTR,2020-11-20,19.03,19.66,18.0,18.15,72103988.0
PLTR,2020-11-23,18.63,21.45,18.57,21.04,84716298.0
