Ticker,Date,open,high,low,close,volume
PRLB,2020-01-02,102.32,102.32,99.34,101.23,132478.0
PRLB,2020-01-03,99.63,99.74,97.89,99.43,165275.0
PRLB,2020-01-06,98.42,100.34,97.71,100.11,125351.0
PRLB,2020-01-07,99.64,100.71,98.78,100.05,72413.0
PRLB,2020-01-08,100.35,101.9,100.04,101.4,117673.0
PRLB,2020-01-09,101.88,102.62,101.37,101.62,95371.0
PRLB,2020-01-10,101.57,101.61,99.2,100.08,93643.0
PRLB,2020-01-13,100.55,102.72,100.34,102.0,107103.0
PRLB,2020-01-14,102.0,103.71,101.21,102.39,100126.0
PRLB,2020-01-15,102.01,103.9,102.01,102.87,99907.0
PRLB,2020-01-16,103.83,108.4,103.38,108.3,247452.0
PRLB,2020-01-17,108.51,109.83,107.43,109.0,244643.0
PRLB,2020-01-21,108.56,109.66,108.05,108.61,190468.0
PRLB,2020-01-22,109.3,109.97,108.8,109.71,90879.0
PRLB,2020-01-23,107.19,108.74,105.3,108.69,268348.0
PRLB,2020-01-24,109.06,109.06,105.72,106.69,135677.0
PRLB,2020-01-27,104.28,105.79,103.3,104.99,191359.0
PRLB,2020-01-28,105.96,107.37,105.65,106.45,171184.0
PRLB,2020-01-29,107.11,107.29,105.27,106.23,119954.0
PRLB,2020-01-30,104.88,106.38,104.18,106.28,109727.0
PRLB,2020-01-31,105.45,105.89,102.6,103.5,197768.0
PRLB,2020-02-03,104.31,106.29,103.93,104.67,215794.0
PRLB,2020-02-04,106.86,109.06,106.28,109.0,275428.0
PRLB,2020-02-05,110.68,114.75,110.0,113.05,527015.0
PRLB,2020-02-06,103.09,104.91,98.66,99.02,1518457.0
PRLB,2020-02-07,98.13,98.58,93.81,95.28,576192.0
PRLB,2020-02-10,95.01,97.12,94.44,96.72,301977.0
PRLB,2020-02-11,97.78,99.74,97.45,99.0,237974.0
PRLB,2020-02-12,100.21,100.31,99.0,99.59,182650.0
PRLB,2020-02-13,98.79,100.56,98.53,100.0,265939.0
PRLB,2020-02-14,100.13,100.93,99.68,100.32,235439.0
PRLB,2020-02-18,99.8,100.85,99.53,99.93,139863.0
PRLB,2020-02-19,100.38,100.38,98.95,99.07,123439.0
PRLB,2020-02-20,98.47,101.19,98.47,99.82,138797.0
PRLB,2020-02-21,99.51,99.62,98.28,98.53,201644.0
PRLB,2020-02-24,94.41,97.82,94.01,97.0,246388.0
PRLB,2020-02-25,96.9,97.33,93.86,94.32,249227.0
PRLB,2020-02-26,95.3,96.31,92.87,93.81,234735.0
PRLB,2020-02-27,91.81,94.4,90.6,91.19,366327.0
PRLB,2020-02-28,88.2,90.5,85.88,87.64,411087.0
PRLB,2020-03-02,87.83,88.85,85.98,88.67,337284.0
PRLB,2020-03-03,88.35,89.64,86.88,88.36,446292.0
PRLB,2020-03-04,89.72,90.0,87.37,89.87,143927.0
PRLB,2020-03-05,87.87,88.27,84.8,85.29,239501.0
PRLB,2020-03-06,82.37,85.25,81.51,84.12,193039.0
PRLB,2020-03-09,78.17,80.51,76.12,78.16,380051.0
PRLB,2020-03-10,80.15,82.76,78.39,82.38,466472.0
PRLB,2020-03-11,80.39,80.96,76.68,78.36,186016.0
PRLB,2020-03-12,74.01,74.01,69.54,69.73,348610.0
PRLB,2020-03-13,73.68,76.14,69.77,73.2,386507.0
PRLB,2020-03-16,69.72,72.23,65.88,66.12,374562.0
PRLB,2020-03-17,67.13,70.92,64.92,70.78,514136.0
PRLB,2020-03-18,66.46,70.98,63.34,70.88,339718.0
PRLB,2020-03-19,70.23,71.86,65.08,67.02,381485.0
PRLB,2020-03-20,67.4,67.9,63.34,64.61,413910.0
PRLB,2020-03-23,64.43,71.49,63.19,64.92,773511.0
PRLB,2020-03-24,68.26,73.79,68.26,73.78,390874.0
PRLB,2020-03-25,73.78,77.88,72.0,74.94,346916.0
PRLB,2020-03-26,76.39,79.41,75.15,76.85,382186.0
PRLB,2020-03-27,74.6,79.23,72.29,78.1,380251.0
PRLB,2020-03-30,78.26,79.77,74.41,75.93,362672.0
PRLB,2020-03-31,75.57,79.54,75.22,76.13,323151.0
PRLB,2020-04-01,73.44,73.89,68.77,69.84,271849.0
PRLB,2020-04-02,69.27,72.22,67.64,68.95,212624.0
PRLB,2020-04-03,68.22,72.15,66.01,67.88,398777.0
PRLB,2020-04-06,70.79,79.32,70.79,78.22,334403.0
PRLB,2020-04-07,80.57,83.05,74.78,75.31,256581.0
PRLB,2020-04-08,76.86,78.26,75.46,77.7,168485.0
PRLB,2020-04-09,78.49,79.25,74.87,77.21,278861.0
PRLB,2020-04-13,76.75,79.06,75.26,78.72,208477.0
PRLB,2020-04-14,80.59,81.49,78.34,80.35,216848.0
PRLB,2020-04-15,78.48,78.6,74.76,75.4,239692.0
PRLB,2020-04-16,75.16,76.85,74.42,76.54,203684.0
PRLB,2020-04-17,78.75,82.15,78.36,82.15,252509.0
PRLB,2020-04-20,80.48,83.07,80.09,81.53,160571.0
PRLB,2020-04-21,79.32,80.19,78.21,79.87,158378.0
PRLB,2020-04-22,81.66,81.95,79.7,80.04,180054.0
PRLB,2020-04-23,80.18,85.61,80.18,83.07,220674.0
PRLB,2020-04-24,82.61,85.68,81.82,84.26,206082.0
PRLB,2020-04-27,85.65,90.56,85.65,90.16,377415.0
PRLB,2020-04-28,92.43,96.28,92.43,95.72,507479.0
PRLB,2020-04-29,99.19,99.85,95.45,98.56,395710.0
PRLB,2020-04-30,101.85,111.17,97.87,101.59,507828.0
PRLB,2020-05-01,99.1,99.69,92.39,93.58,281364.0
PRLB,2020-05-04,92.31,95.14,92.19,94.22,236608.0
PRLB,2020-05-05,95.83,96.88,94.01,96.27,242286.0
PRLB,2020-05-06,96.82,99.72,95.94,99.43,187263.0
PRLB,2020-05-07,100.28,101.78,98.27,99.09,155335.0
PRLB,2020-05-08,100.28,104.18,100.03,103.8,186708.0
PRLB,2020-05-11,102.14,104.88,101.53,103.4,215353.0
PRLB,2020-05-12,103.98,104.29,99.73,99.73,191861.0
PRLB,2020-05-13,99.37,99.75,95.39,96.62,162920.0
PRLB,2020-05-14,95.11,99.37,93.28,99.35,268720.0
PRLB,2020-05-15,99.17,106.62,98.26,106.41,315347.0
PRLB,2020-05-18,109.67,116.8,109.67,116.3,321454.0
