Ticker,Date,open,high,low,close,volume
PSTG,2020-01-02,17.25,17.81,17.16,17.8,5411941.0
PSTG,2020-01-03,17.5,17.54,17.21,17.42,2482114.0
PSTG,2020-01-06,17.29,17.7,17.22,17.63,3150174.0
PSTG,2020-01-07,17.66,17.74,17.55,17.71,2476941.0
PSTG,2020-01-08,17.65,18.11,17.37,18.04,3053093.0
PSTG,2020-01-09,18.1,18.54,18.1,18.47,3869685.0
PSTG,2020-01-10,18.5,18.81,18.36,18.77,4224456.0
PSTG,2020-01-13,18.85,19.05,18.77,18.84,4460744.0
PSTG,2020-01-14,18.86,18.96,18.39,18.41,3357333.0
PSTG,2020-01-15,18.35,18.75,18.27,18.36,2099666.0
PSTG,2020-01-16,18.53,19.0,18.48,18.96,2139842.0
PSTG,2020-01-17,18.85,18.91,18.12,18.5,2819505.0
PSTG,2020-01-21,18.45,18.51,18.12,18.22,3622188.0
PSTG,2020-01-22,18.5,19.08,18.33,18.72,3219960.0
PSTG,2020-01-23,18.75,19.31,18.58,19.25,2417250.0
PSTG,2020-01-24,19.32,19.48,18.88,19.17,2445998.0
PSTG,2020-01-27,18.6,18.84,18.48,18.79,4487200.0
PSTG,2020-01-28,19.0,19.18,18.86,19.14,2235776.0
PSTG,2020-01-29,19.32,19.32,18.85,18.91,1760893.0
PSTG,2020-01-30,18.74,18.98,18.41,18.5,2046100.0
PSTG,2020-01-31,18.48,18.48,17.74,17.8,2791339.0
PSTG,2020-02-03,17.84,18.06,17.74,17.76,2612833.0
PSTG,2020-02-04,18.06,18.32,17.87,18.25,3773159.0
PSTG,2020-02-05,18.5,18.81,18.31,18.7,3405709.0
PSTG,2020-02-06,18.74,19.1,18.6,18.87,2059949.0
PSTG,2020-02-07,18.74,18.77,18.31,18.39,1421891.0
PSTG,2020-02-10,18.33,18.88,18.25,18.86,2838340.0
PSTG,2020-02-11,19.08,19.43,18.79,18.89,1998758.0
PSTG,2020-02-12,19.05,19.75,19.05,19.74,2266627.0
PSTG,2020-02-13,19.09,19.21,18.85,18.88,2298629.0
PSTG,2020-02-14,19.0,19.02,18.79,18.91,899129.0
PSTG,2020-02-18,18.72,18.87,18.59,18.76,3122774.0
PSTG,2020-02-19,18.9,19.12,18.66,18.7,3058310.0
PSTG,2020-02-20,18.57,18.66,18.12,18.47,5760858.0
PSTG,2020-02-21,18.34,18.44,17.75,17.88,4406588.0
PSTG,2020-02-24,17.07,17.56,17.01,17.35,4827553.0
PSTG,2020-02-25,17.58,17.64,16.56,16.62,6103546.0
PSTG,2020-02-26,16.7,16.92,15.7,15.86,5506876.0
PSTG,2020-02-27,15.38,15.61,15.0,15.06,9344809.0
PSTG,2020-02-28,14.86,15.86,14.66,15.26,7674676.0
PSTG,2020-03-02,15.4,15.76,14.72,15.76,6021819.0
PSTG,2020-03-03,15.7,16.02,14.97,15.2,3393020.0
PSTG,2020-03-04,15.49,15.6,15.05,15.58,2404917.0
PSTG,2020-03-05,15.2,15.41,14.94,15.13,3629962.0
PSTG,2020-03-06,14.58,15.12,14.57,15.08,3775414.0
PSTG,2020-03-09,14.05,14.42,13.57,13.62,3712399.0
PSTG,2020-03-10,14.14,14.47,13.47,14.47,4868633.0
PSTG,2020-03-11,14.03,14.06,13.46,13.72,4938228.0
PSTG,2020-03-12,12.0,12.9,11.6,11.61,7098876.0
PSTG,2020-03-13,12.28,12.73,11.8,11.89,6187735.0
PSTG,2020-03-16,10.75,11.06,9.04,9.07,6682093.0
PSTG,2020-03-17,9.31,9.81,8.07,9.16,8843413.0
PSTG,2020-03-18,8.5,9.41,7.93,8.76,4420509.0
PSTG,2020-03-19,8.61,10.33,8.57,10.21,5398403.0
PSTG,2020-03-20,10.39,10.77,9.63,9.73,5858442.0
PSTG,2020-03-23,9.69,10.98,9.29,10.81,3826909.0
PSTG,2020-03-24,11.43,12.45,11.21,12.36,5676024.0
PSTG,2020-03-25,12.45,13.12,12.09,12.55,4084065.0
PSTG,2020-03-26,12.6,14.04,12.6,14.0,4089888.0
PSTG,2020-03-27,13.44,13.54,12.45,12.69,2471217.0
PSTG,2020-03-30,12.58,13.42,12.17,12.4,2412015.0
PSTG,2020-03-31,12.37,12.97,12.19,12.3,2686149.0
PSTG,2020-04-01,11.69,12.02,11.21,11.25,4337222.0
PSTG,2020-04-02,11.22,11.89,11.1,11.59,3341987.0
PSTG,2020-04-03,11.58,11.68,10.54,10.62,3614943.0
PSTG,2020-04-06,11.26,12.0,11.1,11.94,5196466.0
PSTG,2020-04-07,12.64,12.75,11.95,12.0,3558029.0
PSTG,2020-04-08,12.24,12.69,12.0,12.58,2709442.0
PSTG,2020-04-09,12.85,13.28,12.56,12.79,2511433.0
PSTG,2020-04-13,12.68,12.86,12.22,12.75,2649078.0
PSTG,2020-04-14,13.25,13.61,12.86,12.98,5068592.0
PSTG,2020-04-15,12.5,12.71,12.01,12.21,4162424.0
PSTG,2020-04-16,12.51,12.62,11.96,12.32,3068071.0
PSTG,2020-04-17,12.65,12.93,12.43,12.86,3154974.0
PSTG,2020-04-20,12.61,13.4,12.59,12.86,3329155.0
PSTG,2020-04-21,12.59,12.7,12.19,12.35,2030796.0
PSTG,2020-04-22,12.8,13.0,12.49,12.72,3288018.0
PSTG,2020-04-23,12.85,13.29,12.8,13.02,3202437.0
PSTG,2020-04-24,13.18,14.14,13.15,14.02,2841033.0
PSTG,2020-04-27,14.17,14.69,14.09,14.24,3184621.0
PSTG,2020-04-28,14.41,14.76,13.95,13.99,3418904.0
PSTG,2020-04-29,14.14,15.11,14.13,14.99,2804215.0
PSTG,2020-04-30,14.74,15.2,14.4,14.4,3366110.0
PSTG,2020-05-01,13.96,14.07,13.28,13.37,2557281.0
PSTG,2020-05-04,13.23,13.3,12.57,12.87,3807891.0
PSTG,2020-05-05,13.39,13.56,13.14,13.17,2161230.0
PSTG,2020-05-06,13.31,13.97,13.31,13.74,2318681.0
