Ticker,Date,open,high,low,close,volume
PSTI,2020-01-02,3.94,3.95,3.81,3.85,696639.0
PSTI,2020-01-03,3.82,3.84,3.78,3.81,66043.0
PSTI,2020-01-06,3.76,3.76,3.6,3.68,111157.0
PSTI,2020-01-07,3.75,3.75,3.64,3.72,49162.0
PSTI,2020-01-08,3.74,3.91,3.68,3.91,216350.0
PSTI,2020-01-09,3.89,3.98,3.88,3.92,197641.0
PSTI,2020-01-10,3.91,4.5,3.91,4.24,270635.0
PSTI,2020-01-13,4.14,4.32,3.97,4.0,207334.0
PSTI,2020-01-14,4.0,4.2,3.98,4.1,58847.0
PSTI,2020-01-15,4.08,4.18,4.05,4.07,76937.0
PSTI,2020-01-16,4.07,4.08,3.75,4.0,576231.0
PSTI,2020-01-17,4.03,4.15,3.98,4.08,171452.0
PSTI,2020-01-21,4.0,4.07,3.98,3.99,65934.0
PSTI,2020-01-22,3.99,4.0,3.82,3.84,76751.0
PSTI,2020-01-23,3.85,3.88,3.75,3.81,91167.0
PSTI,2020-01-24,3.84,3.87,3.76,3.8,91029.0
PSTI,2020-01-27,3.75,3.81,3.61,3.67,159559.0
PSTI,2020-01-28,3.79,3.81,3.76,3.78,63790.0
PSTI,2020-01-29,3.76,3.81,3.7,3.73,20207.0
PSTI,2020-01-30,3.7,3.8,3.7,3.76,75279.0
PSTI,2020-01-31,3.75,3.84,3.71,3.74,38957.0
PSTI,2020-02-03,3.75,3.95,3.66,3.93,86655.0
PSTI,2020-02-04,3.96,4.01,3.89,3.95,77429.0
PSTI,2020-02-05,3.96,4.0,3.84,3.86,49175.0
PSTI,2020-02-06,3.87,3.87,3.69,3.78,103637.0
PSTI,2020-02-07,3.84,3.92,3.78,3.8,106543.0
PSTI,2020-02-10,3.75,3.75,3.59,3.62,86482.0
PSTI,2020-02-11,3.62,3.77,3.62,3.7,32576.0
PSTI,2020-02-12,3.7,3.8,3.7,3.78,66355.0
PSTI,2020-02-13,3.78,3.95,3.78,3.89,98975.0
PSTI,2020-02-14,3.9,5.17,3.87,4.66,1037980.0
PSTI,2020-02-18,4.62,4.65,4.3,4.55,232669.0
PSTI,2020-02-19,4.55,4.55,4.4,4.46,118686.0
PSTI,2020-02-20,4.46,4.56,4.36,4.45,129750.0
PSTI,2020-02-21,4.41,4.46,4.35,4.46,37300.0
PSTI,2020-02-24,4.35,4.35,4.11,4.17,137394.0
PSTI,2020-02-25,4.14,4.16,4.0,4.05,109007.0
PSTI,2020-02-26,4.03,4.2,4.01,4.07,141850.0
PSTI,2020-02-27,3.97,3.97,3.68,3.81,160827.0
PSTI,2020-02-28,3.7,3.75,3.62,3.75,89098.0
PSTI,2020-03-02,3.78,4.1,3.71,3.96,170013.0
PSTI,2020-03-03,3.51,3.73,3.51,3.6,261004.0
PSTI,2020-03-04,3.61,3.65,3.6,3.63,40731.0
PSTI,2020-03-05,3.57,3.57,3.38,3.43,272213.0
PSTI,2020-03-06,3.32,3.49,3.32,3.35,93884.0
PSTI,2020-03-09,2.94,3.15,2.84,2.94,252861.0
PSTI,2020-03-10,2.94,3.16,2.94,3.02,77560.0
PSTI,2020-03-11,2.85,2.96,2.85,2.89,79680.0
PSTI,2020-03-12,3.0,4.19,2.82,3.08,1533336.0
PSTI,2020-03-13,3.32,3.57,3.16,3.52,307644.0
PSTI,2020-03-16,3.2,3.31,2.99,3.04,267180.0
PSTI,2020-03-17,3.39,3.46,3.17,3.31,380313.0
PSTI,2020-03-18,3.24,3.4,3.03,3.12,283705.0
PSTI,2020-03-19,3.15,3.37,3.15,3.28,110833.0
PSTI,2020-03-20,3.3,3.75,3.25,3.32,838442.0
PSTI,2020-03-23,3.39,3.39,3.17,3.39,161326.0
PSTI,2020-03-24,3.45,3.5,3.35,3.45,509405.0
PSTI,2020-03-25,3.48,3.78,3.27,3.39,1127519.0
PSTI,2020-03-26,3.37,3.59,3.21,3.25,636866.0
PSTI,2020-03-27,3.12,3.15,2.9,3.01,164522.0
PSTI,2020-03-30,3.31,5.25,3.12,4.14,3970862.0
PSTI,2020-03-31,4.06,4.18,3.56,3.67,1001824.0
PSTI,2020-04-01,3.6,3.65,3.27,3.42,431610.0
PSTI,2020-04-02,3.52,3.52,3.22,3.29,597579.0
PSTI,2020-04-03,3.31,3.32,3.09,3.25,412666.0
PSTI,2020-04-06,3.33,3.45,3.13,3.36,265554.0
PSTI,2020-04-07,4.49,5.2,4.02,4.11,20739622.0
PSTI,2020-04-08,4.05,4.85,3.95,4.85,3860536.0
PSTI,2020-04-09,6.88,8.59,6.01,6.97,14418167.0
PSTI,2020-04-13,8.7,9.55,7.56,7.91,10995334.0
PSTI,2020-04-14,8.39,8.5,7.13,8.41,4025969.0
PSTI,2020-04-15,8.75,10.76,8.3,9.84,8792244.0
PSTI,2020-04-16,10.15,10.4,8.86,9.09,5221985.0
PSTI,2020-04-17,8.35,8.67,7.17,8.44,2577243.0
PSTI,2020-04-20,7.87,9.56,7.86,8.69,2677340.0
PSTI,2020-04-21,8.85,9.47,8.85,9.19,2452834.0
PSTI,2020-04-22,9.7,9.89,8.96,8.99,2560136.0
PSTI,2020-04-23,9.35,10.88,9.15,10.36,3917227.0
PSTI,2020-04-24,12.41,13.29,12.03,12.43,7676801.0
PSTI,2020-04-27,12.61,12.76,10.25,10.68,3340064.0
PSTI,2020-04-28,11.21,11.47,10.75,10.83,1622376.0
PSTI,2020-04-29,11.0,11.09,8.61,9.35,3772713.0
PSTI,2020-04-30,9.51,9.85,8.9,9.17,1351633.0
PSTI,2020-05-01,8.78,8.89,7.78,8.41,2305520.0
PSTI,2020-05-04,9.24,9.48,8.6,9.36,2082583.0
PSTI,2020-05-05,9.02,10.03,8.62,9.38,2133913.0
PSTI,2020-05-06,9.24,9.41,8.94,9.1,988155.0
PSTI,2020-05-07,8.98,9.14,8.41,8.49,1280465.0
PSTI,2020-05-08,10.1,10.57,9.63,9.89,7212345.0
PSTI,2020-05-11,9.81,9.85,9.03,9.57,1556143.0
PSTI,2020-05-12,9.57,10.13,9.1,9.76,1414590.0
PSTI,2020-05-13,9.85,9.85,8.92,9.19,897207.0
PSTI,2020-05-14,9.9,10.87,9.51,10.06,3652088.0
PSTI,2020-05-15,10.15,10.35,9.7,9.89,839522.0
PSTI,2020-05-18,9.93,10.17,9.26,9.32,1442311.0
PSTI,2020-05-19,9.21,9.39,8.76,8.81,1053115.0
PSTI,2020-05-20,9.0,9.15,8.55,8.82,779385.0
PSTI,2020-05-21,8.8,8.95,8.31,8.56,1197144.0
PSTI,2020-05-22,8.57,8.72,8.26,8.39,698578.0
PSTI,2020-05-26,8.51,8.51,7.73,7.94,1334150.0
PSTI,2020-05-27,8.13,8.36,7.86,7.99,1019977.0
PSTI,2020-05-28,8.26,8.32,8.0,8.31,397808.0
PSTI,2020-05-29,8.18,8.33,7.9,8.03,384630.0
PSTI,2020-06-01,7.99,8.0,7.81,7.94,471182.0
PSTI,2020-06-02,7.92,7.95,7.2,7.68,1042961.0
PSTI,2020-06-03,7.7,7.94,7.64,7.89,590335.0
PSTI,2020-06-04,7.88,8.27,7.85,7.86,421911.0
PSTI,2020-06-05,8.04,8.19,7.6,7.72,686165.0
PSTI,2020-06-08,7.95,7.95,7.12,7.32,951719.0
PSTI,2020-06-09,7.14,7.26,7.01,7.05,552127.0
PSTI,2020-06-10,7.09,8.0,6.85,7.54,754654.0
PSTI,2020-06-11,7.65,7.75,6.93,7.13,656066.0
PSTI,2020-06-12,7.11,7.49,7.01,7.28,356270.0
PSTI,2020-06-15,7.06,8.0,7.02,7.89,640863.0
PSTI,2020-06-16,8.06,8.06,7.25,7.58,624696.0
PSTI,2020-06-17,7.54,7.72,7.29,7.35,294405.0
PSTI,2020-06-18,7.33,7.46,7.12,7.37,369561.0
PSTI,2020-06-19,7.79,7.79,7.54,7.66,574032.0
PSTI,2020-06-22,7.67,7.84,7.3,7.74,403492.0
PSTI,2020-06-23,7.73,8.15,7.71,8.05,671388.0
PSTI,2020-06-24,8.02,8.47,7.88,8.3,599536.0
PSTI,2020-06-25,8.44,9.35,8.4,9.11,1111274.0
PSTI,2020-06-26,9.31,9.32,8.4,8.8,509055.0
PSTI,2020-06-29,8.72,8.77,8.13,8.5,590963.0
PSTI,2020-06-30,8.56,8.97,8.35,8.84,310373.0
PSTI,2020-07-01,8.85,9.04,8.61,8.74,321152.0
PSTI,2020-07-02,8.77,9.06,8.76,8.92,314608.0
PSTI,2020-07-06,9.19,9.27,8.9,9.02,384590.0
PSTI,2020-07-07,8.88,8.99,8.65,8.74,348815.0
PSTI,2020-07-08,8.83,9.0,8.7,8.9,269146.0
PSTI,2020-07-09,9.03,9.03,8.61,8.85,404121.0
PSTI,2020-07-10,8.9,8.93,8.5,8.67,307212.0
PSTI,2020-07-13,8.9,9.0,8.59,8.61,267737.0
PSTI,2020-07-14,8.61,8.79,8.29,8.4,337166.0
PSTI,2020-07-15,8.51,8.98,8.19,8.85,434748.0
PSTI,2020-07-16,8.7,9.19,8.7,9.15,500595.0
PSTI,2020-07-17,8.6,9.25,8.31,8.8,414031.0
PSTI,2020-07-20,9.04,9.88,8.94,9.45,801543.0
PSTI,2020-07-21,9.61,9.72,8.84,8.88,671693.0
PSTI,2020-07-22,8.96,9.4,8.93,9.17,434257.0
PSTI,2020-07-23,9.32,9.43,8.4,8.68,638125.0
PSTI,2020-07-24,8.83,9.02,8.2,8.55,447210.0
PSTI,2020-07-27,8.51,8.51,7.86,8.46,612101.0
PSTI,2020-07-28,8.41,8.53,8.12,8.5,381471.0
PSTI,2020-07-29,8.45,9.22,8.26,9.0,674532.0
PSTI,2020-07-30,8.65,9.33,8.56,9.15,424682.0
PSTI,2020-07-31,9.44,9.99,9.44,9.8,900172.0
PSTI,2020-08-03,9.49,12.15,8.94,11.04,3212878.0
PSTI,2020-08-04,10.6,10.6,10.06,10.16,721262.0
PSTI,2020-08-05,9.95,10.24,9.56,9.89,678985.0
PSTI,2020-08-06,9.72,9.73,9.1,9.1,538930.0
PSTI,2020-08-07,9.08,9.37,8.84,8.97,438281.0
PSTI,2020-08-10,9.31,9.49,8.81,9.0,662507.0
PSTI,2020-08-11,9.0,9.03,8.47,8.52,483606.0
PSTI,2020-08-12,9.0,9.01,8.57,8.74,555289.0
PSTI,2020-08-13,8.75,8.88,8.59,8.7,314298.0
PSTI,2020-08-14,8.92,9.09,8.66,8.72,377884.0
PSTI,2020-08-17,9.31,9.76,9.09,9.68,731827.0
PSTI,2020-08-18,9.84,10.13,9.54,9.64,769417.0
PSTI,2020-08-19,9.64,10.79,9.45,10.69,1146643.0
PSTI,2020-08-20,10.35,10.9,10.24,10.44,741207.0
PSTI,2020-08-21,10.37,10.66,9.96,10.01,477459.0
PSTI,2020-08-24,10.4,10.4,9.99,10.03,569966.0
PSTI,2020-08-25,10.09,10.23,9.84,10.22,350475.0
PSTI,2020-08-26,10.08,10.39,10.0,10.27,230319.0
PSTI,2020-08-27,10.93,11.2,10.56,10.76,942258.0
PSTI,2020-08-28,10.73,11.11,10.52,11.01,328156.0
PSTI,2020-08-31,10.96,11.55,10.76,11.48,437748.0
PSTI,2020-09-01,11.45,11.6,10.83,11.09,700269.0
PSTI,2020-09-02,11.08,11.15,10.5,10.78,417549.0
PSTI,2020-09-03,10.64,10.94,10.14,10.18,359564.0
PSTI,2020-09-04,10.0,10.27,9.2,9.88,469346.0
PSTI,2020-09-08,9.64,10.25,9.52,9.94,246834.0
PSTI,2020-09-09,10.0,10.43,10.0,10.2,174536.0
PSTI,2020-09-10,10.23,10.55,10.13,10.2,180181.0
PSTI,2020-09-11,10.3,10.7,10.18,10.22,187934.0
PSTI,2020-09-14,10.37,10.81,10.26,10.51,148944.0
PSTI,2020-09-15,10.57,10.64,9.61,9.66,450574.0
PSTI,2020-09-16,9.8,10.08,9.79,9.86,190194.0
PSTI,2020-09-17,9.59,9.85,9.55,9.76,175410.0
PSTI,2020-09-18,10.0,10.22,9.79,10.09,215134.0
PSTI,2020-09-21,9.83,9.97,9.73,9.81,162942.0
PSTI,2020-09-22,9.82,9.86,9.58,9.72,123805.0
PSTI,2020-09-23,9.71,9.71,8.61,9.06,495513.0
PSTI,2020-09-24,9.0,9.13,8.8,8.9,179827.0
PSTI,2020-09-25,9.0,9.83,8.97,9.66,356636.0
PSTI,2020-09-28,9.66,9.97,9.4,9.49,151455.0
PSTI,2020-09-29,9.6,10.48,9.43,10.12,299676.0
PSTI,2020-09-30,10.15,10.55,10.1,10.53,365846.0
PSTI,2020-10-01,10.29,10.42,9.63,10.02,245329.0
PSTI,2020-10-02,9.99,10.64,9.93,10.22,258885.0
PSTI,2020-10-05,10.22,10.56,10.17,10.47,81953.0
PSTI,2020-10-06,10.47,10.57,10.16,10.3,117425.0
PSTI,2020-10-07,10.8,11.1,10.62,10.85,360358.0
PSTI,2020-10-08,10.95,11.23,10.9,11.12,254242.0
PSTI,2020-10-09,11.12,11.4,10.95,11.13,146658.0
PSTI,2020-10-12,10.98,11.24,10.71,11.06,195646.0
PSTI,2020-10-13,10.84,10.93,10.2,10.75,374719.0
PSTI,2020-10-14,10.81,10.81,10.47,10.61,132528.0
PSTI,2020-10-15,10.39,10.5,10.2,10.26,153228.0
PSTI,2020-10-16,10.29,10.95,10.29,10.68,209612.0
PSTI,2020-10-19,10.97,11.6,10.94,11.14,392277.0
PSTI,2020-10-20,10.98,11.2,10.41,10.71,250791.0
PSTI,2020-10-21,10.75,10.87,9.72,9.75,438222.0
PSTI,2020-10-22,9.92,10.1,9.44,9.7,267055.0
PSTI,2020-10-23,9.79,10.0,9.5,9.87,143300.0
PSTI,2020-10-26,9.75,9.9,9.3,9.51,141925.0
PSTI,2020-10-27,9.4,9.78,9.31,9.74,129804.0
PSTI,2020-10-28,9.38,9.45,9.09,9.24,153321.0
PSTI,2020-10-29,9.22,9.43,9.1,9.31,114871.0
PSTI,2020-10-30,9.3,9.74,9.13,9.27,263282.0
PSTI,2020-11-02,9.3,9.51,9.03,9.26,153102.0
PSTI,2020-11-03,9.33,9.5,9.18,9.44,161383.0
PSTI,2020-11-04,9.56,9.99,9.45,9.8,253492.0
PSTI,2020-11-05,9.86,10.2,9.76,10.14,196054.0
PSTI,2020-11-06,10.0,10.14,9.75,9.83,107444.0
PSTI,2020-11-09,9.4,9.4,8.59,8.7,666050.0
PSTI,2020-11-10,8.6,8.94,8.21,8.66,308536.0
PSTI,2020-11-11,8.74,9.15,8.69,9.07,180380.0
PSTI,2020-11-12,9.03,9.37,9.0,9.21,130429.0
PSTI,2020-11-13,9.42,9.5,9.1,9.17,148827.0
PSTI,2020-11-16,9.14,9.35,8.83,9.01,172889.0
PSTI,2020-11-17,9.15,9.45,8.78,9.39,262547.0
PSTI,2020-11-18,9.39,9.88,9.39,9.57,210235.0
PSTI,2020-11-19,9.5,9.66,9.08,9.17,206364.0
PSTI,2020-11-20,9.2,9.3,8.91,9.19,214725.0
PSTI,2020-11-23,9.18,9.57,9.1,9.45,143786.0
