Ticker,Date,open,high,low,close,volume
PTC,2020-01-02,75.43,76.9,74.98,76.37,538683.0
PTC,2020-01-03,75.34,75.77,74.88,75.43,311155.0
PTC,2020-01-06,74.76,76.31,74.61,76.27,380525.0
PTC,2020-01-07,76.13,76.98,75.62,75.92,400188.0
PTC,2020-01-08,75.99,77.49,75.56,76.98,742997.0
PTC,2020-01-09,77.87,78.19,76.88,77.33,538585.0
PTC,2020-01-10,77.53,77.87,76.47,76.75,397369.0
PTC,2020-01-13,76.74,77.28,76.58,77.22,520227.0
PTC,2020-01-14,77.11,78.14,76.75,77.97,651480.0
PTC,2020-01-15,78.04,79.57,78.04,79.17,1278947.0
PTC,2020-01-16,79.86,81.12,79.73,80.82,817785.0
PTC,2020-01-17,81.07,81.99,79.59,80.14,708033.0
PTC,2020-01-21,79.9,80.34,78.69,78.87,881432.0
PTC,2020-01-22,79.39,80.76,79.09,79.95,1099604.0
PTC,2020-01-23,85.51,88.86,82.88,85.07,3297932.0
PTC,2020-01-24,85.59,88.35,85.25,86.05,1538227.0
PTC,2020-01-27,84.25,84.74,83.05,84.2,1000507.0
PTC,2020-01-28,84.73,85.89,84.13,84.41,1120984.0
PTC,2020-01-29,84.62,85.42,82.95,83.43,553961.0
PTC,2020-01-30,84.15,84.88,83.26,84.79,589823.0
PTC,2020-01-31,84.71,85.16,82.66,83.12,926685.0
PTC,2020-02-03,83.13,85.24,82.96,84.91,578693.0
PTC,2020-02-04,85.9,87.25,85.43,87.11,459987.0
PTC,2020-02-05,88.04,88.04,85.92,86.38,381181.0
PTC,2020-02-06,86.44,86.79,85.66,85.82,409283.0
PTC,2020-02-07,85.54,85.57,83.94,84.03,529375.0
PTC,2020-02-10,83.66,85.71,83.5,85.66,537083.0
PTC,2020-02-11,86.54,86.69,85.12,86.08,380493.0
PTC,2020-02-12,86.42,87.27,85.97,87.22,414076.0
PTC,2020-02-13,86.44,87.68,86.44,86.94,468060.0
PTC,2020-02-14,86.89,87.74,86.62,87.35,362528.0
PTC,2020-02-18,87.28,87.61,86.52,87.36,510930.0
PTC,2020-02-19,87.99,88.56,87.46,88.45,416531.0
PTC,2020-02-20,88.31,89.07,87.24,88.38,420790.0
PTC,2020-02-21,88.36,88.72,87.18,88.62,702830.0
PTC,2020-02-24,84.8,86.1,83.38,85.65,816656.0
PTC,2020-02-25,86.18,86.31,80.1,81.32,1128039.0
PTC,2020-02-26,81.72,83.29,79.87,80.43,743004.0
PTC,2020-02-27,77.93,79.09,75.19,76.03,1050746.0
PTC,2020-02-28,72.88,76.19,72.82,75.55,1309434.0
PTC,2020-03-02,76.33,76.72,72.91,74.68,1644018.0
PTC,2020-03-03,74.93,76.02,69.57,70.05,1573850.0
PTC,2020-03-04,71.42,72.42,69.56,70.82,1660256.0
