Ticker,Date,open,high,low,close,volume
PYPD,2020-06-26,16.0,19.0,15.06,19.0,2666664.0
PYPD,2020-06-29,19.2,19.45,17.8,18.99,367073.0
PYPD,2020-06-30,18.1,18.95,17.8,18.03,107545.0
PYPD,2020-07-01,17.99,18.0,16.51,16.58,135184.0
PYPD,2020-07-02,16.78,17.84,16.6,17.33,71682.0
PYPD,2020-07-06,17.5,18.0,14.44,15.29,166140.0
PYPD,2020-07-07,15.03,15.5,15.0,15.05,59122.0
PYPD,2020-07-08,15.0,15.33,13.61,13.96,105025.0
PYPD,2020-07-09,14.0,14.36,13.35,13.95,81329.0
PYPD,2020-07-10,13.98,14.41,13.66,14.16,37364.0
PYPD,2020-07-13,14.2,15.19,13.72,14.86,165356.0
PYPD,2020-07-14,14.51,14.8,14.14,14.49,46528.0
PYPD,2020-07-15,14.8,14.8,14.02,14.77,40250.0
PYPD,2020-07-16,14.57,16.0,14.25,15.82,51205.0
PYPD,2020-07-17,15.75,15.8,14.9,15.68,32906.0
PYPD,2020-07-20,15.68,15.99,15.0,15.61,48071.0
PYPD,2020-07-21,16.0,16.17,15.15,16.0,89986.0
PYPD,2020-07-22,16.0,17.99,15.96,16.9,42706.0
PYPD,2020-07-23,16.8,16.8,15.75,16.02,17147.0
PYPD,2020-07-24,15.84,16.16,15.75,16.14,13279.0
PYPD,2020-07-27,16.14,16.28,15.87,16.25,22309.0
PYPD,2020-07-28,16.02,16.02,15.1,15.91,15066.0
PYPD,2020-07-29,16.0,16.0,15.69,15.79,28180.0
PYPD,2020-07-30,15.55,15.57,14.56,15.0,41550.0
PYPD,2020-07-31,14.78,14.95,13.9,13.98,59268.0
PYPD,2020-08-03,15.25,15.25,13.99,14.0,17064.0
PYPD,2020-08-04,14.43,14.61,13.9,13.9,23160.0
PYPD,2020-08-05,13.89,14.42,13.72,13.95,56222.0
PYPD,2020-08-06,14.0,14.4,13.75,14.36,10742.0
PYPD,2020-08-07,14.18,14.7,14.1,14.21,6309.0
PYPD,2020-08-10,15.2,15.2,14.21,14.21,10021.0
PYPD,2020-08-11,14.26,14.79,13.51,13.77,9292.0
PYPD,2020-08-12,13.82,14.9,13.82,13.82,7790.0
PYPD,2020-08-13,13.74,14.72,13.5,14.0,15088.0
PYPD,2020-08-14,13.76,14.15,13.56,13.91,19051.0
PYPD,2020-08-17,13.7,14.4,13.23,14.23,29295.0
PYPD,2020-08-18,14.23,14.23,13.64,14.03,28638.0
PYPD,2020-08-19,13.89,14.21,13.8,13.86,17346.0
PYPD,2020-08-20,13.82,13.83,13.25,13.5,53518.0
PYPD,2020-08-21,13.69,14.15,13.23,13.65,16002.0
PYPD,2020-08-24,13.83,13.83,12.71,13.27,22986.0
PYPD,2020-08-25,13.02,13.09,12.6,12.6,21884.0
PYPD,2020-08-26,12.74,13.0,12.55,12.55,14061.0
PYPD,2020-08-27,12.71,12.93,11.67,11.87,21783.0
PYPD,2020-08-28,11.99,12.5,11.99,12.06,39538.0
PYPD,2020-08-31,12.5,12.5,11.67,12.02,35161.0
PYPD,2020-09-01,12.18,12.28,11.8,11.8,67072.0
PYPD,2020-09-02,11.81,13.41,11.81,12.8,23739.0
PYPD,2020-09-03,12.32,13.38,11.8,11.8,20181.0
PYPD,2020-09-04,11.81,11.81,10.76,11.19,33727.0
PYPD,2020-09-08,11.39,12.99,11.32,11.33,10437.0
PYPD,2020-09-09,11.63,11.9,11.5,11.9,7263.0
PYPD,2020-09-10,12.25,13.42,12.25,12.98,10220.0
PYPD,2020-09-11,13.05,13.66,13.0,13.18,14151.0
