Ticker,Date,open,high,low,close,volume
RADA,2020-01-02,5.22,5.29,5.12,5.22,134024.0
RADA,2020-01-03,5.21,5.6,5.21,5.58,347386.0
RADA,2020-01-06,5.59,7.0,5.59,6.49,2256508.0
RADA,2020-01-07,6.54,6.65,6.15,6.29,879239.0
RADA,2020-01-08,5.85,6.1,5.79,6.01,2889417.0
RADA,2020-01-09,6.0,6.17,5.84,5.97,488717.0
RADA,2020-01-10,5.97,6.3,5.93,6.17,447248.0
RADA,2020-01-13,6.24,6.74,6.21,6.48,791738.0
RADA,2020-01-14,6.3,6.44,5.98,6.32,785214.0
RADA,2020-01-15,6.46,6.58,6.25,6.48,525600.0
RADA,2020-01-16,6.5,6.76,6.48,6.75,619096.0
RADA,2020-01-17,6.71,6.75,6.4,6.64,303913.0
RADA,2020-01-21,6.68,6.73,6.28,6.45,536286.0
RADA,2020-01-22,6.45,6.48,6.23,6.3,316460.0
RADA,2020-01-23,6.37,6.46,6.17,6.39,246911.0
RADA,2020-01-24,6.44,6.45,6.19,6.25,148196.0
RADA,2020-01-27,6.09,6.19,5.96,6.06,415045.0
RADA,2020-01-28,6.07,6.2,6.07,6.1,143816.0
RADA,2020-01-29,6.12,6.28,6.02,6.03,175502.0
RADA,2020-01-30,6.0,6.06,5.81,5.82,268558.0
RADA,2020-01-31,5.82,5.95,5.67,5.85,236608.0
RADA,2020-02-03,5.85,6.04,5.8,5.82,191753.0
RADA,2020-02-04,5.91,6.05,5.76,5.96,218900.0
RADA,2020-02-05,6.0,6.05,5.85,5.85,204835.0
RADA,2020-02-06,5.9,5.99,5.84,5.97,125256.0
RADA,2020-02-07,5.96,5.98,5.73,5.78,117621.0
RADA,2020-02-10,5.7,5.95,5.51,5.95,161471.0
RADA,2020-02-11,6.02,6.05,5.91,5.96,99914.0
RADA,2020-02-12,6.0,6.2,5.94,6.08,231609.0
RADA,2020-02-13,5.99,6.07,5.89,5.94,267703.0
RADA,2020-02-14,5.95,6.1,5.9,6.05,205963.0
RADA,2020-02-18,6.08,6.12,6.02,6.05,220279.0
RADA,2020-02-19,6.07,6.07,5.82,5.88,358085.0
RADA,2020-02-20,5.87,5.99,5.67,5.74,223519.0
RADA,2020-02-21,5.71,5.74,5.6,5.63,147245.0
RADA,2020-02-24,5.5,5.51,5.38,5.47,252293.0
RADA,2020-02-25,5.47,5.64,5.06,5.09,550148.0
RADA,2020-02-26,5.09,5.4,4.8,5.1,527514.0
RADA,2020-02-27,4.94,5.2,4.73,4.97,452028.0
RADA,2020-02-28,4.74,4.97,4.74,4.96,315004.0
RADA,2020-03-02,4.95,5.05,4.78,5.0,202571.0
RADA,2020-03-03,5.03,5.11,4.66,4.73,292001.0
RADA,2020-03-04,4.85,4.98,4.68,4.93,293071.0
RADA,2020-03-05,4.93,4.98,4.7,4.93,268684.0
RADA,2020-03-06,4.84,4.87,4.74,4.77,182474.0
RADA,2020-03-09,4.5,4.58,4.1,4.2,884913.0
RADA,2020-03-10,4.36,4.68,4.33,4.54,543450.0
RADA,2020-03-11,4.53,4.53,4.12,4.16,311090.0
RADA,2020-03-12,3.95,3.97,3.47,3.72,551555.0
RADA,2020-03-13,3.7,3.87,3.49,3.64,356208.0
RADA,2020-03-16,3.42,3.42,2.94,2.98,644967.0
RADA,2020-03-17,3.03,3.16,2.7,2.94,499673.0
RADA,2020-03-18,2.73,2.94,2.05,2.2,747765.0
RADA,2020-03-19,2.1,3.45,2.1,3.42,919526.0
RADA,2020-03-20,3.43,3.71,2.98,3.13,435267.0
RADA,2020-03-23,3.04,3.2,2.89,3.09,1127586.0
RADA,2020-03-24,3.23,3.43,3.23,3.26,253145.0
RADA,2020-03-25,3.25,3.62,3.21,3.36,357961.0
RADA,2020-03-26,3.37,3.67,3.37,3.61,370756.0
RADA,2020-03-27,3.45,3.55,3.22,3.23,182010.0
RADA,2020-03-30,3.22,3.48,3.12,3.39,283801.0
RADA,2020-03-31,3.39,3.55,3.23,3.5,235254.0
RADA,2020-04-01,3.37,3.54,3.36,3.49,114925.0
RADA,2020-04-02,3.49,3.74,3.46,3.64,191829.0
RADA,2020-04-03,3.61,3.74,3.52,3.72,143737.0
RADA,2020-04-06,3.82,3.98,3.74,3.81,239847.0
RADA,2020-04-07,3.99,4.24,3.81,4.04,480248.0
RADA,2020-04-08,4.14,4.37,4.02,4.25,210828.0
RADA,2020-04-09,4.4,4.6,4.18,4.22,220027.0
RADA,2020-04-13,4.52,4.53,4.16,4.25,220458.0
RADA,2020-04-14,4.3,4.49,4.26,4.41,191855.0
RADA,2020-04-15,4.36,4.48,4.36,4.39,344020.0
RADA,2020-04-16,4.42,4.42,4.09,4.36,273567.0
RADA,2020-04-17,4.38,4.45,4.16,4.28,237012.0
RADA,2020-04-20,4.27,4.27,4.05,4.06,137542.0
RADA,2020-04-21,3.98,4.23,3.85,4.0,182594.0
RADA,2020-04-22,4.14,4.14,3.94,4.05,106026.0
RADA,2020-04-23,4.12,4.3,4.03,4.1,137072.0
RADA,2020-04-24,4.13,4.16,4.0,4.14,75649.0
RADA,2020-04-27,4.15,4.49,4.15,4.45,132275.0
RADA,2020-04-28,4.53,4.58,4.35,4.54,102537.0
RADA,2020-04-29,4.63,4.74,4.51,4.55,160564.0
RADA,2020-04-30,4.6,4.6,4.23,4.24,161532.0
RADA,2020-05-01,4.2,4.2,3.99,4.14,357154.0
RADA,2020-05-04,4.08,4.13,3.94,4.08,238925.0
RADA,2020-05-05,4.13,4.16,3.96,4.05,220840.0
RADA,2020-05-06,4.09,4.19,4.05,4.14,150641.0
RADA,2020-05-07,4.2,4.3,4.05,4.23,253328.0
RADA,2020-05-08,4.15,4.27,4.08,4.14,168556.0
RADA,2020-05-11,4.09,4.35,4.05,4.27,273456.0
RADA,2020-05-12,4.3,4.33,4.14,4.17,188620.0
RADA,2020-05-13,4.16,4.16,3.96,4.05,184005.0
RADA,2020-05-14,4.04,4.14,3.87,4.07,216338.0
RADA,2020-05-15,4.03,4.16,4.01,4.14,119818.0
RADA,2020-05-18,4.51,4.52,4.27,4.44,502365.0
RADA,2020-05-19,4.72,5.09,4.63,5.0,1007343.0
RADA,2020-05-20,5.19,5.2,4.99,5.13,420228.0
RADA,2020-05-21,5.13,5.2,4.93,5.08,221320.0
RADA,2020-05-22,5.04,5.08,4.92,4.99,130015.0
RADA,2020-05-26,5.14,5.15,4.95,5.07,150561.0
RADA,2020-05-27,5.12,5.12,4.88,5.09,154091.0
RADA,2020-05-28,5.1,5.24,4.98,5.03,138825.0
RADA,2020-05-29,5.03,5.03,4.84,5.0,201720.0
RADA,2020-06-01,5.1,5.38,5.1,5.3,265845.0
RADA,2020-06-02,5.3,5.43,5.24,5.43,146750.0
RADA,2020-06-03,5.46,5.71,5.39,5.68,293255.0
RADA,2020-06-04,5.65,5.65,5.41,5.46,120179.0
RADA,2020-06-05,5.59,5.62,5.33,5.43,160657.0
RADA,2020-06-08,5.5,5.65,5.45,5.64,175995.0
RADA,2020-06-09,5.62,5.77,5.5,5.54,186443.0
RADA,2020-06-10,6.0,6.39,5.93,6.32,980323.0
RADA,2020-06-11,6.13,6.24,5.81,5.81,560495.0
RADA,2020-06-12,6.05,6.11,5.68,5.99,308348.0
RADA,2020-06-15,5.85,6.28,5.81,6.24,311909.0
RADA,2020-06-16,6.45,6.45,6.13,6.32,375356.0
RADA,2020-06-17,6.35,6.46,6.09,6.4,309731.0
RADA,2020-06-18,6.36,6.75,6.27,6.72,445826.0
RADA,2020-06-19,6.78,6.85,6.32,6.35,434787.0
RADA,2020-06-22,6.31,6.6,6.22,6.53,310591.0
RADA,2020-06-23,6.57,6.59,6.37,6.39,216658.0
RADA,2020-06-24,6.34,6.37,5.97,6.28,519729.0
RADA,2020-06-25,6.31,6.7,6.22,6.68,363517.0
RADA,2020-06-26,6.7,6.81,6.61,6.65,327531.0
RADA,2020-06-29,6.74,6.92,6.57,6.67,476863.0
RADA,2020-06-30,6.71,6.73,6.46,6.54,197473.0
RADA,2020-07-01,6.52,6.67,6.18,6.56,241770.0
RADA,2020-07-02,6.62,6.62,6.33,6.54,180374.0
RADA,2020-07-06,6.67,7.04,6.67,6.86,844989.0
RADA,2020-07-07,6.91,6.91,6.58,6.6,227793.0
RADA,2020-07-08,6.62,6.75,6.33,6.39,254935.0
RADA,2020-07-09,6.45,6.66,6.45,6.5,294211.0
RADA,2020-07-10,6.52,6.53,6.19,6.25,214903.0
RADA,2020-07-13,6.33,6.4,5.88,5.89,345925.0
RADA,2020-07-14,5.9,6.34,5.81,6.27,376462.0
RADA,2020-07-15,6.33,6.41,6.14,6.18,141318.0
RADA,2020-07-16,6.12,6.15,5.96,5.97,267810.0
RADA,2020-07-17,6.27,6.27,5.83,5.94,535542.0
RADA,2020-07-20,5.99,5.99,5.72,5.8,554302.0
RADA,2020-07-21,5.87,5.98,5.71,5.78,198442.0
RADA,2020-07-22,5.79,5.94,5.76,5.89,122231.0
RADA,2020-07-23,5.91,6.17,5.87,6.08,351386.0
RADA,2020-07-24,6.11,6.58,6.09,6.39,511249.0
RADA,2020-07-27,6.5,6.59,6.24,6.41,517681.0
RADA,2020-07-28,6.39,6.5,6.25,6.34,268823.0
RADA,2020-07-29,6.32,6.53,6.32,6.39,187917.0
RADA,2020-07-30,6.33,6.47,6.22,6.37,157125.0
RADA,2020-07-31,6.39,6.39,6.08,6.32,155827.0
RADA,2020-08-03,6.3,6.5,6.19,6.5,139633.0
RADA,2020-08-04,6.5,6.65,6.39,6.43,150349.0
RADA,2020-08-05,6.42,6.52,6.33,6.49,185084.0
RADA,2020-08-06,6.48,6.55,6.37,6.51,121141.0
RADA,2020-08-07,6.51,6.56,6.4,6.46,150297.0
RADA,2020-08-10,6.45,6.93,6.45,6.93,313809.0
RADA,2020-08-11,7.3,7.65,6.72,7.05,866216.0
RADA,2020-08-12,7.06,7.42,7.06,7.26,298630.0
RADA,2020-08-13,7.23,7.74,7.13,7.5,380665.0
RADA,2020-08-14,7.5,7.69,7.31,7.39,384851.0
RADA,2020-08-17,7.31,7.75,7.31,7.71,345249.0
RADA,2020-08-18,7.75,7.77,7.13,7.26,379991.0
RADA,2020-08-19,7.32,7.42,7.21,7.25,184935.0
RADA,2020-08-20,7.24,7.3,7.06,7.22,232718.0
RADA,2020-08-21,7.22,7.3,7.06,7.25,111774.0
RADA,2020-08-24,7.25,7.26,7.0,7.13,165312.0
RADA,2020-08-25,7.14,7.17,6.62,7.04,1108843.0
RADA,2020-08-26,7.07,7.11,6.91,6.96,213011.0
RADA,2020-08-27,6.99,7.08,6.56,6.69,369537.0
RADA,2020-08-28,6.7,7.14,6.65,7.01,371928.0
RADA,2020-08-31,7.05,7.22,6.97,7.14,233314.0
RADA,2020-09-01,7.27,7.27,6.9,6.96,233411.0
RADA,2020-09-02,6.98,7.05,6.69,6.96,242059.0
RADA,2020-09-03,6.89,6.9,6.62,6.73,342504.0
RADA,2020-09-04,6.74,6.77,6.3,6.52,288979.0
RADA,2020-09-08,6.41,6.61,6.35,6.42,232987.0
RADA,2020-09-09,6.44,6.59,6.25,6.46,223843.0
RADA,2020-09-10,6.5,6.6,6.46,6.48,257910.0
RADA,2020-09-11,6.53,6.55,6.2,6.25,137063.0
RADA,2020-09-14,6.47,6.6,6.33,6.54,251090.0
RADA,2020-09-15,6.54,6.6,6.4,6.45,164068.0
RADA,2020-09-16,6.45,6.63,6.03,6.24,955808.0
RADA,2020-09-17,6.2,6.26,6.11,6.21,196330.0
RADA,2020-09-18,6.18,6.31,6.14,6.22,136526.0
RADA,2020-09-21,6.13,6.2,5.95,6.1,203647.0
RADA,2020-09-22,6.14,6.2,6.05,6.14,146137.0
RADA,2020-09-23,6.14,6.19,5.95,5.95,152951.0
RADA,2020-09-24,5.97,6.07,5.75,5.79,241483.0
RADA,2020-09-25,5.76,6.16,5.76,6.15,158485.0
