Ticker,Date,open,high,low,close,volume
RAVN,2020-01-02,34.77,34.92,34.43,34.82,77078.0
RAVN,2020-01-03,34.38,34.9,34.37,34.86,118055.0
RAVN,2020-01-06,34.83,34.89,34.24,34.31,101616.0
RAVN,2020-01-07,34.14,34.3,33.9,33.91,165581.0
RAVN,2020-01-08,34.03,34.1,33.7,33.73,80518.0
RAVN,2020-01-09,33.8,34.37,33.73,33.81,322382.0
RAVN,2020-01-10,33.98,34.43,33.61,34.18,237666.0
RAVN,2020-01-13,34.11,34.9,34.11,34.89,137060.0
RAVN,2020-01-14,34.82,35.52,34.6,35.03,533593.0
RAVN,2020-01-15,35.1,35.74,34.72,34.94,118201.0
RAVN,2020-01-16,35.21,35.76,35.07,35.51,120764.0
RAVN,2020-01-17,35.7,36.14,35.35,35.77,124598.0
RAVN,2020-01-21,35.71,35.71,34.95,34.98,117974.0
RAVN,2020-01-22,35.09,35.15,34.22,34.47,67289.0
RAVN,2020-01-23,34.43,34.64,34.02,34.55,168989.0
RAVN,2020-01-24,34.81,34.81,33.83,34.03,57161.0
RAVN,2020-01-27,33.5,34.21,33.45,33.83,79182.0
RAVN,2020-01-28,33.93,34.2,33.71,33.81,52314.0
RAVN,2020-01-29,33.97,34.15,32.4,32.5,148695.0
RAVN,2020-01-30,32.2,32.87,31.63,32.03,118991.0
RAVN,2020-01-31,31.83,31.89,31.08,31.36,146868.0
RAVN,2020-02-03,31.64,31.96,31.41,31.51,169269.0
RAVN,2020-02-04,31.93,32.18,31.56,31.62,111047.0
RAVN,2020-02-05,32.0,32.52,31.91,32.4,158471.0
RAVN,2020-02-06,32.56,32.59,31.62,31.62,129901.0
RAVN,2020-02-07,31.58,31.64,30.71,30.77,149276.0
RAVN,2020-02-10,30.71,30.85,30.38,30.4,99566.0
RAVN,2020-02-11,30.71,31.35,30.58,30.85,297627.0
RAVN,2020-02-12,31.12,31.59,30.87,31.16,200847.0
RAVN,2020-02-13,31.1,31.21,30.66,30.87,59442.0
RAVN,2020-02-14,30.89,31.23,30.59,30.65,126925.0
RAVN,2020-02-18,30.68,31.02,30.48,30.84,95631.0
RAVN,2020-02-19,30.97,31.14,30.71,30.73,58482.0
RAVN,2020-02-20,30.65,30.91,30.4,30.52,70000.0
RAVN,2020-02-21,30.49,31.22,30.29,31.1,137651.0
RAVN,2020-02-24,30.18,30.34,29.9,30.02,82071.0
RAVN,2020-02-25,30.01,30.37,28.41,28.57,285973.0
RAVN,2020-02-26,28.76,29.57,28.76,29.46,214421.0
RAVN,2020-02-27,28.92,29.7,28.79,29.21,380620.0
RAVN,2020-02-28,28.45,29.21,27.76,28.71,283198.0
RAVN,2020-03-02,28.87,29.34,28.31,29.19,149902.0
RAVN,2020-03-03,29.15,29.99,28.05,28.43,142812.0
RAVN,2020-03-04,28.74,29.32,28.37,29.24,184234.0
RAVN,2020-03-05,28.77,29.12,28.18,28.7,150489.0
RAVN,2020-03-06,27.95,28.8,27.74,28.41,131166.0
RAVN,2020-03-09,27.08,27.5,25.71,26.06,230482.0
RAVN,2020-03-10,26.69,27.1,25.99,26.9,176608.0
RAVN,2020-03-11,26.21,26.28,24.51,25.21,168767.0
RAVN,2020-03-12,23.92,24.0,21.81,21.82,244894.0
RAVN,2020-03-13,22.86,24.26,21.63,24.26,204210.0
RAVN,2020-03-16,21.85,23.17,20.75,20.84,175419.0
RAVN,2020-03-17,21.34,22.13,19.16,21.8,271391.0
RAVN,2020-03-18,20.43,20.65,16.01,16.58,253309.0
RAVN,2020-03-19,16.38,20.17,16.16,19.6,311785.0
RAVN,2020-03-20,20.02,21.63,19.6,20.49,458374.0
RAVN,2020-03-23,20.63,21.75,19.75,21.29,296789.0
RAVN,2020-03-24,20.69,21.4,18.06,19.91,482561.0
RAVN,2020-03-25,20.13,22.9,19.99,20.52,338380.0
RAVN,2020-03-26,20.27,22.51,19.65,22.45,244158.0
RAVN,2020-03-27,21.21,22.48,20.81,22.05,197774.0
RAVN,2020-03-30,22.38,23.27,20.9,23.21,532850.0
RAVN,2020-03-31,23.39,23.44,20.76,21.23,214314.0
RAVN,2020-04-01,20.61,21.15,19.67,19.84,166510.0
RAVN,2020-04-02,19.67,20.87,19.67,20.54,330137.0
RAVN,2020-04-03,20.56,20.77,19.19,19.73,168563.0
RAVN,2020-04-06,20.57,21.26,20.3,21.1,141869.0
