Ticker,Date,open,high,low,close,volume
RDHL,2020-01-02,6.21,6.26,5.96,6.06,133775.0
RDHL,2020-01-03,6.0,6.07,5.87,5.94,139667.0
RDHL,2020-01-06,5.99,6.2,5.87,6.14,154869.0
RDHL,2020-01-07,6.07,6.21,6.05,6.17,101251.0
RDHL,2020-01-08,6.22,6.22,6.0,6.03,102423.0
RDHL,2020-01-09,6.08,6.09,5.96,6.03,126487.0
RDHL,2020-01-10,5.95,6.14,5.95,6.09,149128.0
RDHL,2020-01-13,6.0,6.12,5.97,6.02,112918.0
RDHL,2020-01-14,5.98,6.1,5.92,5.92,107607.0
RDHL,2020-01-15,5.92,6.03,5.9,5.94,106513.0
RDHL,2020-01-16,5.92,6.06,5.92,6.05,952554.0
RDHL,2020-01-17,6.08,6.38,6.06,6.13,279752.0
RDHL,2020-01-21,6.06,6.09,5.96,6.01,173462.0
RDHL,2020-01-22,6.01,6.08,5.9,5.98,150773.0
RDHL,2020-01-23,5.96,6.05,5.86,5.93,112406.0
RDHL,2020-01-24,5.91,6.01,5.91,5.96,268624.0
RDHL,2020-01-27,5.84,6.04,5.8,5.88,274401.0
RDHL,2020-01-28,5.85,5.95,5.51,5.72,525548.0
RDHL,2020-01-29,5.74,5.8,5.63,5.65,130721.0
RDHL,2020-01-30,5.63,5.76,5.33,5.42,239957.0
RDHL,2020-01-31,5.42,5.59,5.28,5.29,200887.0
RDHL,2020-02-03,5.27,5.38,5.17,5.25,136132.0
RDHL,2020-02-04,5.25,5.47,5.22,5.3,119436.0
RDHL,2020-02-05,5.38,5.71,5.35,5.61,238621.0
RDHL,2020-02-06,5.49,5.63,5.04,5.06,466857.0
RDHL,2020-02-07,5.08,5.21,4.89,5.01,356274.0
RDHL,2020-02-10,5.0,5.1,4.94,4.94,207937.0
RDHL,2020-02-11,4.94,5.08,4.9,4.98,123371.0
RDHL,2020-02-12,5.04,5.08,4.86,4.89,141762.0
RDHL,2020-02-13,4.95,4.98,4.87,4.92,104215.0
RDHL,2020-02-14,4.94,5.05,4.93,5.0,137063.0
RDHL,2020-02-18,5.05,5.09,4.88,4.94,146689.0
RDHL,2020-02-19,4.96,5.05,4.9,5.03,98800.0
RDHL,2020-02-20,5.04,5.19,4.98,5.04,137113.0
RDHL,2020-02-21,5.06,5.07,4.86,4.9,129034.0
RDHL,2020-02-24,4.84,4.85,4.6,4.7,205520.0
RDHL,2020-02-25,4.9,5.07,4.5,4.52,566778.0
RDHL,2020-02-26,4.55,4.82,4.39,4.69,399405.0
RDHL,2020-02-27,4.65,4.65,4.05,4.05,300193.0
RDHL,2020-02-28,3.9,4.19,3.81,4.13,416872.0
RDHL,2020-03-02,4.23,4.38,4.09,4.29,210401.0
RDHL,2020-03-03,4.36,4.41,4.17,4.32,152177.0
RDHL,2020-03-04,4.49,4.82,4.45,4.45,355106.0
RDHL,2020-03-05,4.53,4.78,4.39,4.73,287563.0
RDHL,2020-03-06,4.68,4.8,4.49,4.71,174012.0
RDHL,2020-03-09,4.6,4.62,4.21,4.22,167844.0
RDHL,2020-03-10,4.37,4.55,4.22,4.35,187944.0
RDHL,2020-03-11,4.5,4.66,3.91,3.99,349735.0
RDHL,2020-03-12,3.75,3.85,3.5,3.51,406047.0
RDHL,2020-03-13,3.84,4.47,3.83,4.35,351832.0
RDHL,2020-03-16,3.9,4.97,3.81,4.19,393324.0
RDHL,2020-03-17,4.3,4.4,3.82,3.94,302169.0
RDHL,2020-03-18,3.82,3.95,3.26,3.54,276465.0
