Ticker,Date,open,high,low,close,volume
RDWR,2020-01-02,25.91,25.92,25.4,25.66,92212.0
RDWR,2020-01-03,25.5,25.75,25.45,25.68,48307.0
RDWR,2020-01-06,25.53,25.73,25.33,25.6,144424.0
RDWR,2020-01-07,25.67,26.0,25.5,25.92,129770.0
RDWR,2020-01-08,25.95,26.13,25.84,26.08,115982.0
RDWR,2020-01-09,26.2,26.25,26.06,26.18,91913.0
RDWR,2020-01-10,26.15,26.34,26.04,26.22,118659.0
RDWR,2020-01-13,26.22,26.39,25.76,25.79,139221.0
RDWR,2020-01-14,25.78,25.78,25.44,25.5,96721.0
RDWR,2020-01-15,25.52,25.74,25.52,25.6,54600.0
RDWR,2020-01-16,25.77,25.97,25.7,25.97,115164.0
RDWR,2020-01-17,26.1,26.1,25.75,25.92,81224.0
RDWR,2020-01-21,25.84,26.06,25.64,25.76,61040.0
RDWR,2020-01-22,25.92,26.3,25.9,25.98,324735.0
RDWR,2020-01-23,26.07,26.07,25.84,26.02,65528.0
RDWR,2020-01-24,26.09,26.3,26.0,26.15,113230.0
RDWR,2020-01-27,26.0,26.04,25.39,25.4,200168.0
RDWR,2020-01-28,25.39,25.69,25.29,25.45,235033.0
RDWR,2020-01-29,25.49,25.59,25.24,25.45,109390.0
RDWR,2020-01-30,25.42,25.65,25.34,25.62,76318.0
RDWR,2020-01-31,25.68,25.78,25.26,25.48,113467.0
RDWR,2020-02-03,25.42,25.77,25.32,25.74,99751.0
RDWR,2020-02-04,25.95,25.95,25.45,25.92,91450.0
RDWR,2020-02-05,26.06,26.3,25.67,26.24,142303.0
RDWR,2020-02-06,26.19,26.4,25.97,26.37,81803.0
RDWR,2020-02-07,26.4,26.52,26.23,26.52,107882.0
RDWR,2020-02-10,26.48,26.61,26.18,26.33,121457.0
RDWR,2020-02-11,26.47,26.75,26.46,26.6,294316.0
RDWR,2020-02-12,25.34,25.35,22.75,22.83,732383.0
RDWR,2020-02-13,22.84,22.84,22.12,22.26,490706.0
RDWR,2020-02-14,22.34,23.19,22.24,22.97,299533.0
RDWR,2020-02-18,22.65,22.82,22.5,22.72,232964.0
RDWR,2020-02-19,22.65,23.07,22.51,23.04,234455.0
RDWR,2020-02-20,22.94,23.58,22.69,23.45,407829.0
RDWR,2020-02-21,23.45,24.04,23.19,24.02,810931.0
RDWR,2020-02-24,23.5,23.98,23.47,23.9,402907.0
RDWR,2020-02-25,23.97,24.03,23.74,23.9,462306.0
RDWR,2020-02-26,23.85,24.18,23.39,23.51,565279.0
RDWR,2020-02-27,23.18,23.74,22.87,22.9,382789.0
RDWR,2020-02-28,22.46,22.79,22.15,22.72,322030.0
RDWR,2020-03-02,22.71,23.19,22.51,23.04,258086.0
RDWR,2020-03-03,22.87,23.32,22.72,23.29,306297.0
RDWR,2020-03-04,23.44,23.88,23.0,23.84,194083.0
RDWR,2020-03-05,23.58,23.68,22.82,23.45,250619.0
RDWR,2020-03-06,23.11,23.26,22.32,22.96,314318.0
RDWR,2020-03-09,21.36,21.97,21.04,21.74,277222.0
RDWR,2020-03-10,22.15,22.34,21.29,22.31,286362.0
RDWR,2020-03-11,21.87,22.43,21.04,21.24,246856.0
RDWR,2020-03-12,19.8,20.4,19.41,19.55,383244.0
RDWR,2020-03-13,20.3,20.39,19.5,20.05,409661.0
RDWR,2020-03-16,18.04,18.67,17.26,17.27,310710.0
RDWR,2020-03-17,17.67,18.18,17.42,17.63,386356.0
RDWR,2020-03-18,16.81,17.82,16.02,16.87,470950.0
RDWR,2020-03-19,16.77,19.88,16.7,19.1,1660222.0
RDWR,2020-03-20,19.5,20.09,18.97,19.12,394075.0
RDWR,2020-03-23,18.98,19.85,18.19,19.05,459362.0
RDWR,2020-03-24,19.58,20.45,19.49,19.77,505560.0
RDWR,2020-03-25,19.72,20.25,19.41,20.0,431187.0
RDWR,2020-03-26,20.0,21.0,19.83,21.0,510745.0
RDWR,2020-03-27,20.73,21.39,20.09,21.23,367305.0
RDWR,2020-03-30,21.46,21.92,21.15,21.67,1095201.0
RDWR,2020-03-31,21.49,21.82,20.83,21.07,521956.0
RDWR,2020-04-01,20.03,20.8,20.03,20.25,340254.0
RDWR,2020-04-02,20.0,20.61,19.9,20.49,274503.0
RDWR,2020-04-03,20.34,20.95,20.25,20.67,368802.0
RDWR,2020-04-06,21.01,21.29,20.7,21.09,349855.0
RDWR,2020-04-07,21.5,21.57,20.43,21.01,273247.0
RDWR,2020-04-08,21.22,21.58,20.89,21.37,195732.0
RDWR,2020-04-09,21.5,21.81,21.08,21.63,208844.0
RDWR,2020-04-13,21.59,21.73,21.0,21.35,236330.0
RDWR,2020-04-14,21.72,21.78,21.26,21.66,221579.0
RDWR,2020-04-15,21.28,21.61,20.88,21.15,216543.0
RDWR,2020-04-16,21.3,21.49,20.9,21.28,195492.0
RDWR,2020-04-17,21.63,21.9,21.3,21.7,720363.0
RDWR,2020-04-20,21.52,22.37,21.52,21.93,253072.0
RDWR,2020-04-21,21.89,21.95,21.31,21.64,247907.0
RDWR,2020-04-22,22.04,22.25,21.89,22.14,155331.0
RDWR,2020-04-23,22.16,22.53,22.16,22.32,123836.0
RDWR,2020-04-24,22.41,22.54,22.14,22.49,128018.0
RDWR,2020-04-27,22.62,22.9,22.52,22.77,171334.0
RDWR,2020-04-28,22.82,23.24,22.69,22.81,262287.0
RDWR,2020-04-29,23.1,24.03,22.94,23.95,299837.0
RDWR,2020-04-30,23.98,24.2,22.64,23.69,196165.0
RDWR,2020-05-01,23.21,23.46,22.82,22.94,156848.0
RDWR,2020-05-04,22.81,23.36,22.71,23.11,149388.0
RDWR,2020-05-05,23.3,23.75,23.11,23.27,317871.0
RDWR,2020-05-06,23.24,23.24,21.95,22.48,436069.0
RDWR,2020-05-07,23.1,23.53,22.81,23.16,288516.0
RDWR,2020-05-08,23.38,23.75,23.02,23.69,231291.0
RDWR,2020-05-11,23.62,24.1,23.39,24.06,178282.0
RDWR,2020-05-12,24.09,24.23,23.29,23.32,202688.0
RDWR,2020-05-13,23.24,23.31,22.52,22.76,187696.0
RDWR,2020-05-14,22.53,22.95,22.33,22.92,155697.0
RDWR,2020-05-15,22.84,22.99,22.7,22.96,90008.0
RDWR,2020-05-18,23.34,23.58,23.13,23.46,247237.0
RDWR,2020-05-19,23.48,23.63,23.15,23.27,207318.0
RDWR,2020-05-20,23.57,23.76,23.37,23.7,391396.0
RDWR,2020-05-21,23.79,23.79,23.21,23.38,86547.0
RDWR,2020-05-22,23.44,23.57,23.16,23.46,109846.0
RDWR,2020-05-26,23.59,23.85,23.32,23.6,187454.0
RDWR,2020-05-27,23.51,23.83,23.07,23.83,201457.0
RDWR,2020-05-28,23.87,24.0,23.48,23.58,139604.0
RDWR,2020-05-29,23.58,23.92,23.34,23.82,208270.0
RDWR,2020-06-01,23.93,24.2,23.6,23.63,205321.0
RDWR,2020-06-02,23.48,24.17,23.42,24.0,180006.0
RDWR,2020-06-03,24.06,24.23,23.92,24.12,137923.0
RDWR,2020-06-04,23.73,23.91,23.39,23.77,219724.0
RDWR,2020-06-05,24.0,24.26,23.77,24.0,123649.0
RDWR,2020-06-08,23.99,24.16,23.81,24.05,221873.0
RDWR,2020-06-09,24.01,24.17,23.78,24.1,129400.0
RDWR,2020-06-10,23.98,24.16,23.77,23.8,143944.0
RDWR,2020-06-11,23.52,23.55,23.0,23.04,163155.0
RDWR,2020-06-12,23.38,23.75,23.0,23.23,196395.0
RDWR,2020-06-15,22.95,23.77,22.95,23.66,209776.0
RDWR,2020-06-16,23.88,24.19,23.88,24.06,230198.0
RDWR,2020-06-17,24.2,24.2,23.91,24.01,162497.0
RDWR,2020-06-18,24.01,24.01,23.76,23.9,230338.0
RDWR,2020-06-19,24.12,24.19,23.75,23.75,763015.0
RDWR,2020-06-22,23.75,23.96,23.32,23.71,540555.0
RDWR,2020-06-23,23.93,24.16,23.8,23.86,371498.0
RDWR,2020-06-24,23.9,23.9,23.2,23.4,198006.0
RDWR,2020-06-25,23.37,23.5,23.11,23.46,117148.0
RDWR,2020-06-26,23.45,23.54,23.13,23.45,82274.0
RDWR,2020-06-29,23.56,23.58,23.08,23.26,92195.0
RDWR,2020-06-30,23.5,23.64,23.19,23.59,127787.0
RDWR,2020-07-01,23.68,23.68,23.3,23.51,102580.0
RDWR,2020-07-02,23.76,23.87,23.52,23.59,132735.0
RDWR,2020-07-06,23.89,24.35,23.78,24.05,209730.0
RDWR,2020-07-07,23.93,24.25,23.68,23.96,223723.0
RDWR,2020-07-08,24.04,24.18,23.79,24.1,188572.0
RDWR,2020-07-09,24.24,24.6,24.0,24.54,233727.0
RDWR,2020-07-10,24.54,24.62,24.16,24.31,171032.0
RDWR,2020-07-13,24.51,25.49,24.5,24.89,484175.0
RDWR,2020-07-14,24.92,25.4,24.84,25.32,317369.0
RDWR,2020-07-15,25.5,25.91,25.32,25.55,325011.0
RDWR,2020-07-16,25.59,25.92,25.51,25.9,223854.0
RDWR,2020-07-17,25.96,26.87,25.96,26.65,903607.0
RDWR,2020-07-20,26.78,26.91,26.36,26.74,313477.0
RDWR,2020-07-21,26.99,26.99,26.57,26.84,261311.0
RDWR,2020-07-22,26.91,26.96,26.5,26.54,307296.0
RDWR,2020-07-23,26.65,26.92,26.08,26.09,336566.0
RDWR,2020-07-24,25.06,25.11,24.34,24.67,499850.0
RDWR,2020-07-27,24.68,25.18,24.67,24.89,301321.0
RDWR,2020-07-28,24.81,25.56,24.81,25.08,991031.0
RDWR,2020-07-29,25.14,25.87,24.21,25.71,1400700.0
RDWR,2020-07-30,25.45,26.0,24.93,25.68,322396.0
RDWR,2020-07-31,25.42,25.84,25.42,25.55,402901.0
RDWR,2020-08-03,25.38,26.04,25.21,25.97,445104.0
RDWR,2020-08-04,25.89,26.03,25.68,25.95,482548.0
RDWR,2020-08-05,25.89,26.09,25.79,25.98,466292.0
RDWR,2020-08-06,25.99,26.11,25.87,26.08,370136.0
RDWR,2020-08-07,26.06,26.24,25.9,26.14,189168.0
RDWR,2020-08-10,26.14,26.21,25.81,25.89,367079.0
RDWR,2020-08-11,25.9,26.33,25.77,26.02,265750.0
RDWR,2020-08-12,26.05,26.39,26.03,26.16,176414.0
RDWR,2020-08-13,26.18,26.38,25.87,26.28,223891.0
RDWR,2020-08-14,26.23,26.35,25.97,26.11,142753.0
RDWR,2020-08-17,26.12,26.17,25.85,26.07,152964.0
RDWR,2020-08-18,26.14,26.2,25.99,26.16,196714.0
RDWR,2020-08-19,26.2,26.39,26.17,26.27,118216.0
RDWR,2020-08-20,26.27,26.36,26.17,26.27,190293.0
RDWR,2020-08-21,26.24,26.36,25.81,25.93,137510.0
RDWR,2020-08-24,25.89,26.17,25.85,25.95,196085.0
RDWR,2020-08-25,26.09,26.22,25.95,26.18,158079.0
RDWR,2020-08-26,26.26,26.43,26.13,26.24,214754.0
RDWR,2020-08-27,26.18,26.2,25.91,25.95,143833.0
RDWR,2020-08-28,25.95,26.08,25.73,25.92,131774.0
RDWR,2020-08-31,25.92,26.15,25.79,25.92,199259.0
RDWR,2020-09-01,25.94,26.09,25.77,25.98,224083.0
RDWR,2020-09-02,25.23,26.2,25.23,26.15,298944.0
RDWR,2020-09-03,26.08,26.08,24.99,25.09,358060.0
RDWR,2020-09-04,25.16,25.22,24.52,24.74,275411.0
RDWR,2020-09-08,24.23,24.66,24.14,24.32,244868.0
RDWR,2020-09-09,24.56,24.99,24.53,24.8,143325.0
RDWR,2020-09-10,24.8,25.12,24.5,24.5,155506.0
RDWR,2020-09-11,24.55,24.73,24.35,24.4,136594.0
RDWR,2020-09-14,24.61,24.75,24.45,24.49,109691.0
RDWR,2020-09-15,24.73,24.87,24.57,24.6,122875.0
RDWR,2020-09-16,24.74,24.78,24.36,24.39,98374.0
RDWR,2020-09-17,24.13,24.28,23.96,24.28,157012.0
RDWR,2020-09-18,24.4,24.57,24.17,24.42,235062.0
RDWR,2020-09-21,24.16,24.33,23.73,24.28,174395.0
RDWR,2020-09-22,24.44,24.91,24.21,24.84,129458.0
RDWR,2020-09-23,24.75,24.89,23.98,24.2,148944.0
RDWR,2020-09-24,24.1,24.24,23.83,24.06,155691.0
RDWR,2020-09-25,24.06,24.29,23.89,24.15,175810.0
RDWR,2020-09-28,24.28,24.7,24.28,24.66,183040.0
