Ticker,Date,open,high,low,close,volume
ROKU,2020-01-02,135.99,137.33,133.58,137.1,9941860.0
ROKU,2020-01-03,134.51,138.89,134.0,137.51,8645170.0
ROKU,2020-01-06,136.26,144.55,135.76,143.37,14432742.0
ROKU,2020-01-07,144.01,144.23,137.91,138.19,11779530.0
ROKU,2020-01-08,137.11,137.93,132.85,134.64,11314840.0
ROKU,2020-01-09,135.67,138.77,131.24,133.79,12642458.0
ROKU,2020-01-10,132.64,133.0,128.1,128.4,13453463.0
ROKU,2020-01-13,130.23,135.0,126.3,133.93,18471279.0
ROKU,2020-01-14,134.04,137.13,131.12,133.42,11165066.0
ROKU,2020-01-15,132.87,136.06,132.13,132.5,7642676.0
ROKU,2020-01-16,132.87,134.27,128.4,131.07,11227325.0
ROKU,2020-01-17,131.25,131.6,128.38,130.38,9173506.0
ROKU,2020-01-21,132.15,137.5,131.23,136.63,12801124.0
ROKU,2020-01-22,137.52,140.5,132.31,132.43,11829947.0
ROKU,2020-01-23,132.18,134.99,129.55,134.07,8818755.0
ROKU,2020-01-24,133.92,135.66,128.79,130.09,8488058.0
ROKU,2020-01-27,127.53,128.52,123.78,126.21,9239393.0
ROKU,2020-01-28,127.3,130.29,125.01,129.61,8173072.0
ROKU,2020-01-29,130.44,131.8,128.62,128.88,5818648.0
ROKU,2020-01-30,127.56,130.88,126.8,130.64,4472493.0
ROKU,2020-01-31,129.1,129.53,120.35,120.95,16948043.0
ROKU,2020-02-03,123.9,129.48,123.2,127.5,10128884.0
ROKU,2020-02-04,129.1,132.79,128.77,131.03,7994370.0
ROKU,2020-02-05,133.46,133.51,125.02,125.94,8797366.0
ROKU,2020-02-06,126.4,129.02,124.23,126.16,6425818.0
ROKU,2020-02-07,126.3,127.6,123.9,124.25,5447809.0
ROKU,2020-02-10,124.99,133.37,124.8,132.21,13483879.0
ROKU,2020-02-11,135.71,142.45,134.1,137.0,19907973.0
ROKU,2020-02-12,140.28,141.3,137.03,138.29,12578188.0
ROKU,2020-02-13,139.5,141.71,138.36,139.05,20641428.0
ROKU,2020-02-14,149.19,151.2,127.4,130.25,63567842.0
ROKU,2020-02-18,131.66,133.55,125.24,127.15,19482375.0
ROKU,2020-02-19,129.22,131.6,126.4,126.56,17247330.0
ROKU,2020-02-20,127.25,127.79,121.12,124.08,15397007.0
ROKU,2020-02-21,122.95,123.75,118.24,119.38,12571066.0
ROKU,2020-02-24,110.3,118.0,108.05,116.99,16435534.0
ROKU,2020-02-25,119.48,120.49,113.06,118.67,14532957.0
ROKU,2020-02-26,118.29,119.36,112.33,112.71,9769336.0
ROKU,2020-02-27,106.88,115.2,105.57,110.03,15852128.0
ROKU,2020-02-28,107.0,114.12,106.0,113.67,12392755.0
ROKU,2020-03-02,115.49,116.16,111.33,114.67,9298131.0
ROKU,2020-03-03,113.98,114.75,106.42,108.62,11612323.0
ROKU,2020-03-04,110.01,110.45,105.65,109.61,8881232.0
ROKU,2020-03-05,108.2,110.08,105.66,106.44,8623366.0
ROKU,2020-03-06,104.35,105.3,98.6,102.02,11841524.0
ROKU,2020-03-09,91.0,101.95,90.4,96.26,10503215.0
ROKU,2020-03-10,101.06,101.06,92.75,97.3,9694177.0
ROKU,2020-03-11,96.38,97.35,89.15,90.63,8764425.0
ROKU,2020-03-12,80.65,86.64,78.8,78.81,13580474.0
ROKU,2020-03-13,82.71,83.48,74.25,80.95,11943993.0
ROKU,2020-03-16,74.7,76.47,63.59,63.84,14455803.0
ROKU,2020-03-17,60.3,75.79,58.22,69.46,24859201.0
ROKU,2020-03-18,64.79,74.85,61.5,67.5,19522017.0
ROKU,2020-03-19,69.47,75.54,67.22,74.12,13199827.0
ROKU,2020-03-20,76.52,80.08,73.16,76.13,13755047.0
ROKU,2020-03-23,77.37,90.44,74.77,89.46,18705860.0
ROKU,2020-03-24,96.5,101.78,92.1,97.2,17774347.0
ROKU,2020-03-25,97.85,100.0,88.88,94.85,15629748.0
