Ticker,Date,open,high,low,close,volume
SAND,2020-01-02,7.55,7.67,7.36,7.45,2116324.0
SAND,2020-01-03,7.6,7.65,7.31,7.34,1926324.0
SAND,2020-01-06,7.55,7.55,6.96,7.04,4164534.0
SAND,2020-01-07,7.05,7.23,7.0,7.2,2005269.0
SAND,2020-01-08,7.22,7.22,6.85,6.86,2743933.0
SAND,2020-01-09,6.8,6.88,6.72,6.78,1694875.0
SAND,2020-01-10,6.78,6.93,6.78,6.88,1882932.0
SAND,2020-01-13,6.87,6.88,6.67,6.68,1683585.0
SAND,2020-01-14,6.62,6.83,6.53,6.8,2055345.0
SAND,2020-01-15,6.89,7.01,6.8,6.98,2071292.0
SAND,2020-01-16,6.91,7.0,6.86,6.99,995790.0
SAND,2020-01-17,7.02,7.09,6.82,6.9,1647636.0
SAND,2020-01-21,6.92,7.0,6.8,6.88,1765715.0
SAND,2020-01-22,6.86,6.96,6.8,6.8,1364565.0
SAND,2020-01-23,6.76,6.99,6.75,6.85,1143982.0
SAND,2020-01-24,6.85,7.01,6.79,6.98,1802203.0
SAND,2020-01-27,7.11,7.13,6.86,6.89,1980062.0
SAND,2020-01-28,6.81,6.89,6.65,6.75,1405426.0
SAND,2020-01-29,6.75,6.91,6.71,6.9,1662056.0
SAND,2020-01-30,6.88,6.98,6.81,6.85,1652197.0
SAND,2020-01-31,6.87,6.96,6.81,6.86,1350371.0
SAND,2020-02-03,6.83,6.84,6.65,6.67,1181108.0
SAND,2020-02-04,6.55,6.61,6.42,6.58,1533420.0
SAND,2020-02-05,6.54,6.68,6.52,6.6,1013753.0
SAND,2020-02-06,6.67,6.81,6.59,6.79,1324031.0
SAND,2020-02-07,6.85,6.86,6.71,6.71,2328731.0
SAND,2020-02-10,6.8,6.89,6.7,6.84,1629564.0
SAND,2020-02-11,6.83,6.88,6.76,6.88,1514531.0
SAND,2020-02-12,6.85,6.93,6.78,6.83,1941061.0
SAND,2020-02-13,6.89,6.96,6.81,6.9,2122414.0
SAND,2020-02-14,6.99,7.2,6.92,7.13,1788408.0
SAND,2020-02-18,7.22,7.27,7.12,7.26,2291359.0
SAND,2020-02-19,7.3,7.3,7.08,7.22,2091412.0
SAND,2020-02-20,7.12,7.25,7.12,7.19,2270400.0
SAND,2020-02-21,7.26,7.62,7.21,7.57,3108736.0
SAND,2020-02-24,7.9,7.9,7.5,7.66,6150193.0
SAND,2020-02-25,7.54,7.81,7.41,7.42,3786159.0
SAND,2020-02-26,7.4,7.45,7.25,7.39,1634829.0
SAND,2020-02-27,7.48,7.52,6.8,6.8,3867168.0
SAND,2020-02-28,6.4,6.43,5.73,5.93,7010415.0
SAND,2020-03-02,6.1,6.15,5.87,6.06,2830341.0
SAND,2020-03-03,6.13,6.57,5.93,6.26,5375915.0
SAND,2020-03-04,6.32,6.4,6.05,6.16,3477683.0
SAND,2020-03-05,6.21,6.42,6.09,6.34,2722929.0
SAND,2020-03-06,6.39,6.43,5.99,6.32,2514611.0
SAND,2020-03-09,5.96,6.1,5.6,5.79,2124706.0
SAND,2020-03-10,5.85,6.01,5.5,5.74,3499391.0
SAND,2020-03-11,5.72,5.72,5.03,5.12,3421547.0
SAND,2020-03-12,4.29,4.84,4.0,4.26,7456287.0
SAND,2020-03-13,4.43,4.44,3.87,3.88,5386799.0
SAND,2020-03-16,3.46,4.81,3.32,4.67,6166595.0
SAND,2020-03-17,4.57,5.7,4.53,5.69,6668067.0
SAND,2020-03-18,5.39,6.0,4.7,4.78,4693937.0
SAND,2020-03-19,4.8,5.52,4.18,4.95,5132491.0
SAND,2020-03-20,5.09,5.24,4.45,4.52,4382146.0
SAND,2020-03-23,4.65,5.2,4.48,4.99,4284233.0
SAND,2020-03-24,5.67,5.85,5.26,5.38,4450552.0
SAND,2020-03-25,5.46,5.92,5.22,5.75,4014983.0
SAND,2020-03-26,5.84,6.25,5.59,5.89,3648510.0
SAND,2020-03-27,5.57,5.8,5.2,5.34,2567866.0
SAND,2020-03-30,5.17,5.55,4.96,5.13,2080478.0
SAND,2020-03-31,5.03,5.34,5.0,5.01,1631990.0
SAND,2020-04-01,5.01,5.3,4.96,5.26,1985025.0
SAND,2020-04-02,5.4,5.76,5.32,5.49,2623451.0
SAND,2020-04-03,5.47,5.69,5.27,5.32,1836124.0
SAND,2020-04-06,5.56,5.8,5.4,5.72,2916285.0
SAND,2020-04-07,5.83,5.84,5.55,5.69,2010340.0
SAND,2020-04-08,5.64,5.8,5.57,5.63,1795762.0
SAND,2020-04-09,5.92,6.13,5.64,5.79,5790628.0
SAND,2020-04-13,5.82,6.6,5.61,6.54,4257078.0
SAND,2020-04-14,6.9,7.15,6.38,6.56,4363782.0
SAND,2020-04-15,6.5,6.68,6.21,6.49,2726635.0
SAND,2020-04-16,6.65,6.77,6.46,6.66,2166065.0
SAND,2020-04-17,6.49,6.63,6.37,6.42,3370193.0
SAND,2020-04-20,6.42,6.74,6.41,6.64,2200854.0
SAND,2020-04-21,6.47,6.74,6.47,6.6,2122539.0
SAND,2020-04-22,6.73,7.15,6.72,7.07,3026159.0
SAND,2020-04-23,7.29,7.82,7.25,7.46,4296394.0
SAND,2020-04-24,7.69,7.74,7.25,7.56,2669696.0
SAND,2020-04-27,7.6,7.96,7.44,7.89,3671413.0
SAND,2020-04-28,7.96,8.12,7.73,7.99,3336366.0
SAND,2020-04-29,8.0,8.4,7.92,8.36,4252816.0
SAND,2020-04-30,8.24,8.27,7.7,7.78,4033082.0
SAND,2020-05-01,7.57,8.11,7.41,8.09,3366707.0
SAND,2020-05-04,8.29,8.47,8.16,8.25,3346686.0
SAND,2020-05-05,8.16,8.41,8.0,8.31,2717609.0
SAND,2020-05-06,8.19,8.33,8.04,8.21,1584687.0
SAND,2020-05-07,8.35,8.69,8.15,8.56,2701118.0
SAND,2020-05-08,8.05,8.39,7.87,7.99,5208155.0
SAND,2020-05-11,7.99,8.03,7.64,7.72,2984605.0
SAND,2020-05-12,7.82,8.28,7.8,7.85,2906312.0
SAND,2020-05-13,8.15,8.15,7.64,7.86,2221822.0
