Ticker,Date,open,high,low,close,volume
SDGR,2020-02-06,26.0,31.4,25.5,28.64,7624541.0
SDGR,2020-02-07,30.45,34.15,29.31,31.92,3225299.0
SDGR,2020-02-10,32.38,33.45,28.11,28.94,2007709.0
SDGR,2020-02-11,28.75,29.52,26.65,26.79,1253919.0
SDGR,2020-02-12,27.33,28.22,26.66,27.13,1510572.0
SDGR,2020-02-13,27.08,27.55,26.06,26.6,595058.0
SDGR,2020-02-14,26.61,27.1,26.24,26.9,564797.0
SDGR,2020-02-18,27.17,32.16,27.0,31.9,1509702.0
SDGR,2020-02-19,32.28,36.41,32.28,35.72,1626915.0
SDGR,2020-02-20,36.4,48.73,32.84,47.62,6922284.0
SDGR,2020-02-21,51.55,54.83,45.0,50.0,7134356.0
SDGR,2020-02-24,45.0,56.65,44.0,52.99,4328762.0
SDGR,2020-02-25,54.1,54.5,43.16,43.59,2795717.0
SDGR,2020-02-26,45.95,47.55,40.06,42.39,2141964.0
SDGR,2020-02-27,39.0,51.12,38.0,43.43,2922745.0
SDGR,2020-02-28,43.52,47.49,42.5,46.38,1396149.0
SDGR,2020-03-02,48.23,49.77,43.0,44.75,1224012.0
SDGR,2020-03-03,44.55,45.68,39.06,39.51,1445784.0
SDGR,2020-03-04,41.97,43.77,39.51,43.0,1006710.0
SDGR,2020-03-05,41.89,43.98,40.51,41.17,774660.0
SDGR,2020-03-06,39.9,43.66,39.2,43.32,799697.0
SDGR,2020-03-09,38.58,41.41,37.18,37.25,1015515.0
SDGR,2020-03-10,39.38,39.89,32.1,35.03,1041168.0
SDGR,2020-03-11,33.29,37.03,32.02,35.52,973265.0
SDGR,2020-03-12,38.49,43.75,35.0,37.31,2692411.0
SDGR,2020-03-13,39.75,40.49,34.53,35.58,1388598.0
SDGR,2020-03-16,32.45,32.5,30.01,30.38,1041491.0
SDGR,2020-03-17,31.01,31.57,27.04,30.37,1152460.0
SDGR,2020-03-18,29.1,33.63,27.68,28.96,966766.0
SDGR,2020-03-19,28.96,34.49,28.51,33.44,797265.0
SDGR,2020-03-20,34.42,39.69,33.36,38.55,2699218.0
SDGR,2020-03-23,39.2,44.71,38.26,42.78,1011093.0
SDGR,2020-03-24,44.3,45.3,40.26,41.29,876141.0
SDGR,2020-03-25,41.37,41.69,38.01,38.9,822548.0
SDGR,2020-03-26,39.25,42.35,38.64,41.25,647552.0
SDGR,2020-03-27,39.88,42.8,39.18,40.23,732747.0
SDGR,2020-03-30,40.4,42.36,40.09,42.18,855647.0
SDGR,2020-03-31,42.6,46.44,40.61,43.12,1490560.0
SDGR,2020-04-01,41.43,43.7,39.08,39.39,970548.0
SDGR,2020-04-02,39.4,40.89,37.5,37.95,664889.0
SDGR,2020-04-03,37.95,40.21,37.59,40.12,482802.0
SDGR,2020-04-06,40.62,41.5,38.8,39.79,620083.0
SDGR,2020-04-07,40.16,40.55,38.5,39.07,507835.0
SDGR,2020-04-08,39.19,41.9,38.78,40.4,754225.0
SDGR,2020-04-09,40.8,41.6,38.5,41.3,720142.0
SDGR,2020-04-13,40.92,41.52,39.62,41.03,445527.0
SDGR,2020-04-14,41.77,43.8,38.65,39.19,1015147.0
SDGR,2020-04-15,38.77,39.64,35.8,36.12,959127.0
SDGR,2020-04-16,37.9,40.84,37.81,40.84,1171539.0
SDGR,2020-04-17,41.46,41.69,39.3,40.51,663682.0
SDGR,2020-04-20,40.2,48.48,40.12,48.48,1752868.0
SDGR,2020-04-21,47.02,49.0,40.88,44.5,1570443.0
SDGR,2020-04-22,44.97,47.0,43.75,46.27,534001.0
SDGR,2020-04-23,46.44,47.9,44.58,45.32,644843.0
SDGR,2020-04-24,45.67,51.97,44.26,51.62,1433247.0
SDGR,2020-04-27,52.22,52.43,48.6,49.68,926844.0
SDGR,2020-04-28,50.39,52.96,47.06,49.43,1115491.0
SDGR,2020-04-29,50.61,51.51,49.35,49.69,527241.0
SDGR,2020-04-30,49.38,49.94,45.58,46.4,835706.0
SDGR,2020-05-01,45.26,47.84,45.05,46.72,582858.0
SDGR,2020-05-04,46.89,49.15,46.51,48.36,548320.0
SDGR,2020-05-05,48.84,49.99,47.25,48.25,505927.0
SDGR,2020-05-06,48.46,49.25,47.72,47.89,371817.0
SDGR,2020-05-07,48.76,51.27,48.45,50.0,822090.0
SDGR,2020-05-08,50.95,51.98,48.05,48.82,806626.0
SDGR,2020-05-11,48.9,57.37,48.9,54.9,1752659.0
SDGR,2020-05-12,55.75,61.0,53.0,58.73,1667285.0
SDGR,2020-05-13,54.6,61.93,49.4,55.47,3071650.0
SDGR,2020-05-14,52.71,55.44,50.51,54.0,943969.0
SDGR,2020-05-15,53.15,57.9,52.92,57.0,950213.0
SDGR,2020-05-18,58.65,60.86,57.11,59.05,822032.0
SDGR,2020-05-19,58.55,67.5,58.55,66.48,1350233.0
SDGR,2020-05-20,67.78,72.49,63.33,64.71,2114305.0
SDGR,2020-05-21,65.8,69.2,63.73,65.33,875875.0
SDGR,2020-05-22,65.58,71.8,65.58,69.17,1020954.0
SDGR,2020-05-26,74.05,75.6,66.98,69.06,1143507.0
SDGR,2020-05-27,70.2,70.2,60.0,65.25,1126287.0
SDGR,2020-05-28,65.0,66.67,62.03,62.24,643977.0
SDGR,2020-05-29,62.32,68.63,62.01,68.45,839489.0
SDGR,2020-06-01,68.7,71.85,68.01,69.6,590394.0
SDGR,2020-06-02,71.38,71.93,67.77,69.57,793573.0
SDGR,2020-06-03,69.51,70.47,67.16,68.74,585021.0
SDGR,2020-06-04,67.62,69.63,63.63,63.81,689343.0
SDGR,2020-06-05,64.69,66.58,63.24,63.59,693677.0
SDGR,2020-06-08,64.5,65.3,62.51,65.06,571220.0
SDGR,2020-06-09,64.98,70.22,63.81,68.59,689806.0
SDGR,2020-06-10,68.51,68.95,66.61,67.17,495230.0
SDGR,2020-06-11,65.0,66.2,59.35,59.84,900832.0
SDGR,2020-06-12,62.71,64.45,59.5,60.51,709447.0
SDGR,2020-06-15,59.99,68.77,59.62,67.41,1047747.0
SDGR,2020-06-16,69.14,70.5,65.36,67.41,693060.0
SDGR,2020-06-17,68.0,76.94,67.33,71.63,1503550.0
SDGR,2020-06-18,72.77,75.9,72.06,75.42,768938.0
SDGR,2020-06-19,76.7,78.89,72.45,75.06,1862979.0
SDGR,2020-06-22,76.5,77.0,72.15,75.65,939913.0
SDGR,2020-06-23,77.77,82.38,77.0,80.22,944358.0
SDGR,2020-06-24,79.51,84.21,77.51,81.29,1171740.0
