Ticker,Date,open,high,low,close,volume
SE,2020-01-02,41.0,41.19,39.46,40.04,5689333.0
SE,2020-01-03,39.44,40.65,39.4,40.49,5237931.0
SE,2020-01-06,40.07,41.03,40.03,40.48,4049150.0
SE,2020-01-07,40.5,41.8,40.35,41.01,3952275.0
SE,2020-01-08,41.0,41.39,40.05,40.16,3211334.0
SE,2020-01-09,40.79,40.9,40.04,40.53,3129720.0
SE,2020-01-10,40.76,40.91,39.34,39.58,3360903.0
SE,2020-01-13,39.71,40.37,39.6,40.02,1647562.0
SE,2020-01-14,40.0,40.27,39.15,39.94,3446257.0
SE,2020-01-15,40.4,40.95,39.91,40.42,2312718.0
SE,2020-01-16,40.65,41.02,40.2,40.96,2356825.0
SE,2020-01-17,40.75,41.34,40.7,41.28,3217637.0
SE,2020-01-21,41.01,41.4,40.33,41.31,4195536.0
SE,2020-01-22,43.55,45.15,42.9,44.36,10448554.0
SE,2020-01-23,44.25,45.01,43.74,44.75,4141569.0
SE,2020-01-24,46.06,46.5,44.35,45.33,5869407.0
SE,2020-01-27,42.6,44.45,42.6,44.35,3065615.0
SE,2020-01-28,45.0,45.31,44.51,45.03,1561339.0
SE,2020-01-29,45.76,46.29,45.03,45.14,2058969.0
SE,2020-01-30,44.72,45.63,44.52,45.59,1541964.0
SE,2020-01-31,45.28,45.58,44.81,45.24,2784495.0
SE,2020-02-03,45.37,46.5,45.25,46.37,3350769.0
SE,2020-02-04,46.97,47.11,46.07,46.82,3841375.0
SE,2020-02-05,47.5,47.51,45.73,45.81,4292993.0
SE,2020-02-06,46.08,46.77,44.84,45.72,2679068.0
SE,2020-02-07,46.58,46.71,45.53,46.2,3073228.0
SE,2020-02-10,46.06,46.3,44.95,45.16,3370307.0
SE,2020-02-11,45.71,46.67,45.38,46.34,2794098.0
SE,2020-02-12,46.59,47.14,46.44,46.93,2096536.0
SE,2020-02-13,47.1,48.4,47.04,47.95,7357199.0
SE,2020-02-14,48.5,49.33,48.16,48.49,3698107.0
SE,2020-02-18,49.27,49.88,48.8,49.84,5076330.0
SE,2020-02-19,50.34,51.21,49.78,51.2,4737779.0
SE,2020-02-20,51.16,52.51,50.87,52.5,9306763.0
SE,2020-02-21,52.17,52.39,51.45,51.85,5698716.0
SE,2020-02-24,48.68,49.48,46.95,48.2,8968125.0
SE,2020-02-25,49.46,49.79,46.06,46.7,6217695.0
SE,2020-02-26,46.77,47.91,46.28,46.42,3200214.0
SE,2020-02-27,45.01,46.9,43.31,45.07,8820836.0
SE,2020-02-28,43.64,45.54,43.5,45.06,5057675.0
SE,2020-03-02,46.21,48.22,45.15,48.04,7254641.0
SE,2020-03-03,49.58,51.59,48.24,48.95,10998449.0
SE,2020-03-04,51.0,52.58,50.2,52.52,5619349.0
SE,2020-03-05,51.01,52.77,50.38,52.56,4239167.0
SE,2020-03-06,50.66,51.17,47.86,50.35,5801782.0
SE,2020-03-09,45.99,47.18,44.99,45.91,7509366.0
SE,2020-03-10,48.0,50.77,47.82,50.69,7620732.0
SE,2020-03-11,49.04,50.5,47.27,48.02,3794035.0
SE,2020-03-12,44.0,44.4,41.47,41.63,8733957.0
SE,2020-03-13,44.93,45.11,42.37,44.51,6643151.0
SE,2020-03-16,38.5,43.29,38.5,41.08,6871213.0
SE,2020-03-17,41.87,45.0,40.5,44.26,5394232.0
SE,2020-03-18,40.54,41.96,36.28,41.96,7571765.0
SE,2020-03-19,41.08,41.31,38.02,39.7,7276932.0
SE,2020-03-20,41.7,42.33,37.99,38.0,5849043.0
SE,2020-03-23,38.1,38.76,35.61,38.45,5627941.0
SE,2020-03-24,41.74,43.75,41.23,42.84,6362190.0
SE,2020-03-25,43.47,46.36,42.49,44.04,4203380.0
SE,2020-03-26,45.38,46.48,44.64,45.74,5065261.0
SE,2020-03-27,44.31,46.0,43.5,43.93,4147239.0
SE,2020-03-30,44.0,44.5,42.5,44.46,3071597.0
SE,2020-03-31,44.14,45.11,43.76,44.31,2683090.0
SE,2020-04-01,43.0,43.93,42.22,43.17,3713883.0
SE,2020-04-02,42.77,44.71,42.62,44.58,2732975.0
SE,2020-04-03,43.4,44.39,40.41,42.1,5554362.0
SE,2020-04-06,43.97,45.75,43.72,44.8,3309539.0
SE,2020-04-07,46.06,46.74,44.5,45.22,4112850.0
SE,2020-04-08,45.4,46.1,44.81,45.45,1896400.0
SE,2020-04-09,46.5,47.9,44.85,45.07,3649967.0
SE,2020-04-13,44.74,47.56,44.46,46.99,2664824.0
SE,2020-04-14,47.72,50.65,47.57,50.22,4886625.0
SE,2020-04-15,49.47,50.62,48.11,49.78,2414218.0
SE,2020-04-16,51.6,54.48,51.41,53.95,6896403.0
SE,2020-04-17,55.25,55.25,52.67,53.02,3781443.0
SE,2020-04-20,52.46,54.98,52.25,54.22,2513240.0
SE,2020-04-21,53.54,54.04,50.35,51.98,3772012.0
SE,2020-04-22,54.11,55.1,52.88,54.04,3068901.0
SE,2020-04-23,54.1,54.92,53.07,53.63,2737096.0
SE,2020-04-24,54.22,54.72,53.52,54.39,2330156.0
SE,2020-04-27,55.46,56.0,54.51,55.34,3311907.0
SE,2020-04-28,56.49,56.8,52.77,53.3,4566772.0
SE,2020-04-29,53.57,55.83,53.43,55.52,2828889.0
SE,2020-04-30,56.16,56.75,55.3,55.58,2167625.0
SE,2020-05-01,53.89,55.04,53.35,54.78,2054008.0
SE,2020-05-04,53.85,55.73,53.85,55.23,2677627.0
SE,2020-05-05,56.77,59.44,55.97,57.93,4678582.0
SE,2020-05-06,58.05,62.56,57.61,61.69,8235388.0
SE,2020-05-07,62.11,62.19,57.72,60.37,6624513.0
SE,2020-05-08,61.16,63.3,60.67,62.49,3234174.0
SE,2020-05-11,61.87,63.79,61.58,62.91,3545182.0
SE,2020-05-12,63.0,64.39,61.07,62.7,3724276.0
SE,2020-05-13,63.0,64.0,60.69,61.98,5419601.0
SE,2020-05-14,61.0,61.59,59.26,61.59,5295738.0
SE,2020-05-15,60.09,62.19,60.0,61.96,6439561.0
SE,2020-05-18,66.0,69.95,65.43,69.49,9974385.0
SE,2020-05-19,69.75,72.8,68.1,68.27,14057016.0
SE,2020-05-20,70.0,73.97,69.9,72.4,10281047.0
SE,2020-05-21,72.4,78.54,72.26,77.81,11053780.0
SE,2020-05-22,78.01,79.19,76.07,79.0,6901917.0
SE,2020-05-26,81.08,83.8,80.66,83.16,7287931.0
SE,2020-05-27,83.69,83.75,73.93,78.91,11287644.0
SE,2020-05-28,77.98,80.37,75.28,75.66,6486933.0
SE,2020-05-29,76.03,79.89,75.11,79.8,4960074.0
SE,2020-06-01,80.08,82.62,80.08,82.47,4527029.0
SE,2020-06-02,83.0,86.86,82.52,86.86,4726390.0
SE,2020-06-03,87.18,88.16,86.13,88.07,6449651.0
SE,2020-06-04,88.0,88.2,83.68,85.31,5842674.0
SE,2020-06-05,86.52,89.94,85.61,89.7,5178861.0
SE,2020-06-08,90.0,93.18,89.78,90.88,6408219.0
SE,2020-06-09,90.72,91.58,89.64,90.78,3751208.0
SE,2020-06-10,91.52,92.93,89.94,92.16,4520407.0
SE,2020-06-11,90.0,91.67,86.6,88.58,7983350.0
SE,2020-06-12,92.0,94.52,90.56,92.98,4234622.0
SE,2020-06-15,91.28,98.68,90.63,97.25,5163597.0
SE,2020-06-16,102.49,102.49,96.86,100.8,5711551.0
SE,2020-06-17,99.57,107.92,99.5,106.81,7328163.0
SE,2020-06-18,109.0,109.8,102.52,106.48,6714376.0
SE,2020-06-19,108.17,110.13,106.7,106.94,7589643.0
SE,2020-06-22,107.81,113.78,107.58,113.39,6732364.0
SE,2020-06-23,115.2,116.0,110.12,111.1,8163326.0
SE,2020-06-24,110.38,111.87,100.66,103.64,10785367.0
SE,2020-06-25,103.0,105.7,101.2,104.32,4465295.0
SE,2020-06-26,103.54,107.8,101.61,105.2,4453913.0
SE,2020-06-29,104.98,110.64,101.61,108.77,4478281.0
SE,2020-06-30,109.08,110.42,107.05,107.24,2912393.0
SE,2020-07-01,108.28,116.76,108.28,114.46,4728812.0
SE,2020-07-02,117.85,119.23,115.33,117.62,3278110.0
SE,2020-07-06,122.5,123.5,113.19,114.41,5475558.0
SE,2020-07-07,113.44,116.12,111.34,112.9,4917672.0
SE,2020-07-08,118.02,126.68,118.01,124.46,7608317.0
SE,2020-07-09,129.71,129.72,119.0,123.05,5192870.0
SE,2020-07-10,121.53,122.38,118.45,121.0,2501267.0
SE,2020-07-13,123.17,125.29,113.58,113.65,4961580.0
SE,2020-07-14,111.15,113.54,106.01,113.3,5621182.0
SE,2020-07-15,114.51,116.74,112.63,113.21,2941675.0
SE,2020-07-16,109.6,110.49,106.88,109.0,3044849.0
SE,2020-07-17,110.17,111.76,107.87,109.04,1699246.0
SE,2020-07-20,111.9,117.99,111.14,115.25,3510063.0
SE,2020-07-21,118.32,120.45,114.68,115.45,2528709.0
SE,2020-07-22,115.93,116.75,113.16,114.65,1397368.0
SE,2020-07-23,114.65,114.96,107.2,108.95,2745359.0
SE,2020-07-24,105.43,108.2,101.7,107.12,3797780.0
SE,2020-07-27,110.48,115.02,109.17,114.18,3498499.0
SE,2020-07-28,115.63,118.75,114.14,116.0,2937042.0
SE,2020-07-29,119.17,120.34,116.91,118.69,2385495.0
SE,2020-07-30,118.52,122.55,118.14,122.29,3665445.0
SE,2020-07-31,124.51,125.84,120.1,122.2,4137637.0
SE,2020-08-03,124.92,134.33,124.5,132.75,4578618.0
SE,2020-08-04,132.86,138.54,131.74,137.51,4490597.0
SE,2020-08-05,140.51,146.69,140.05,145.47,4582133.0
SE,2020-08-06,146.99,146.99,137.04,138.21,4497714.0
SE,2020-08-07,137.27,140.44,127.64,129.0,5050221.0
SE,2020-08-10,132.66,135.52,120.34,122.7,5945331.0
SE,2020-08-11,122.85,127.79,118.08,120.36,3967926.0
SE,2020-08-12,122.49,128.68,121.37,126.92,3839474.0
SE,2020-08-13,128.0,130.65,126.5,128.0,4053611.0
SE,2020-08-14,128.31,129.67,124.39,126.5,3299440.0
SE,2020-08-17,128.92,134.44,127.23,134.28,6073181.0
SE,2020-08-18,148.0,152.51,141.03,145.98,12364828.0
SE,2020-08-19,151.77,154.25,146.3,150.56,5442133.0
SE,2020-08-20,151.3,153.34,145.76,152.64,4178441.0
SE,2020-08-21,153.28,154.28,145.9,147.42,3934065.0
SE,2020-08-24,149.79,152.19,144.26,150.41,4437773.0
SE,2020-08-25,148.25,155.0,147.3,154.13,3644853.0
SE,2020-08-26,154.92,163.14,154.34,159.0,5392708.0
SE,2020-08-27,158.0,158.9,150.34,153.15,3919219.0
SE,2020-08-28,154.48,156.09,151.98,152.67,2399421.0
SE,2020-08-31,154.34,158.99,150.56,152.81,3949231.0
SE,2020-09-01,156.7,162.0,153.31,161.8,5365306.0
SE,2020-09-02,164.26,165.23,153.38,157.22,4471573.0
SE,2020-09-03,150.66,152.97,144.12,147.56,6682657.0
SE,2020-09-04,145.05,145.71,137.89,144.15,7891351.0
SE,2020-09-08,136.0,144.93,135.28,138.0,7301059.0
SE,2020-09-09,141.93,143.48,138.13,142.03,3896349.0
SE,2020-09-10,142.0,146.1,138.03,139.5,2591851.0
SE,2020-09-11,142.27,142.99,138.07,139.51,2336993.0
SE,2020-09-14,143.99,149.22,143.0,147.82,3586129.0
SE,2020-09-15,150.0,150.59,145.29,149.99,3010305.0
SE,2020-09-16,148.96,151.24,146.73,147.58,1538702.0
SE,2020-09-17,143.8,149.26,141.85,149.08,3154387.0
SE,2020-09-18,150.05,150.98,143.88,147.55,2542788.0
SE,2020-09-21,143.0,150.88,142.64,150.7,2230081.0
SE,2020-09-22,151.09,152.75,145.9,152.12,3080638.0
SE,2020-09-23,150.75,155.54,146.64,147.88,3441826.0
SE,2020-09-24,144.94,152.45,142.41,150.06,3101963.0
SE,2020-09-25,150.74,157.8,149.55,155.29,4289593.0
SE,2020-09-28,159.0,162.0,157.01,159.97,3658076.0
SE,2020-09-29,159.41,161.51,154.39,155.15,2503822.0
SE,2020-09-30,155.1,158.54,153.86,154.04,2290489.0
SE,2020-10-01,157.0,160.44,154.52,160.0,3054162.0
SE,2020-10-02,154.5,160.09,154.33,155.36,3017021.0
SE,2020-10-05,158.88,162.05,155.21,157.58,3345854.0
SE,2020-10-06,159.0,167.94,158.13,163.44,5642679.0
SE,2020-10-07,167.43,171.3,165.45,167.42,4245635.0
SE,2020-10-08,170.49,172.0,168.15,169.29,3370798.0
SE,2020-10-09,170.0,172.5,166.28,172.12,2645499.0
SE,2020-10-12,175.0,175.6,166.9,167.18,3050372.0
SE,2020-10-13,170.0,172.47,166.38,172.4,2064071.0
SE,2020-10-14,174.3,176.9,166.33,167.63,2213933.0
SE,2020-10-15,165.8,169.31,161.84,169.3,1995864.0
SE,2020-10-16,170.17,171.61,164.88,165.2,2160054.0
SE,2020-10-19,165.42,168.18,161.95,162.84,2567697.0
SE,2020-10-20,163.0,169.49,162.5,166.87,1921554.0
SE,2020-10-21,167.23,172.12,163.78,168.38,2175625.0
SE,2020-10-22,168.79,169.79,159.6,161.63,3112673.0
SE,2020-10-23,162.0,163.12,158.79,162.96,1841154.0
SE,2020-10-26,160.4,164.67,159.41,162.36,1965658.0
SE,2020-10-27,164.68,172.45,162.95,172.29,3340202.0
SE,2020-10-28,167.49,167.99,161.26,163.24,2794068.0
SE,2020-10-29,166.42,169.98,163.45,167.02,1902324.0
SE,2020-10-30,163.42,164.74,155.33,157.7,3231561.0
SE,2020-11-02,160.4,164.94,157.55,159.67,2719753.0
SE,2020-11-03,161.11,169.22,161.0,166.39,2081346.0
SE,2020-11-04,171.35,177.59,170.59,176.96,3116101.0
SE,2020-11-05,183.0,187.45,180.58,184.62,3371045.0
SE,2020-11-06,184.79,187.75,180.17,186.79,1734848.0
SE,2020-11-09,176.16,182.97,164.0,169.08,6129182.0
SE,2020-11-10,169.8,169.96,155.1,156.53,7169121.0
SE,2020-11-11,166.45,171.69,161.51,169.13,6227091.0
SE,2020-11-12,174.0,179.45,171.82,178.77,4100261.0
SE,2020-11-13,181.2,183.66,176.63,181.44,2907444.0
SE,2020-11-16,178.7,179.24,172.0,178.22,4710982.0
SE,2020-11-17,182.89,187.18,168.56,170.62,6000731.0
SE,2020-11-18,174.29,174.83,165.0,165.16,4290099.0
SE,2020-11-19,167.72,174.81,166.0,173.47,2750427.0
SE,2020-11-20,175.2,184.06,175.19,183.11,3846123.0
SE,2020-11-23,183.0,185.0,178.15,182.92,3122376.0
