Ticker,Date,open,high,low,close,volume
SI,2020-01-02,16.05,16.05,15.68,15.93,60825.0
SI,2020-01-03,15.75,15.96,15.73,15.93,23292.0
SI,2020-01-06,15.8,16.03,15.77,15.94,39605.0
SI,2020-01-07,15.8,16.3,15.8,16.29,82586.0
SI,2020-01-08,16.29,16.5,16.29,16.43,50068.0
SI,2020-01-09,16.4,16.47,15.92,16.08,64279.0
SI,2020-01-10,16.09,16.26,15.8,15.88,40629.0
SI,2020-01-13,15.82,15.83,15.27,15.37,73155.0
SI,2020-01-14,15.3,15.74,15.25,15.71,71899.0
SI,2020-01-15,15.68,15.98,15.63,15.75,52135.0
SI,2020-01-16,15.75,15.9,15.68,15.77,37826.0
SI,2020-01-17,15.81,15.82,15.53,15.58,31464.0
SI,2020-01-21,15.51,15.87,15.25,15.76,52858.0
SI,2020-01-22,15.83,15.83,15.51,15.65,21024.0
SI,2020-01-23,15.66,15.7,15.01,15.56,75471.0
SI,2020-01-24,15.45,15.56,15.0,15.36,69402.0
SI,2020-01-27,15.22,15.33,14.37,14.61,88089.0
SI,2020-01-28,14.5,15.01,14.45,14.86,28959.0
SI,2020-01-29,15.2,15.2,14.37,14.89,54426.0
SI,2020-01-30,14.74,14.94,14.16,14.89,58184.0
SI,2020-01-31,14.83,15.78,14.5,15.78,148869.0
SI,2020-02-03,15.66,15.8,14.81,14.93,192804.0
SI,2020-02-04,15.3,16.0,15.25,15.9,108992.0
SI,2020-02-05,16.04,16.15,15.86,15.99,80843.0
SI,2020-02-06,16.15,16.31,16.06,16.15,98077.0
SI,2020-02-07,16.19,16.35,16.17,16.25,59226.0
SI,2020-02-10,16.35,16.5,16.14,16.15,49623.0
SI,2020-02-11,16.2,16.24,16.01,16.19,60722.0
SI,2020-02-12,16.28,16.5,16.05,16.25,43245.0
SI,2020-02-13,16.35,16.35,16.26,16.31,42724.0
SI,2020-02-14,16.49,16.49,16.25,16.31,64871.0
SI,2020-02-18,16.52,16.63,16.35,16.39,93138.0
SI,2020-02-19,16.5,16.78,16.45,16.65,78541.0
SI,2020-02-20,16.75,16.75,16.45,16.52,67133.0
SI,2020-02-21,16.48,16.75,16.44,16.6,48991.0
SI,2020-02-24,16.57,16.6,16.0,16.4,83577.0
SI,2020-02-25,16.5,16.5,16.07,16.28,64358.0
SI,2020-02-26,16.14,16.3,16.02,16.25,44559.0
SI,2020-02-27,16.1,16.2,15.81,15.99,57722.0
SI,2020-02-28,15.66,15.71,14.66,14.74,100074.0
SI,2020-03-02,15.0,16.06,15.0,15.53,154391.0
SI,2020-03-03,15.8,15.8,15.14,15.24,134778.0
SI,2020-03-04,15.44,15.44,15.1,15.35,68057.0
SI,2020-03-05,15.37,15.37,14.8,15.07,58475.0
SI,2020-03-06,14.9,14.95,14.42,14.66,74845.0
SI,2020-03-09,13.35,13.43,12.0,12.74,164677.0
SI,2020-03-10,13.17,13.35,12.82,12.87,94890.0
SI,2020-03-11,12.5,12.5,11.0,11.14,68368.0
SI,2020-03-12,8.25,9.99,7.6,7.63,209379.0
SI,2020-03-13,8.2,10.0,8.2,9.92,195248.0
SI,2020-03-16,8.9,9.95,8.51,9.6,87215.0
SI,2020-03-17,9.87,10.21,9.6,9.97,62037.0
SI,2020-03-18,9.9,9.9,8.55,8.93,67073.0
SI,2020-03-19,8.85,9.28,8.81,9.13,59427.0
SI,2020-03-20,8.93,9.89,8.79,9.71,106031.0
SI,2020-03-23,9.08,9.3,8.51,8.74,71994.0
SI,2020-03-24,8.81,9.48,8.76,9.1,37029.0
SI,2020-03-25,9.0,9.9,8.96,9.64,37918.0
SI,2020-03-26,9.73,10.3,9.59,10.01,56348.0
SI,2020-03-27,9.94,9.94,8.84,8.86,29833.0
SI,2020-03-30,8.83,9.97,8.8,9.73,33521.0
SI,2020-03-31,9.84,10.0,9.0,9.54,39753.0
SI,2020-04-01,9.22,9.22,8.58,8.58,30247.0
SI,2020-04-02,8.56,9.01,8.51,8.57,18526.0
SI,2020-04-03,8.5,8.56,8.11,8.25,30858.0
SI,2020-04-06,8.5,9.0,8.47,9.0,40408.0
SI,2020-04-07,9.5,9.84,8.62,8.73,29777.0
SI,2020-04-08,8.61,9.34,8.61,9.34,36097.0
SI,2020-04-09,9.87,11.95,9.67,11.3,148164.0
SI,2020-04-13,11.3,11.3,10.1,10.4,50749.0
SI,2020-04-14,10.5,11.0,10.2,10.32,34336.0
SI,2020-04-15,10.25,10.25,9.5,9.59,34634.0
SI,2020-04-16,10.0,10.07,9.61,10.0,68374.0
SI,2020-04-17,11.0,14.44,11.0,13.72,552988.0
SI,2020-04-20,14.0,14.88,13.52,13.82,129952.0
SI,2020-04-21,13.9,13.91,12.6,13.02,112395.0
SI,2020-04-22,13.12,13.47,12.8,13.11,46819.0
SI,2020-04-23,13.48,13.9,13.0,13.29,43748.0
SI,2020-04-24,13.69,13.7,13.17,13.5,29496.0
SI,2020-04-27,13.91,14.35,13.78,14.03,62948.0
SI,2020-04-28,14.31,14.61,13.8,14.26,55359.0
SI,2020-04-29,14.81,16.4,14.5,15.76,104691.0
SI,2020-04-30,16.35,16.35,15.01,15.9,89184.0
SI,2020-05-01,15.85,15.85,15.05,15.23,55308.0
SI,2020-05-04,15.25,15.25,14.16,14.36,57598.0
SI,2020-05-05,14.79,15.49,14.2,14.57,94784.0
SI,2020-05-06,14.99,14.99,13.27,13.4,114891.0
SI,2020-05-07,13.5,14.04,13.25,13.38,187308.0
