Ticker,Date,open,high,low,close,volume
SNAP,2020-01-02,16.62,16.95,16.46,16.78,26096264.0
SNAP,2020-01-03,16.43,17.1,16.35,16.75,19783629.0
SNAP,2020-01-06,16.65,16.79,16.41,16.78,15980488.0
SNAP,2020-01-07,16.87,17.07,16.55,17.03,21450918.0
SNAP,2020-01-08,16.98,17.01,16.65,16.67,15611796.0
SNAP,2020-01-09,17.29,17.93,17.04,17.36,62798221.0
SNAP,2020-01-10,17.66,17.73,17.28,17.41,25643260.0
SNAP,2020-01-13,17.48,18.0,17.3,18.0,22446606.0
SNAP,2020-01-14,17.99,18.09,17.67,17.99,25409139.0
SNAP,2020-01-15,18.0,18.52,17.97,18.19,23381323.0
SNAP,2020-01-16,18.02,18.41,17.78,18.25,27082291.0
SNAP,2020-01-17,19.1,19.29,18.76,19.11,46317283.0
SNAP,2020-01-21,19.02,19.25,18.77,19.0,24782452.0
SNAP,2020-01-22,19.23,19.53,19.06,19.1,23406856.0
SNAP,2020-01-23,19.18,19.43,18.91,19.25,25071472.0
SNAP,2020-01-24,19.71,19.76,18.84,19.05,32866666.0
SNAP,2020-01-27,18.47,18.77,18.27,18.62,19065276.0
SNAP,2020-01-28,18.8,19.11,18.71,18.99,23612442.0
SNAP,2020-01-29,19.15,19.27,18.93,19.14,18193542.0
SNAP,2020-01-30,18.81,18.97,18.58,18.88,17175638.0
SNAP,2020-01-31,18.73,18.79,18.18,18.38,24963067.0
SNAP,2020-02-03,18.65,18.85,18.2,18.23,30530308.0
SNAP,2020-02-04,18.48,19.04,18.23,18.98,56952072.0
SNAP,2020-02-05,18.02,18.08,16.11,16.19,109380411.0
SNAP,2020-02-06,16.36,17.14,16.28,17.0,40145608.0
SNAP,2020-02-07,16.96,17.18,16.68,17.13,28828805.0
SNAP,2020-02-10,17.05,17.6,17.0,17.6,22060282.0
SNAP,2020-02-11,17.65,17.8,17.44,17.61,18698551.0
SNAP,2020-02-12,17.66,17.66,17.19,17.4,17627945.0
SNAP,2020-02-13,17.22,17.74,17.17,17.59,13770422.0
SNAP,2020-02-14,17.54,17.86,17.43,17.56,15255436.0
SNAP,2020-02-18,17.44,17.53,16.74,17.17,29742603.0
SNAP,2020-02-19,17.23,17.33,17.1,17.2,16805112.0
SNAP,2020-02-20,17.09,17.39,16.6,16.92,22831614.0
SNAP,2020-02-21,16.83,16.91,16.5,16.7,14460339.0
SNAP,2020-02-24,15.69,16.42,15.56,16.15,23185427.0
SNAP,2020-02-25,16.31,16.35,15.76,15.89,20380580.0
SNAP,2020-02-26,15.93,16.5,15.43,15.67,21304330.0
SNAP,2020-02-27,15.18,15.28,14.63,14.66,30827817.0
SNAP,2020-02-28,13.86,14.28,13.63,14.17,40967280.0
SNAP,2020-03-02,14.35,14.53,13.75,14.39,27697224.0
SNAP,2020-03-03,14.5,14.74,13.35,13.55,29756245.0
SNAP,2020-03-04,13.82,13.85,13.21,13.63,34396616.0
SNAP,2020-03-05,13.68,14.21,13.53,13.85,43604115.0
SNAP,2020-03-06,13.46,13.55,12.67,13.0,41636811.0
SNAP,2020-03-09,11.25,12.13,11.0,11.45,37469794.0
SNAP,2020-03-10,11.91,11.99,10.99,11.99,35774933.0
SNAP,2020-03-11,11.57,11.67,10.57,10.81,37349282.0
SNAP,2020-03-12,10.07,11.13,9.71,10.42,38258071.0
SNAP,2020-03-13,11.09,11.35,10.78,11.35,28720598.0
SNAP,2020-03-16,9.61,10.2,9.03,9.06,46692966.0
SNAP,2020-03-17,9.19,9.37,8.21,8.91,40532044.0
SNAP,2020-03-18,8.03,9.08,7.89,8.37,52321725.0
SNAP,2020-03-19,8.3,9.68,8.1,9.47,39237658.0
SNAP,2020-03-20,9.98,10.4,9.65,10.09,53853466.0
SNAP,2020-03-23,10.12,10.95,10.05,10.65,32488230.0
SNAP,2020-03-24,11.32,11.58,10.68,11.0,27699628.0
SNAP,2020-03-25,11.15,11.65,10.47,11.23,31723574.0
SNAP,2020-03-26,11.31,12.07,11.26,11.95,20008309.0
SNAP,2020-03-27,11.59,12.41,11.32,12.18,30817811.0
SNAP,2020-03-30,12.05,12.27,11.59,11.85,32480145.0
SNAP,2020-03-31,11.65,12.6,11.63,11.89,32326855.0
