Ticker,Date,open,high,low,close,volume
SSYS,2020-01-02,20.49,20.5,19.93,20.14,308148.0
SSYS,2020-01-03,19.8,20.03,19.72,19.76,310596.0
SSYS,2020-01-06,19.5,19.83,19.22,19.74,478268.0
SSYS,2020-01-07,19.7,20.15,19.51,20.06,423608.0
SSYS,2020-01-08,20.12,21.34,20.12,20.93,711389.0
SSYS,2020-01-09,20.9,21.13,20.39,20.51,416486.0
SSYS,2020-01-10,20.54,20.58,20.06,20.5,339388.0
SSYS,2020-01-13,20.73,21.34,20.42,21.22,731549.0
SSYS,2020-01-14,21.22,21.45,20.67,21.02,531489.0
SSYS,2020-01-15,21.12,21.79,20.95,21.07,579787.0
SSYS,2020-01-16,21.13,21.91,20.91,21.89,708115.0
SSYS,2020-01-17,21.95,22.21,21.57,21.77,602195.0
SSYS,2020-01-21,21.95,21.96,21.45,21.77,595608.0
SSYS,2020-01-22,21.78,22.04,21.65,21.67,396516.0
SSYS,2020-01-23,21.65,21.97,21.16,21.6,480707.0
SSYS,2020-01-24,21.62,21.81,20.02,20.09,891724.0
SSYS,2020-01-27,19.68,19.87,18.94,19.58,817654.0
SSYS,2020-01-28,19.69,20.03,19.32,19.4,725461.0
SSYS,2020-01-29,19.32,19.39,18.8,19.0,761883.0
SSYS,2020-01-30,18.68,18.98,18.43,18.88,571769.0
SSYS,2020-01-31,18.81,18.81,17.93,17.98,1044835.0
SSYS,2020-02-03,18.19,19.15,18.03,18.92,731749.0
SSYS,2020-02-04,19.31,19.81,19.21,19.27,563429.0
SSYS,2020-02-05,19.62,19.73,19.2,19.48,689201.0
SSYS,2020-02-06,19.64,19.64,18.93,18.98,539191.0
SSYS,2020-02-07,18.95,18.98,18.22,18.6,463719.0
SSYS,2020-02-10,18.29,18.81,18.29,18.74,453771.0
SSYS,2020-02-11,18.85,19.7,18.74,19.7,579432.0
SSYS,2020-02-12,19.96,21.0,19.96,20.55,702518.0
SSYS,2020-02-13,20.34,20.47,19.91,20.39,527970.0
SSYS,2020-02-14,20.34,20.34,19.68,19.77,451102.0
SSYS,2020-02-18,19.67,20.4,19.54,20.29,494788.0
SSYS,2020-02-19,20.4,20.58,19.97,20.18,500599.0
SSYS,2020-02-20,20.18,20.65,20.13,20.61,750308.0
SSYS,2020-02-21,20.54,20.55,19.8,20.21,557464.0
SSYS,2020-02-24,19.3,19.66,19.09,19.13,489613.0
SSYS,2020-02-25,19.25,19.59,18.22,18.26,840445.0
SSYS,2020-02-26,18.15,18.33,16.9,17.44,2021891.0
SSYS,2020-02-27,16.95,17.01,15.12,15.15,1746800.0
SSYS,2020-02-28,15.1,16.34,14.93,16.0,1174460.0
SSYS,2020-03-02,16.03,16.39,15.49,16.06,1084607.0
SSYS,2020-03-03,16.1,16.98,15.38,15.72,729731.0
SSYS,2020-03-04,16.06,16.23,15.34,16.21,567804.0
SSYS,2020-03-05,15.7,15.99,15.0,15.3,756229.0
SSYS,2020-03-06,14.9,15.6,14.65,14.99,685935.0
SSYS,2020-03-09,14.01,14.41,13.5,14.08,970094.0
SSYS,2020-03-10,14.72,15.04,14.0,14.59,865973.0
SSYS,2020-03-11,14.07,14.84,13.79,14.16,932977.0
SSYS,2020-03-12,12.37,14.25,12.18,13.02,1097122.0
SSYS,2020-03-13,13.8,14.55,12.96,14.5,1001575.0
SSYS,2020-03-16,12.9,14.24,12.25,13.94,1020753.0
SSYS,2020-03-17,14.14,16.99,13.72,15.94,1582909.0
SSYS,2020-03-18,14.79,15.43,13.9,15.3,912079.0
SSYS,2020-03-19,15.95,17.34,15.8,16.68,1286074.0
SSYS,2020-03-20,17.44,17.45,16.75,17.14,1666145.0
SSYS,2020-03-23,17.17,17.89,16.47,16.58,1245970.0
SSYS,2020-03-24,17.09,17.3,14.9,15.31,1044914.0
SSYS,2020-03-25,15.43,16.48,15.03,15.55,824224.0
SSYS,2020-03-26,15.74,16.69,15.64,16.59,592499.0
SSYS,2020-03-27,15.75,16.42,15.08,15.62,856329.0
SSYS,2020-03-30,16.03,16.43,15.28,15.7,616507.0
SSYS,2020-03-31,15.72,16.51,15.57,15.95,994260.0
SSYS,2020-04-01,15.46,15.74,13.9,14.06,1114925.0
SSYS,2020-04-02,13.98,14.37,13.61,14.16,959259.0
SSYS,2020-04-03,14.2,14.76,13.5,13.79,846105.0
SSYS,2020-04-06,14.46,16.1,14.31,16.0,845620.0
SSYS,2020-04-07,16.3,16.47,14.64,14.8,824351.0
SSYS,2020-04-08,15.1,15.65,14.76,15.58,603184.0
SSYS,2020-04-09,15.77,16.6,15.65,16.59,656670.0
SSYS,2020-04-13,16.59,16.6,15.72,16.08,567420.0
SSYS,2020-04-14,16.63,16.76,16.3,16.49,296517.0
SSYS,2020-04-15,15.87,16.01,15.43,15.63,444281.0
SSYS,2020-04-16,15.79,15.99,15.41,15.93,357138.0
SSYS,2020-04-17,16.34,16.87,16.04,16.73,420668.0
SSYS,2020-04-20,16.4,17.81,16.35,17.11,601052.0
SSYS,2020-04-21,16.76,16.99,16.03,16.11,506812.0
SSYS,2020-04-22,16.54,16.64,15.84,15.97,561778.0
SSYS,2020-04-23,15.91,16.6,15.83,16.1,900295.0
SSYS,2020-04-24,16.28,16.39,15.66,16.09,549101.0
SSYS,2020-04-27,16.43,18.06,16.3,17.67,883873.0
SSYS,2020-04-28,18.32,18.44,16.85,17.04,626732.0
SSYS,2020-04-29,17.8,19.45,17.27,19.4,962663.0
SSYS,2020-04-30,19.07,19.2,17.56,17.7,911042.0
SSYS,2020-05-01,17.23,17.29,16.35,16.48,672752.0
SSYS,2020-05-04,16.22,17.32,16.03,17.3,417723.0
SSYS,2020-05-05,17.44,17.72,16.52,16.66,488039.0
SSYS,2020-05-06,17.18,18.26,16.8,17.9,857117.0
SSYS,2020-05-07,18.08,18.33,16.85,16.88,621605.0
SSYS,2020-05-08,17.12,17.94,17.0,17.8,823412.0
SSYS,2020-05-11,17.56,17.87,17.08,17.18,1034362.0
SSYS,2020-05-12,17.25,17.28,16.53,16.55,694322.0
SSYS,2020-05-13,16.51,16.94,16.17,16.35,803600.0
SSYS,2020-05-14,15.09,15.89,14.53,15.15,1790435.0
SSYS,2020-05-15,15.3,16.3,15.2,16.18,1032613.0
SSYS,2020-05-18,16.88,17.85,16.71,17.65,1083445.0
SSYS,2020-05-19,17.48,17.59,16.52,17.05,794221.0
SSYS,2020-05-20,17.39,17.67,16.96,17.33,723245.0
SSYS,2020-05-21,18.06,18.6,17.63,18.19,1124776.0
SSYS,2020-05-22,18.2,18.31,17.63,17.93,580861.0
SSYS,2020-05-26,18.44,19.1,18.27,18.75,1200830.0
SSYS,2020-05-27,19.0,19.14,18.26,18.91,942522.0
SSYS,2020-05-28,18.84,19.11,18.08,18.15,624154.0
SSYS,2020-05-29,18.0,18.15,17.32,17.86,687743.0
SSYS,2020-06-01,17.81,18.66,17.71,17.99,994451.0
SSYS,2020-06-02,18.08,20.55,17.81,20.3,2468637.0
SSYS,2020-06-03,20.57,20.83,19.49,19.88,1303033.0
SSYS,2020-06-04,19.74,19.88,18.9,19.0,904788.0
SSYS,2020-06-05,19.47,19.66,19.02,19.11,1073344.0
SSYS,2020-06-08,19.18,19.32,18.34,18.39,1375871.0
SSYS,2020-06-09,18.1,19.31,18.03,18.75,1100820.0
SSYS,2020-06-10,18.89,19.17,17.83,18.0,929962.0
SSYS,2020-06-11,17.13,17.49,16.31,16.44,1254370.0
SSYS,2020-06-12,16.87,17.15,16.28,16.69,835991.0
SSYS,2020-06-15,16.41,17.5,16.0,17.24,925395.0
SSYS,2020-06-16,17.89,17.89,16.85,17.3,1049204.0
SSYS,2020-06-17,17.31,17.37,16.72,16.83,738508.0
SSYS,2020-06-18,16.64,17.02,16.3,16.71,768208.0
SSYS,2020-06-19,17.21,17.62,16.48,16.48,2175809.0
SSYS,2020-06-22,16.57,17.08,16.19,16.84,1232019.0
SSYS,2020-06-23,17.33,17.33,16.24,16.27,1346660.0
SSYS,2020-06-24,16.25,16.42,15.53,15.74,1322222.0
SSYS,2020-06-25,15.64,15.85,15.19,15.78,1391681.0
SSYS,2020-06-26,15.7,15.79,15.02,15.22,7088776.0
SSYS,2020-06-29,15.32,16.05,15.25,15.72,738582.0
SSYS,2020-06-30,15.72,16.18,15.67,15.86,735270.0
SSYS,2020-07-01,15.63,16.06,15.6,15.77,577302.0
SSYS,2020-07-02,16.03,16.3,15.63,15.66,879768.0
SSYS,2020-07-06,16.04,16.28,15.81,16.06,855518.0
SSYS,2020-07-07,15.81,16.0,15.23,15.24,809519.0
SSYS,2020-07-08,15.25,15.6,15.03,15.03,815862.0
SSYS,2020-07-09,15.12,15.4,14.82,14.9,846482.0
SSYS,2020-07-10,14.91,15.28,14.65,15.26,1013722.0
SSYS,2020-07-13,15.58,15.75,14.98,15.01,931681.0
SSYS,2020-07-14,15.0,15.14,14.67,14.9,609154.0
SSYS,2020-07-15,15.21,15.86,15.1,15.52,869632.0
