Ticker,Date,open,high,low,close,volume
SURF,2020-01-02,1.9,1.98,1.87,1.87,73554.0
SURF,2020-01-03,1.88,2.14,1.82,1.94,44515.0
SURF,2020-01-06,1.97,2.1,1.9,1.9,46412.0
SURF,2020-01-07,1.95,2.51,1.95,2.31,392194.0
SURF,2020-01-08,2.22,2.33,2.05,2.21,128351.0
SURF,2020-01-09,2.21,2.31,2.21,2.26,27229.0
SURF,2020-01-10,2.25,2.48,2.15,2.37,130346.0
SURF,2020-01-13,2.4,2.41,2.12,2.15,61894.0
SURF,2020-01-14,2.14,2.2,2.03,2.03,70356.0
SURF,2020-01-15,2.01,2.45,2.0,2.44,142866.0
SURF,2020-01-16,2.29,3.46,2.29,3.11,774032.0
SURF,2020-01-17,3.42,4.1,3.16,3.37,682117.0
SURF,2020-01-21,3.36,3.67,3.15,3.25,181798.0
SURF,2020-01-22,3.25,3.59,3.07,3.47,127714.0
SURF,2020-01-23,3.42,3.42,3.15,3.28,83350.0
SURF,2020-01-24,3.27,3.27,3.03,3.08,102474.0
SURF,2020-01-27,3.0,3.0,2.79,2.9,130416.0
SURF,2020-01-28,3.02,3.35,2.6,2.65,187722.0
SURF,2020-01-29,2.65,2.82,2.65,2.66,60552.0
SURF,2020-01-30,2.68,2.68,2.53,2.61,73188.0
SURF,2020-01-31,2.68,2.8,2.67,2.75,76906.0
SURF,2020-02-03,2.81,3.22,2.81,3.18,150108.0
SURF,2020-02-04,3.3,3.39,3.11,3.13,131516.0
SURF,2020-02-05,3.25,3.29,3.1,3.24,69145.0
SURF,2020-02-06,3.29,3.3,2.9,2.95,130025.0
SURF,2020-02-07,2.96,3.3,2.89,3.05,213260.0
SURF,2020-02-10,3.16,3.16,2.87,2.95,125137.0
SURF,2020-02-11,2.93,3.15,2.84,3.1,116128.0
SURF,2020-02-12,3.14,3.19,2.98,3.0,79269.0
SURF,2020-02-13,3.05,3.6,2.95,3.36,356312.0
SURF,2020-02-14,3.47,3.56,3.1,3.29,233797.0
SURF,2020-02-18,3.25,3.25,3.07,3.1,79406.0
SURF,2020-02-19,3.03,3.42,3.03,3.4,191937.0
SURF,2020-02-20,3.42,3.93,3.4,3.64,394028.0
SURF,2020-02-21,3.64,4.19,3.58,3.85,551581.0
SURF,2020-02-24,3.86,4.2,3.6,3.95,361111.0
SURF,2020-02-25,4.01,4.13,3.3,3.38,252801.0
SURF,2020-02-26,3.35,3.37,2.7,2.79,298770.0
SURF,2020-02-27,2.57,2.89,2.5,2.66,127642.0
SURF,2020-02-28,2.62,3.2,2.58,3.16,142081.0
SURF,2020-03-02,3.24,3.5,3.14,3.25,236414.0
SURF,2020-03-03,3.27,3.38,2.98,3.18,151809.0
SURF,2020-03-04,3.26,3.3,3.0,3.22,68226.0
SURF,2020-03-05,3.17,3.26,3.1,3.11,51577.0
SURF,2020-03-06,3.04,3.14,2.84,2.85,104435.0
SURF,2020-03-09,2.6,2.7,2.2,2.38,116802.0
SURF,2020-03-10,2.77,2.78,2.45,2.62,126221.0
SURF,2020-03-11,2.55,2.59,2.35,2.37,121855.0
SURF,2020-03-12,2.23,2.27,2.0,2.22,89285.0
SURF,2020-03-13,2.31,2.42,2.25,2.27,81924.0
SURF,2020-03-16,2.11,2.11,1.66,1.66,107342.0
SURF,2020-03-17,1.76,2.16,1.66,1.67,52858.0
SURF,2020-03-18,1.61,1.65,1.38,1.44,136514.0
SURF,2020-03-19,1.45,1.66,1.45,1.5,85122.0
SURF,2020-03-20,1.51,1.72,1.5,1.67,48963.0
SURF,2020-03-23,1.53,1.67,1.53,1.57,107234.0
SURF,2020-03-24,1.83,1.97,1.6,1.65,116724.0
SURF,2020-03-25,1.7,1.76,1.54,1.65,134315.0
SURF,2020-03-26,2.0,2.0,1.66,1.81,41188.0
SURF,2020-03-27,1.77,1.85,1.63,1.81,43237.0
SURF,2020-03-30,1.78,1.95,1.75,1.88,56092.0
SURF,2020-03-31,1.91,1.96,1.86,1.87,25528.0
SURF,2020-04-01,1.85,1.85,1.6,1.76,35908.0
SURF,2020-04-02,1.8,1.84,1.56,1.57,59224.0
SURF,2020-04-03,1.56,1.7,1.55,1.67,62537.0
SURF,2020-04-06,1.71,1.88,1.65,1.74,58358.0
SURF,2020-04-07,1.77,1.89,1.73,1.79,68640.0
SURF,2020-04-08,1.79,1.96,1.79,1.9,37951.0
SURF,2020-04-09,2.02,2.15,1.97,2.08,51846.0
SURF,2020-04-13,2.11,2.27,2.0,2.17,104115.0
SURF,2020-04-14,2.34,2.7,2.32,2.68,182587.0
SURF,2020-04-15,2.7,2.7,2.31,2.61,91704.0
SURF,2020-04-16,2.74,2.89,2.61,2.66,100520.0
SURF,2020-04-17,2.74,2.77,2.66,2.73,55699.0
SURF,2020-04-20,2.51,2.79,2.51,2.64,79965.0
SURF,2020-04-21,2.63,2.8,2.62,2.72,76051.0
SURF,2020-04-22,2.74,2.85,2.74,2.82,143592.0
SURF,2020-04-23,2.89,3.02,2.84,2.89,113442.0
SURF,2020-04-24,2.95,3.05,2.85,2.93,58962.0
SURF,2020-04-27,2.95,3.1,2.9,2.95,46935.0
SURF,2020-04-28,3.04,3.05,2.94,2.94,50192.0
SURF,2020-04-29,3.0,3.03,2.68,2.74,119475.0
SURF,2020-04-30,2.72,2.72,2.4,2.5,102801.0
SURF,2020-05-01,2.48,2.56,2.32,2.53,100694.0
SURF,2020-05-04,2.52,2.61,2.4,2.51,69813.0
SURF,2020-05-05,2.56,2.7,2.5,2.66,58062.0
SURF,2020-05-06,2.64,2.94,2.61,2.78,40135.0
SURF,2020-05-07,2.85,2.98,2.45,2.45,107449.0
SURF,2020-05-08,2.39,2.86,2.39,2.73,85458.0
SURF,2020-05-11,2.48,2.9,2.48,2.81,74432.0
SURF,2020-05-12,3.05,3.2,2.61,2.63,170191.0
SURF,2020-05-13,2.8,2.8,2.4,2.57,76380.0
SURF,2020-05-14,2.52,2.71,2.45,2.61,57088.0
SURF,2020-05-15,2.61,2.74,2.6,2.69,50068.0
SURF,2020-05-18,2.75,2.98,2.66,2.67,169886.0
SURF,2020-05-19,2.67,2.84,2.58,2.66,10962332.0
SURF,2020-05-20,3.65,4.4,3.12,3.88,11193147.0
SURF,2020-05-21,3.69,7.66,3.68,5.95,79011987.0
SURF,2020-05-22,5.5,6.19,5.11,5.22,7811489.0
SURF,2020-05-26,5.02,5.15,4.72,4.81,1790699.0
SURF,2020-05-27,4.75,5.04,4.62,4.69,989926.0
SURF,2020-05-28,4.76,5.26,4.62,4.89,1326841.0
SURF,2020-05-29,4.99,5.15,4.71,5.11,1299118.0
SURF,2020-06-01,5.25,5.52,4.95,5.04,782763.0
SURF,2020-06-02,5.0,5.21,4.46,4.95,1022638.0
SURF,2020-06-03,4.94,5.0,4.63,4.68,368712.0
SURF,2020-06-04,4.71,4.84,4.55,4.62,842383.0
SURF,2020-06-05,4.61,4.79,4.54,4.7,505667.0
SURF,2020-06-08,4.74,4.89,4.59,4.73,583558.0
SURF,2020-06-09,4.75,4.75,4.5,4.62,511225.0
SURF,2020-06-10,4.65,4.75,4.29,4.35,419387.0
