Ticker,Date,open,high,low,close,volume
SYRS,2020-01-02,6.92,7.15,6.67,7.13,274511.0
SYRS,2020-01-03,7.0,7.07,6.83,6.98,244481.0
SYRS,2020-01-06,6.88,7.0,6.76,6.94,239622.0
SYRS,2020-01-07,6.91,7.44,6.88,7.38,282940.0
SYRS,2020-01-08,7.38,7.38,7.1,7.31,272618.0
SYRS,2020-01-09,7.36,7.93,7.32,7.86,399422.0
SYRS,2020-01-10,7.95,8.06,7.75,7.87,273638.0
SYRS,2020-01-13,7.96,8.42,7.8,8.41,420062.0
SYRS,2020-01-14,8.36,9.07,8.21,8.99,536433.0
SYRS,2020-01-15,8.99,9.41,8.77,9.19,531394.0
SYRS,2020-01-16,9.29,9.4,8.72,9.2,338276.0
SYRS,2020-01-17,8.75,8.78,7.83,8.51,630502.0
SYRS,2020-01-21,8.45,8.54,7.65,7.82,360061.0
SYRS,2020-01-22,7.79,8.26,7.73,8.21,177283.0
SYRS,2020-01-23,8.2,8.44,7.93,7.97,244289.0
SYRS,2020-01-24,8.0,8.0,7.2,7.24,266125.0
SYRS,2020-01-27,7.09,7.59,7.0,7.26,140243.0
SYRS,2020-01-28,7.32,7.71,7.13,7.26,143339.0
SYRS,2020-01-29,7.31,7.55,7.17,7.23,145492.0
SYRS,2020-01-30,7.17,7.27,6.96,7.02,122738.0
SYRS,2020-01-31,6.99,7.1,6.69,7.06,248178.0
SYRS,2020-02-03,7.14,7.21,6.67,6.76,208173.0
SYRS,2020-02-04,6.82,7.17,6.76,7.1,146985.0
SYRS,2020-02-05,7.14,7.79,7.14,7.71,261335.0
SYRS,2020-02-06,7.75,7.86,7.21,7.34,151408.0
SYRS,2020-02-07,7.28,7.35,7.09,7.11,98156.0
SYRS,2020-02-10,7.11,7.56,7.08,7.55,88326.0
SYRS,2020-02-11,7.62,7.84,7.44,7.76,126106.0
SYRS,2020-02-12,7.77,7.77,7.35,7.56,155269.0
SYRS,2020-02-13,7.52,7.59,7.25,7.54,106853.0
SYRS,2020-02-14,7.58,8.05,7.5,7.87,111262.0
SYRS,2020-02-18,7.85,7.85,7.22,7.68,176647.0
SYRS,2020-02-19,7.7,7.71,7.11,7.17,225018.0
SYRS,2020-02-20,7.11,7.47,7.02,7.33,108175.0
SYRS,2020-02-21,7.31,7.39,7.03,7.35,164606.0
SYRS,2020-02-24,7.06,7.36,6.69,6.69,166842.0
SYRS,2020-02-25,6.71,6.75,6.25,6.28,147405.0
SYRS,2020-02-26,6.35,6.78,6.26,6.44,81276.0
SYRS,2020-02-27,6.28,6.67,5.77,6.65,169986.0
SYRS,2020-02-28,6.38,6.57,5.8,5.85,195584.0
SYRS,2020-03-02,5.87,6.03,5.69,6.01,155019.0
SYRS,2020-03-03,5.96,6.21,5.76,5.8,110942.0
SYRS,2020-03-04,5.92,6.26,5.71,6.25,128757.0
SYRS,2020-03-05,6.14,6.29,5.87,6.02,139994.0
SYRS,2020-03-06,5.77,6.63,5.6,6.61,2362230.0
SYRS,2020-03-09,6.15,6.46,5.82,5.85,148320.0
SYRS,2020-03-10,6.07,6.12,5.08,5.29,165062.0
SYRS,2020-03-11,5.25,5.36,5.01,5.15,144388.0
SYRS,2020-03-12,4.76,5.01,4.48,4.54,190988.0
SYRS,2020-03-13,4.85,5.07,4.36,5.05,330490.0
SYRS,2020-03-16,4.46,4.77,4.31,4.46,183182.0
SYRS,2020-03-17,4.57,5.4,4.26,5.4,280357.0
SYRS,2020-03-18,5.1,5.99,4.85,5.64,246794.0
SYRS,2020-03-19,5.7,6.12,5.44,5.65,219712.0
SYRS,2020-03-20,5.7,5.83,5.27,5.59,275586.0
SYRS,2020-03-23,5.69,5.84,5.28,5.74,126653.0
