Ticker,Date,open,high,low,close,volume
TARO,2020-01-02,88.32,89.6,87.56,88.51,47198.0
TARO,2020-01-03,87.56,89.67,86.23,88.73,46880.0
TARO,2020-01-06,88.18,88.96,87.55,87.77,41042.0
TARO,2020-01-07,87.75,87.75,86.52,86.64,46987.0
TARO,2020-01-08,86.46,87.2,85.79,85.89,60421.0
TARO,2020-01-09,85.71,86.83,85.43,85.82,43731.0
TARO,2020-01-10,85.48,86.84,85.38,85.9,49456.0
TARO,2020-01-13,85.86,86.49,85.2,85.55,45856.0
TARO,2020-01-14,85.21,86.66,85.14,86.27,61064.0
TARO,2020-01-15,85.9,86.58,85.3,86.38,94850.0
TARO,2020-01-16,86.86,86.86,85.37,86.08,49238.0
TARO,2020-01-17,86.11,86.11,84.85,85.55,32756.0
TARO,2020-01-21,85.06,85.98,84.46,85.92,29882.0
TARO,2020-01-22,86.12,86.13,85.2,85.41,22035.0
TARO,2020-01-23,85.01,85.11,84.37,84.66,23156.0
TARO,2020-01-24,84.71,84.71,83.47,83.59,34212.0
TARO,2020-01-27,82.88,83.48,82.29,82.65,15647.0
TARO,2020-01-28,82.94,83.19,81.98,82.6,34613.0
TARO,2020-01-29,82.96,83.0,82.19,82.33,51414.0
TARO,2020-01-30,81.95,81.95,80.53,81.23,33593.0
TARO,2020-01-31,80.71,80.82,80.38,80.67,43278.0
TARO,2020-02-03,80.47,81.0,79.11,79.22,42121.0
TARO,2020-02-04,78.49,80.49,74.76,77.45,95253.0
TARO,2020-02-05,77.38,78.91,77.02,78.32,52078.0
TARO,2020-02-06,78.8,79.62,77.0,77.15,48022.0
TARO,2020-02-07,77.0,77.33,75.78,76.01,36099.0
TARO,2020-02-10,76.19,76.19,74.95,74.95,27246.0
TARO,2020-02-11,75.08,75.87,74.06,74.11,33668.0
TARO,2020-02-12,74.39,75.46,73.38,73.54,26170.0
TARO,2020-02-13,73.38,73.8,72.33,72.66,28392.0
TARO,2020-02-14,72.37,73.16,72.2,72.92,32089.0
TARO,2020-02-18,73.14,73.87,72.6,73.14,115171.0
TARO,2020-02-19,73.16,73.65,72.28,72.5,47772.0
TARO,2020-02-20,72.62,73.65,72.05,72.95,38035.0
TARO,2020-02-21,72.41,73.47,72.09,73.24,25944.0
TARO,2020-02-24,72.0,74.0,71.76,73.75,59203.0
TARO,2020-02-25,74.0,74.0,73.03,73.6,59254.0
TARO,2020-02-26,73.96,74.61,72.63,73.08,63462.0
TARO,2020-02-27,72.64,72.66,69.74,69.91,71075.0
TARO,2020-02-28,67.07,69.3,67.07,67.33,62876.0
TARO,2020-03-02,67.56,69.98,66.81,69.98,53759.0
TARO,2020-03-03,70.43,70.6,67.41,67.69,104560.0
TARO,2020-03-04,68.38,69.17,67.64,68.66,34014.0
TARO,2020-03-05,67.51,68.43,66.84,68.35,39923.0
TARO,2020-03-06,67.13,67.38,65.72,66.6,43975.0
TARO,2020-03-09,63.85,65.0,63.1,63.9,45039.0
TARO,2020-03-10,64.98,66.7,64.57,66.03,87630.0
TARO,2020-03-11,65.32,65.63,64.05,64.44,94439.0
TARO,2020-03-12,62.51,63.87,58.0,62.16,76508.0
TARO,2020-03-13,64.14,66.31,62.75,65.44,99147.0
TARO,2020-03-16,60.7,63.59,57.47,62.41,60265.0
TARO,2020-03-17,62.63,67.49,61.47,67.44,94842.0
TARO,2020-03-18,64.91,68.29,61.2,61.77,99883.0
TARO,2020-03-19,60.8,61.8,59.5,60.67,88111.0
TARO,2020-03-20,60.72,60.72,56.67,60.0,64275.0
TARO,2020-03-23,59.08,60.68,58.22,60.23,85820.0
TARO,2020-03-24,62.5,62.5,59.16,59.45,46188.0
TARO,2020-03-25,59.41,60.38,56.07,59.72,59146.0
TARO,2020-03-26,59.45,62.5,58.3,62.09,69653.0
TARO,2020-03-27,60.77,61.36,59.04,59.35,22961.0
TARO,2020-03-30,59.17,62.5,59.17,62.49,45129.0
TARO,2020-03-31,62.5,62.64,60.39,61.2,53682.0
TARO,2020-04-01,60.0,62.48,59.99,61.66,49309.0
TARO,2020-04-02,61.43,62.5,61.11,62.4,52480.0
TARO,2020-04-03,62.5,63.6,61.93,63.2,29996.0
TARO,2020-04-06,64.72,65.13,62.75,63.79,41424.0
TARO,2020-04-07,65.14,65.14,61.85,61.85,36666.0
TARO,2020-04-08,62.19,64.21,61.95,64.06,33248.0
TARO,2020-04-09,64.57,66.69,64.57,66.27,51491.0
TARO,2020-04-13,66.15,67.54,65.85,67.39,37909.0
TARO,2020-04-14,68.34,68.34,66.12,67.82,37704.0
TARO,2020-04-15,66.39,68.25,66.13,67.56,19446.0
TARO,2020-04-16,67.99,68.39,66.27,67.31,25638.0
TARO,2020-04-17,68.46,69.18,68.01,68.92,23076.0
TARO,2020-04-20,67.62,68.91,67.27,68.11,26127.0
TARO,2020-04-21,67.25,67.54,66.02,66.99,40495.0
TARO,2020-04-22,68.43,68.47,66.36,66.54,27968.0
TARO,2020-04-23,67.65,68.39,66.31,67.64,21838.0
TARO,2020-04-24,68.2,68.27,67.16,67.43,21449.0
TARO,2020-04-27,68.09,68.87,68.0,68.23,28993.0
TARO,2020-04-28,68.24,70.71,68.23,69.6,22200.0
TARO,2020-04-29,70.8,70.85,69.49,70.16,18674.0
TARO,2020-04-30,70.24,70.54,68.61,69.11,17372.0
TARO,2020-05-01,68.7,69.32,67.05,67.33,31635.0
TARO,2020-05-04,67.33,68.0,66.6,66.96,18534.0
TARO,2020-05-05,67.78,70.31,67.18,69.27,46538.0
TARO,2020-05-06,69.51,69.9,67.39,67.54,24373.0
TARO,2020-05-07,68.42,69.01,67.09,67.37,40344.0
TARO,2020-05-08,68.31,68.8,67.8,68.23,27282.0
TARO,2020-05-11,68.09,69.13,67.53,68.63,39963.0
TARO,2020-05-12,68.67,69.42,66.37,66.53,15228.0
TARO,2020-05-13,66.8,67.14,64.59,65.67,24311.0
TARO,2020-05-14,65.88,66.41,62.56,64.72,46649.0
TARO,2020-05-15,64.67,65.71,62.71,65.47,55858.0
TARO,2020-05-18,66.99,68.3,66.55,67.63,21301.0
TARO,2020-05-19,67.19,68.2,66.51,67.51,39031.0
TARO,2020-05-20,66.71,67.32,65.65,67.18,40262.0
TARO,2020-05-21,66.77,70.55,66.54,70.05,51419.0
TARO,2020-05-22,69.59,69.82,68.51,69.08,29688.0
TARO,2020-05-26,70.05,70.53,69.12,69.52,27548.0
TARO,2020-05-27,70.18,70.18,67.87,68.31,25999.0
TARO,2020-05-28,68.99,69.98,68.76,69.07,24320.0
TARO,2020-05-29,69.07,69.07,67.34,68.14,10933.0
TARO,2020-06-01,68.05,68.92,67.62,68.4,22423.0
TARO,2020-06-02,68.98,69.32,68.06,68.73,48056.0
TARO,2020-06-03,69.25,69.59,67.76,68.28,47780.0
TARO,2020-06-04,67.91,68.97,67.91,68.03,35018.0
TARO,2020-06-05,68.95,68.95,67.59,68.03,42544.0
TARO,2020-06-08,68.59,68.93,67.86,67.91,52456.0
TARO,2020-06-09,68.0,68.52,67.53,68.09,28812.0
TARO,2020-06-10,68.0,68.01,66.39,66.49,57802.0
TARO,2020-06-11,65.36,66.87,65.19,66.41,39247.0
TARO,2020-06-12,66.91,66.97,64.21,64.21,45278.0
TARO,2020-06-15,62.97,65.91,62.74,65.15,54783.0
TARO,2020-06-16,65.87,68.24,65.17,66.85,50180.0
TARO,2020-06-17,67.41,69.05,66.39,68.19,43538.0
TARO,2020-06-18,67.62,67.62,65.0,65.98,26014.0
TARO,2020-06-19,66.61,67.12,65.57,66.29,25477.0
TARO,2020-06-22,65.91,67.73,65.27,67.53,17592.0
TARO,2020-06-23,67.8,68.01,66.89,66.97,31347.0
TARO,2020-06-24,67.1,67.1,65.7,66.24,26101.0
TARO,2020-06-25,65.98,66.46,65.29,66.26,50230.0
TARO,2020-06-26,66.35,68.6,66.1,67.21,30744.0
TARO,2020-06-29,67.09,68.11,66.13,66.64,21434.0
TARO,2020-06-30,66.62,66.74,65.74,66.49,13810.0
TARO,2020-07-01,66.95,68.99,66.93,67.49,35585.0
TARO,2020-07-02,67.83,68.12,67.36,67.45,21429.0
TARO,2020-07-06,67.97,68.55,67.31,68.2,18126.0
TARO,2020-07-07,67.73,68.52,66.56,66.95,18197.0
TARO,2020-07-08,66.75,67.83,65.64,65.81,21452.0
TARO,2020-07-09,66.13,66.19,64.65,65.16,13860.0
TARO,2020-07-10,64.84,65.8,64.84,65.13,19335.0
TARO,2020-07-13,65.58,66.72,64.49,65.79,17144.0
TARO,2020-07-14,65.37,66.29,64.98,65.47,14730.0
TARO,2020-07-15,66.0,67.98,65.84,67.24,24303.0
TARO,2020-07-16,67.13,67.37,66.36,66.84,17049.0
TARO,2020-07-17,67.0,67.7,66.61,66.92,37536.0
TARO,2020-07-20,67.03,67.28,66.08,66.09,17939.0
TARO,2020-07-21,66.8,67.01,65.85,66.16,11616.0
TARO,2020-07-22,66.49,66.99,65.19,65.21,17308.0
TARO,2020-07-23,65.59,65.59,64.71,65.21,27934.0
TARO,2020-07-24,64.57,65.54,63.3,64.81,37207.0
TARO,2020-07-27,65.07,65.62,65.0,65.15,35574.0
TARO,2020-07-28,65.0,68.14,65.0,67.3,38484.0
TARO,2020-07-29,67.81,68.35,66.33,67.99,48027.0
TARO,2020-07-30,63.82,64.5,60.09,64.1,92770.0
TARO,2020-07-31,63.91,65.52,63.31,65.01,44630.0
TARO,2020-08-03,65.17,66.96,64.87,65.45,25019.0
TARO,2020-08-04,65.5,66.02,64.03,64.21,27769.0
TARO,2020-08-05,64.68,64.68,62.42,62.72,40250.0
TARO,2020-08-06,63.13,63.95,63.01,63.25,17426.0
TARO,2020-08-07,63.07,63.67,61.64,62.84,31064.0
TARO,2020-08-10,62.7,64.06,62.4,63.62,20675.0
TARO,2020-08-11,64.02,64.62,63.54,63.84,14516.0
TARO,2020-08-12,64.38,64.98,63.65,64.14,17331.0
TARO,2020-08-13,63.62,64.22,62.65,63.11,12928.0
TARO,2020-08-14,62.77,64.1,62.62,63.46,12931.0
TARO,2020-08-17,63.7,63.96,62.42,62.44,33897.0
TARO,2020-08-18,62.27,63.81,62.27,62.86,20170.0
TARO,2020-08-19,62.55,62.97,62.18,62.26,24128.0
TARO,2020-08-20,62.49,63.31,61.0,62.66,32066.0
TARO,2020-08-21,61.87,61.87,61.01,61.17,11403.0
TARO,2020-08-24,61.69,61.69,60.01,60.3,17011.0
TARO,2020-08-25,60.63,61.17,60.05,60.05,20607.0
TARO,2020-08-26,60.58,61.13,60.07,60.7,17259.0
TARO,2020-08-27,60.32,60.6,60.04,60.31,15311.0
TARO,2020-08-28,61.66,61.74,60.23,61.57,37468.0
TARO,2020-08-31,61.82,61.82,60.83,61.21,26651.0
TARO,2020-09-01,61.08,61.15,59.85,60.13,69192.0
TARO,2020-09-02,60.0,60.69,58.67,59.0,22605.0
TARO,2020-09-03,58.49,60.05,58.48,60.05,27808.0
TARO,2020-09-04,60.32,60.6,59.39,60.06,15519.0
TARO,2020-09-08,59.51,60.15,59.08,59.4,20543.0
TARO,2020-09-09,59.96,60.93,59.81,60.49,22081.0
TARO,2020-09-10,60.26,60.26,58.88,59.33,32850.0
TARO,2020-09-11,58.76,59.12,57.2,57.42,22272.0
TARO,2020-09-14,57.63,60.81,57.23,60.81,47721.0
TARO,2020-09-15,60.89,61.45,59.91,60.27,24532.0
TARO,2020-09-16,59.9,60.41,59.47,59.62,23946.0
TARO,2020-09-17,59.32,60.12,59.32,60.04,10654.0
TARO,2020-09-18,60.05,60.13,57.71,58.0,21265.0
TARO,2020-09-21,57.67,58.03,54.82,55.58,36372.0
TARO,2020-09-22,55.25,56.2,55.25,55.96,9655.0
TARO,2020-09-23,55.76,56.43,55.18,55.5,20993.0
TARO,2020-09-24,55.64,55.64,54.1,55.21,15464.0
TARO,2020-09-25,54.96,54.99,54.0,54.8,20111.0
TARO,2020-09-28,55.0,55.0,54.22,54.41,11031.0
TARO,2020-09-29,54.17,54.93,53.95,54.53,15766.0
TARO,2020-09-30,54.78,54.98,54.38,54.85,19294.0
TARO,2020-10-01,54.64,54.98,54.4,54.86,33838.0
TARO,2020-10-02,54.55,54.85,54.14,54.4,12413.0
TARO,2020-10-05,54.83,55.0,54.64,55.0,31961.0
TARO,2020-10-06,54.95,55.0,54.43,54.89,18184.0
TARO,2020-10-07,54.98,56.74,54.76,55.68,131063.0
TARO,2020-10-08,55.89,58.92,55.89,58.33,24845.0
TARO,2020-10-09,58.33,58.78,57.67,58.0,7719.0
TARO,2020-10-12,58.4,61.0,58.24,60.99,16761.0
TARO,2020-10-13,60.0,60.0,58.2,58.98,31566.0
TARO,2020-10-14,59.85,60.0,58.4,60.0,25176.0
TARO,2020-10-15,59.33,59.78,58.04,59.49,17145.0
TARO,2020-10-16,59.3,60.0,58.64,59.42,19369.0
TARO,2020-10-19,59.82,59.96,58.73,59.21,13191.0
TARO,2020-10-20,59.73,60.0,59.41,59.49,12363.0
TARO,2020-10-21,59.0,59.3,58.47,58.47,28440.0
TARO,2020-10-22,59.14,60.0,58.82,59.71,9008.0
TARO,2020-10-23,60.0,60.0,59.69,60.0,21311.0
TARO,2020-10-26,59.79,60.07,58.72,60.0,41904.0
TARO,2020-10-27,60.0,63.48,59.4,61.73,82309.0
TARO,2020-10-28,61.15,61.19,57.78,57.78,21643.0
TARO,2020-10-29,59.32,60.9,58.26,58.85,14474.0
TARO,2020-10-30,59.43,59.64,57.76,58.63,18775.0
TARO,2020-11-02,58.87,59.0,57.61,59.0,24325.0
TARO,2020-11-03,59.0,60.83,58.51,59.44,8262.0
TARO,2020-11-04,60.14,60.84,57.9,58.25,10898.0
TARO,2020-11-05,58.61,58.92,57.34,57.34,8137.0
TARO,2020-11-06,57.64,58.73,56.62,57.46,11829.0
TARO,2020-11-09,58.43,60.0,56.53,59.06,18978.0
TARO,2020-11-10,59.28,61.0,59.0,60.56,8601.0
TARO,2020-11-11,60.16,62.62,59.95,61.55,21395.0
TARO,2020-11-12,61.85,62.9,61.03,61.39,19651.0
TARO,2020-11-13,61.7,65.6,61.7,64.76,17521.0
TARO,2020-11-16,65.4,65.4,63.49,64.3,21139.0
TARO,2020-11-17,64.54,64.99,63.61,63.61,19843.0
TARO,2020-11-18,64.14,66.79,62.5,64.74,29114.0
TARO,2020-11-19,64.97,65.0,62.05,63.83,59169.0
TARO,2020-11-20,63.53,66.29,63.09,65.7,19713.0
TARO,2020-11-23,66.14,67.7,64.33,66.83,30029.0
