Ticker,Date,open,high,low,close,volume
TDOC,2020-01-02,84.0,84.5,81.95,83.26,1417448.0
TDOC,2020-01-03,81.61,83.52,81.3,82.96,551760.0
TDOC,2020-01-06,82.37,86.96,82.28,86.94,1038347.0
TDOC,2020-01-07,86.97,87.2,85.41,85.73,974014.0
TDOC,2020-01-08,86.23,87.42,86.0,86.22,951964.0
TDOC,2020-01-09,86.0,86.44,85.18,85.37,983581.0
TDOC,2020-01-10,85.92,86.19,84.78,85.16,1118951.0
TDOC,2020-01-13,89.04,98.98,88.63,95.97,4250025.0
TDOC,2020-01-14,95.72,98.95,94.34,96.87,1878413.0
TDOC,2020-01-15,96.74,96.86,93.15,94.0,1565550.0
TDOC,2020-01-16,94.05,97.34,94.04,96.91,1053414.0
TDOC,2020-01-17,97.55,97.87,95.2,95.6,1229754.0
TDOC,2020-01-21,96.89,101.28,96.52,98.25,1809424.0
TDOC,2020-01-22,99.95,102.8,99.66,101.42,1705392.0
TDOC,2020-01-23,101.22,103.24,100.6,102.8,1389349.0
TDOC,2020-01-24,103.22,103.53,97.25,98.1,1330730.0
TDOC,2020-01-27,95.28,97.31,93.56,95.97,1448078.0
TDOC,2020-01-28,96.6,99.98,96.51,99.42,887513.0
TDOC,2020-01-29,100.56,104.17,99.23,103.48,1434268.0
TDOC,2020-01-30,101.84,105.17,101.19,104.75,1508924.0
TDOC,2020-01-31,103.8,104.61,99.46,101.71,1002033.0
TDOC,2020-02-03,102.69,103.3,101.39,101.99,891862.0
TDOC,2020-02-04,103.92,107.45,103.42,107.15,1588693.0
TDOC,2020-02-05,108.94,109.73,106.02,107.06,1377795.0
TDOC,2020-02-06,107.39,110.76,106.96,108.74,1066623.0
TDOC,2020-02-07,107.92,108.07,105.51,105.84,1060591.0
TDOC,2020-02-10,106.0,109.93,105.85,109.7,1030788.0
TDOC,2020-02-11,110.5,112.09,109.85,110.43,1050271.0
TDOC,2020-02-12,108.19,111.27,106.0,110.0,1339219.0
TDOC,2020-02-13,109.62,113.08,108.94,112.02,1091703.0
TDOC,2020-02-14,112.6,113.16,110.35,111.77,1090778.0
TDOC,2020-02-18,111.0,117.87,110.8,117.24,1865837.0
TDOC,2020-02-19,118.64,119.26,116.64,117.36,2199093.0
TDOC,2020-02-20,117.0,117.15,111.75,115.9,1894267.0
TDOC,2020-02-21,115.45,115.6,110.75,113.54,1582041.0
TDOC,2020-02-24,107.5,115.71,106.05,114.26,1913493.0
TDOC,2020-02-25,114.94,125.91,110.5,118.4,3651588.0
TDOC,2020-02-26,120.0,120.26,113.01,116.86,3483123.0
TDOC,2020-02-27,138.9,148.0,129.04,135.15,8996479.0
TDOC,2020-02-28,139.7,145.0,120.15,124.96,6032185.0
TDOC,2020-03-02,126.94,128.47,121.06,124.49,2969866.0
TDOC,2020-03-03,124.5,124.63,119.37,123.58,2242281.0
TDOC,2020-03-04,125.17,126.0,122.59,124.64,2355857.0
TDOC,2020-03-05,123.4,138.07,122.76,134.33,4000262.0
TDOC,2020-03-06,139.03,140.63,132.36,135.9,4198481.0
TDOC,2020-03-09,125.81,136.09,120.0,133.54,2441470.0
TDOC,2020-03-10,137.51,150.97,127.56,146.07,5538795.0
TDOC,2020-03-11,152.06,153.75,130.1,137.4,6157729.0
TDOC,2020-03-12,126.75,131.71,117.6,118.8,3990081.0
TDOC,2020-03-13,125.56,140.0,106.42,127.95,5298428.0
TDOC,2020-03-16,122.61,132.74,115.41,116.74,4466196.0
TDOC,2020-03-17,119.96,132.78,102.01,118.24,5500502.0
TDOC,2020-03-18,115.01,137.88,115.0,136.93,5088662.0
TDOC,2020-03-19,140.15,148.49,132.07,139.63,4803124.0
TDOC,2020-03-20,140.48,158.2,137.28,141.74,4097586.0
TDOC,2020-03-23,146.48,168.0,143.79,167.44,5492953.0
TDOC,2020-03-24,173.75,176.4,148.48,162.02,8011916.0
TDOC,2020-03-25,159.31,160.8,134.13,142.11,13377100.0
TDOC,2020-03-26,148.01,160.0,143.0,159.5,5861312.0
TDOC,2020-03-27,157.91,170.98,156.0,164.16,3862308.0
TDOC,2020-03-30,170.79,171.0,159.52,163.56,3627163.0
TDOC,2020-03-31,159.86,161.98,150.05,155.01,3189054.0
TDOC,2020-04-01,153.5,166.85,151.1,162.53,3191102.0
TDOC,2020-04-02,161.55,166.75,154.47,159.32,2339966.0
TDOC,2020-04-03,156.51,162.48,155.01,156.21,1467356.0
TDOC,2020-04-06,150.0,151.8,143.07,150.13,2679400.0
TDOC,2020-04-07,143.88,147.11,138.2,141.25,3680100.0
TDOC,2020-04-08,141.64,143.5,135.52,139.1,2822828.0
TDOC,2020-04-09,138.27,148.25,136.41,146.66,2540347.0
TDOC,2020-04-13,150.05,156.11,149.16,154.13,2279778.0
TDOC,2020-04-14,156.69,160.99,151.56,157.33,2401550.0
TDOC,2020-04-15,160.89,172.42,156.06,171.77,5345007.0
TDOC,2020-04-16,166.5,174.43,165.0,174.25,3547389.0
TDOC,2020-04-17,167.0,174.07,165.38,173.27,3244789.0
TDOC,2020-04-20,171.69,183.5,170.56,181.46,2848569.0
TDOC,2020-04-21,184.76,189.47,165.6,172.39,3276277.0
TDOC,2020-04-22,174.26,183.11,174.0,179.65,2118644.0
TDOC,2020-04-23,181.0,189.97,179.65,187.73,2442278.0
TDOC,2020-04-24,190.12,196.51,187.75,193.53,2847408.0
TDOC,2020-04-27,196.03,203.85,193.65,194.89,3635386.0
TDOC,2020-04-28,195.61,195.81,172.68,181.15,5505119.0
TDOC,2020-04-29,175.0,181.75,173.0,175.1,3923667.0
TDOC,2020-04-30,166.65,169.79,155.25,164.59,5573563.0
TDOC,2020-05-01,162.1,170.29,160.39,169.43,2632573.0
TDOC,2020-05-04,170.71,175.18,167.07,174.3,2723954.0
TDOC,2020-05-05,176.0,177.52,167.3,169.59,2444641.0
TDOC,2020-05-06,171.18,180.13,169.62,176.01,1916766.0
TDOC,2020-05-07,177.67,180.81,173.7,174.93,1631401.0
TDOC,2020-05-08,175.0,178.45,168.48,176.5,2212675.0
TDOC,2020-05-11,178.6,193.99,177.56,190.62,3259865.0
TDOC,2020-05-12,191.88,194.36,183.7,184.15,2013096.0
TDOC,2020-05-13,189.58,196.19,179.06,188.19,3377559.0
TDOC,2020-05-14,185.01,185.95,172.36,179.54,5225660.0
TDOC,2020-05-15,176.9,184.68,175.45,184.23,4277781.0
TDOC,2020-05-18,180.5,185.55,170.18,172.2,4103086.0
TDOC,2020-05-19,175.8,180.35,172.54,175.66,2534452.0
TDOC,2020-05-20,177.96,179.94,168.83,171.27,2799098.0
TDOC,2020-05-21,172.3,178.06,169.02,174.99,2328468.0
TDOC,2020-05-22,176.34,176.34,171.22,174.18,1460248.0
