Ticker,Date,open,high,low,close,volume
TEVA,2020-01-02,9.87,9.93,9.46,9.56,18670211.0
TEVA,2020-01-03,9.4,9.42,9.06,9.09,19495448.0
TEVA,2020-01-06,9.0,9.15,8.93,9.07,10950320.0
TEVA,2020-01-07,9.24,9.28,9.08,9.1,10720862.0
TEVA,2020-01-08,9.1,9.13,8.88,8.92,12821694.0
TEVA,2020-01-09,9.0,9.08,8.91,9.02,10461712.0
TEVA,2020-01-10,9.03,9.15,8.96,9.01,7867159.0
TEVA,2020-01-13,9.05,9.18,8.77,9.17,16021622.0
TEVA,2020-01-14,9.17,10.1,9.16,10.04,29969273.0
TEVA,2020-01-15,10.17,10.83,10.17,10.54,32712946.0
TEVA,2020-01-16,10.66,11.12,10.55,10.62,19056380.0
TEVA,2020-01-17,10.67,10.7,10.15,10.2,15848180.0
TEVA,2020-01-21,10.21,10.31,10.01,10.02,14271626.0
TEVA,2020-01-22,10.17,10.55,10.06,10.45,15588307.0
TEVA,2020-01-23,10.38,10.49,10.24,10.39,12051423.0
TEVA,2020-01-24,10.39,10.43,9.94,10.1,14756792.0
TEVA,2020-01-27,9.8,10.14,9.54,10.13,11464613.0
TEVA,2020-01-28,10.22,10.52,10.15,10.21,12838876.0
TEVA,2020-01-29,10.34,10.59,10.24,10.38,15732478.0
TEVA,2020-01-30,10.31,10.5,10.11,10.27,10783850.0
TEVA,2020-01-31,10.25,10.4,10.11,10.4,14613818.0
TEVA,2020-02-03,10.57,11.19,10.49,11.15,28297197.0
TEVA,2020-02-04,11.43,12.5,11.32,12.06,41812011.0
TEVA,2020-02-05,12.23,12.49,11.89,12.1,26101950.0
TEVA,2020-02-06,12.1,12.37,11.98,12.12,16716248.0
TEVA,2020-02-07,12.14,12.17,11.98,12.16,10709593.0
TEVA,2020-02-10,12.25,12.46,12.16,12.35,19240752.0
TEVA,2020-02-11,12.53,12.81,12.29,12.33,29906385.0
TEVA,2020-02-12,13.09,13.76,13.06,13.45,66547427.0
TEVA,2020-02-13,13.39,13.39,12.52,12.57,28344423.0
TEVA,2020-02-14,12.75,12.91,11.72,12.22,32786071.0
TEVA,2020-02-18,12.21,12.46,11.94,12.32,22180495.0
TEVA,2020-02-19,12.51,13.48,12.51,13.45,30303606.0
TEVA,2020-02-20,13.07,13.39,12.92,13.31,22759536.0
TEVA,2020-02-21,13.18,13.32,13.04,13.19,12637835.0
TEVA,2020-02-24,12.58,12.98,12.21,12.7,26166436.0
TEVA,2020-02-25,13.23,13.56,12.9,13.24,25676243.0
TEVA,2020-02-26,13.35,13.49,12.78,13.02,21072726.0
TEVA,2020-02-27,12.68,12.9,12.04,12.21,25942042.0
TEVA,2020-02-28,11.34,11.98,11.01,11.53,30148149.0
TEVA,2020-03-02,11.72,11.85,11.2,11.68,21096915.0
TEVA,2020-03-03,11.74,12.02,10.88,11.21,20970651.0
TEVA,2020-03-04,11.28,11.41,10.98,11.37,17482335.0
TEVA,2020-03-05,10.98,11.14,10.76,10.98,15997880.0
TEVA,2020-03-06,10.61,10.68,10.16,10.3,18336068.0
