Ticker,Date,open,high,low,close,volume
TRU,2020-01-02,85.79,87.82,85.65,87.81,992529.0
TRU,2020-01-03,86.56,88.37,86.54,88.3,1079077.0
TRU,2020-01-06,87.8,88.33,86.03,88.33,1062139.0
TRU,2020-01-07,89.22,89.46,88.65,89.05,1433204.0
TRU,2020-01-08,89.26,90.47,89.25,90.02,799263.0
TRU,2020-01-09,90.53,91.71,90.53,91.25,1635873.0
TRU,2020-01-10,91.5,91.98,90.62,91.02,999081.0
TRU,2020-01-13,90.97,91.89,90.57,91.18,1038034.0
TRU,2020-01-14,91.1,91.28,90.42,90.59,718107.0
TRU,2020-01-15,90.63,92.04,90.59,91.69,1014484.0
TRU,2020-01-16,92.13,92.66,91.59,92.56,652683.0
TRU,2020-01-17,92.56,93.1,92.14,92.85,968606.0
TRU,2020-01-21,92.51,93.61,92.19,93.46,825648.0
TRU,2020-01-22,93.56,94.68,93.56,93.89,969563.0
TRU,2020-01-23,93.3,93.53,92.49,93.43,993982.0
TRU,2020-01-24,93.63,94.01,92.36,92.88,457595.0
TRU,2020-01-27,91.42,93.03,91.17,92.67,896228.0
TRU,2020-01-28,93.0,93.56,92.72,93.22,828075.0
TRU,2020-01-29,93.4,94.17,93.0,93.77,926324.0
TRU,2020-01-30,93.2,93.88,92.4,93.3,784523.0
TRU,2020-01-31,93.18,93.51,91.39,91.7,966985.0
TRU,2020-02-03,92.13,93.65,92.1,92.72,907285.0
TRU,2020-02-04,93.73,95.27,93.73,95.25,1001212.0
TRU,2020-02-05,95.8,96.39,94.2,94.82,681096.0
TRU,2020-02-06,95.03,95.39,94.78,94.96,815804.0
TRU,2020-02-07,94.8,95.49,94.26,94.93,840165.0
TRU,2020-02-10,94.83,95.36,94.44,95.36,1506302.0
TRU,2020-02-11,95.74,96.15,94.86,95.07,1191450.0
TRU,2020-02-12,95.24,96.1,93.66,94.51,1443842.0
TRU,2020-02-13,94.3,97.8,94.3,97.1,2208733.0
TRU,2020-02-14,97.26,98.25,96.98,98.13,3066662.0
TRU,2020-02-18,100.23,100.37,96.26,98.16,2667633.0
TRU,2020-02-19,98.5,101.16,98.25,100.31,1676567.0
TRU,2020-02-20,100.15,100.65,97.85,100.35,2133756.0
TRU,2020-02-21,100.0,100.0,97.04,97.4,1655774.0
TRU,2020-02-24,95.46,97.83,94.91,97.06,1893588.0
TRU,2020-02-25,97.14,97.98,93.94,94.74,1073479.0
TRU,2020-02-26,95.7,97.02,93.99,94.15,1081317.0
TRU,2020-02-27,92.49,92.77,90.1,90.1,1981725.0
TRU,2020-02-28,88.0,88.92,86.17,88.92,2585000.0
TRU,2020-03-02,89.48,92.9,89.2,92.65,1616917.0
TRU,2020-03-03,92.82,94.61,89.61,91.07,1522836.0
TRU,2020-03-04,93.11,96.2,92.07,96.19,1539093.0
TRU,2020-03-05,94.48,95.53,91.3,92.56,1832299.0
TRU,2020-03-06,90.13,90.5,85.89,88.21,1926386.0
TRU,2020-03-09,82.8,85.62,81.13,81.41,1472298.0
TRU,2020-03-10,84.07,86.66,81.49,86.48,1752142.0
TRU,2020-03-11,84.31,85.3,79.03,80.0,2401713.0
TRU,2020-03-12,70.0,77.0,66.5,72.48,2755457.0
TRU,2020-03-13,75.62,76.28,69.01,75.04,2590560.0
TRU,2020-03-16,65.0,67.72,63.03,65.79,2464263.0
TRU,2020-03-17,66.91,68.59,63.54,68.2,2629580.0
TRU,2020-03-18,63.68,64.53,55.3,58.96,2524896.0
TRU,2020-03-19,58.98,61.94,56.1,58.67,2467303.0
TRU,2020-03-20,59.96,61.96,54.73,54.98,2623824.0
TRU,2020-03-23,54.57,58.75,52.5,56.49,1912097.0
TRU,2020-03-24,60.04,62.06,57.96,61.69,1870553.0
TRU,2020-03-25,62.09,67.92,60.79,65.77,2567662.0
TRU,2020-03-26,66.78,71.43,65.67,70.7,2953770.0
TRU,2020-03-27,67.5,69.13,65.92,66.26,1803497.0
TRU,2020-03-30,66.24,69.34,65.4,68.18,1526528.0
TRU,2020-03-31,68.04,69.4,65.75,66.18,1120597.0
TRU,2020-04-01,62.76,65.05,61.34,63.32,1034905.0
TRU,2020-04-02,62.53,64.22,60.13,61.85,1359080.0
TRU,2020-04-03,61.28,62.08,58.76,59.05,1107028.0
TRU,2020-04-06,62.27,64.96,62.11,64.63,2937968.0
TRU,2020-04-07,68.71,69.15,66.16,66.24,1985354.0
TRU,2020-04-08,67.19,70.22,66.21,69.5,1782677.0
TRU,2020-04-09,70.49,72.93,69.84,71.49,1520899.0
TRU,2020-04-13,70.11,70.28,65.94,67.82,1622561.0
TRU,2020-04-14,68.73,72.59,68.45,72.34,1699671.0
TRU,2020-04-15,70.03,71.38,69.39,70.9,1463150.0
TRU,2020-04-16,70.82,71.82,69.57,70.7,2439792.0
TRU,2020-04-17,73.18,76.55,73.18,76.18,3434772.0
TRU,2020-04-20,74.85,75.93,72.15,72.85,1857393.0
TRU,2020-04-21,70.14,72.53,69.72,70.26,2584422.0
TRU,2020-04-22,71.61,72.64,70.53,71.74,1195169.0
TRU,2020-04-23,72.05,72.9,70.85,71.22,1335251.0
TRU,2020-04-24,71.39,72.54,69.99,72.13,1413185.0
TRU,2020-04-27,72.82,75.19,72.82,75.06,1314790.0
TRU,2020-04-28,79.13,79.74,75.2,78.11,2810674.0
TRU,2020-04-29,79.7,81.57,78.65,81.14,1691677.0
TRU,2020-04-30,80.0,80.2,78.08,78.79,2056694.0
TRU,2020-05-01,78.66,78.77,76.79,77.04,1231973.0
TRU,2020-05-04,75.56,77.36,75.36,76.46,1291234.0
TRU,2020-05-05,77.42,79.94,77.14,79.0,1226892.0
TRU,2020-05-06,79.34,79.95,77.94,78.28,1035970.0
TRU,2020-05-07,79.27,79.99,78.22,78.78,1350530.0
TRU,2020-05-08,80.29,80.57,78.91,79.11,1676832.0
TRU,2020-05-11,77.99,78.93,77.85,77.91,1308662.0
TRU,2020-05-12,77.93,78.14,74.88,75.05,1507674.0
TRU,2020-05-13,74.74,74.94,71.83,72.8,1004255.0
TRU,2020-05-14,71.89,74.41,71.19,74.34,1058186.0
TRU,2020-05-15,73.47,75.7,72.93,75.62,1025752.0
TRU,2020-05-18,80.03,80.18,78.71,78.91,1532386.0
TRU,2020-05-19,78.7,79.8,78.41,78.5,711933.0
TRU,2020-05-20,80.0,82.4,79.73,81.8,1512341.0
TRU,2020-05-21,81.32,82.23,81.03,81.1,1441582.0
TRU,2020-05-22,81.38,81.51,80.0,80.56,1424691.0
TRU,2020-05-26,82.67,85.99,82.48,84.89,1816373.0
TRU,2020-05-27,86.06,86.87,83.52,85.68,1702279.0
