Ticker,Date,open,high,low,close,volume
TSM,2020-01-02,59.6,60.12,59.6,60.04,8377256.0
TSM,2020-01-03,58.97,58.98,58.04,58.06,10547692.0
TSM,2020-01-06,57.6,57.69,57.13,57.39,8899372.0
TSM,2020-01-07,57.45,58.6,56.74,58.32,7508566.0
TSM,2020-01-08,58.19,58.98,58.11,58.75,5385681.0
TSM,2020-01-09,59.69,59.7,58.7,59.23,5113099.0
TSM,2020-01-10,59.7,59.7,58.77,58.86,4808160.0
TSM,2020-01-13,60.15,60.16,59.45,60.06,6617314.0
TSM,2020-01-14,60.16,60.64,59.92,60.32,6719190.0
TSM,2020-01-15,59.67,59.7,58.26,58.39,10075111.0
TSM,2020-01-16,59.2,59.69,58.3,58.75,11215740.0
TSM,2020-01-17,58.64,58.75,58.01,58.58,8125689.0
TSM,2020-01-21,57.99,58.99,57.47,58.24,9873708.0
TSM,2020-01-22,58.9,58.94,58.31,58.35,8124475.0
TSM,2020-01-23,57.86,58.07,56.62,57.48,9999164.0
TSM,2020-01-24,58.09,58.14,57.45,57.73,10402164.0
TSM,2020-01-27,55.62,55.99,55.06,55.26,9675548.0
TSM,2020-01-28,55.73,57.12,55.48,57.09,8124413.0
TSM,2020-01-29,57.52,57.52,56.85,57.19,7693913.0
TSM,2020-01-30,55.08,56.03,55.06,55.8,10295686.0
TSM,2020-01-31,55.43,55.48,53.6,53.94,13467191.0
TSM,2020-02-03,54.35,54.94,54.14,54.77,9595962.0
TSM,2020-02-04,56.92,57.63,56.9,57.52,12746636.0
TSM,2020-02-05,58.1,58.15,57.17,57.92,6594437.0
TSM,2020-02-06,58.27,58.28,57.27,58.02,4236307.0
TSM,2020-02-07,57.14,57.14,56.06,56.2,6808673.0
TSM,2020-02-10,56.44,57.05,56.34,57.02,4281235.0
TSM,2020-02-11,57.95,58.9,57.81,58.66,6523223.0
TSM,2020-02-12,59.25,59.75,58.9,59.63,5962850.0
TSM,2020-02-13,59.13,59.7,58.73,59.33,6460063.0
TSM,2020-02-14,59.02,59.17,57.87,58.19,6932372.0
TSM,2020-02-18,56.1,56.56,55.63,56.18,10994088.0
TSM,2020-02-19,57.25,57.94,57.0,57.64,7866300.0
TSM,2020-02-20,56.94,57.04,55.81,56.48,7192924.0
TSM,2020-02-21,56.65,56.65,55.52,55.59,6820252.0
TSM,2020-02-24,53.55,54.69,53.18,54.12,9968754.0
TSM,2020-02-25,55.33,55.47,53.83,53.86,12670736.0
TSM,2020-02-26,54.49,55.41,54.38,55.03,10971115.0
TSM,2020-02-27,54.2,54.6,53.27,53.29,11878851.0
TSM,2020-02-28,51.35,54.05,51.0,53.84,13607675.0
