Ticker,Date,open,high,low,close,volume
TWLO,2020-01-02,100.01,103.15,99.66,103.15,2875482.0
TWLO,2020-01-03,101.1,104.55,100.76,103.52,2503764.0
TWLO,2020-01-06,102.74,107.74,101.77,107.46,3940147.0
TWLO,2020-01-07,107.63,109.94,107.37,108.06,2665019.0
TWLO,2020-01-08,108.8,110.82,108.2,109.39,3035889.0
TWLO,2020-01-09,111.33,113.15,110.36,113.02,3791862.0
TWLO,2020-01-10,115.0,116.49,114.05,115.74,4634159.0
TWLO,2020-01-13,117.29,120.45,116.85,120.34,3830293.0
TWLO,2020-01-14,120.07,120.87,117.21,119.02,3140583.0
TWLO,2020-01-15,119.43,123.78,119.22,119.88,4913596.0
TWLO,2020-01-16,121.24,121.6,118.3,119.58,3204426.0
TWLO,2020-01-17,119.22,120.48,118.05,119.36,2592646.0
TWLO,2020-01-21,118.9,120.53,117.23,119.08,2319356.0
TWLO,2020-01-22,119.85,120.9,118.92,119.12,2294045.0
TWLO,2020-01-23,120.0,121.83,118.83,120.8,3423678.0
TWLO,2020-01-24,122.01,123.37,119.55,121.38,2930492.0
TWLO,2020-01-27,116.92,121.11,115.02,120.55,2174332.0
TWLO,2020-01-28,122.43,125.78,121.12,122.76,3785003.0
TWLO,2020-01-29,123.9,125.19,121.66,123.8,2524335.0
TWLO,2020-01-30,122.5,125.59,122.01,124.81,1927466.0
TWLO,2020-01-31,126.53,127.5,122.96,124.34,3029147.0
TWLO,2020-02-03,124.31,128.18,123.38,128.18,3330195.0
TWLO,2020-02-04,130.39,132.02,128.6,131.9,3345095.0
TWLO,2020-02-05,133.0,133.0,126.4,127.15,6738767.0
TWLO,2020-02-06,120.6,125.66,116.38,117.87,13789461.0
TWLO,2020-02-07,119.78,122.88,117.92,122.21,5547727.0
TWLO,2020-02-10,122.3,126.78,121.59,125.71,3274459.0
TWLO,2020-02-11,126.43,127.17,124.46,125.41,2200287.0
TWLO,2020-02-12,125.56,126.18,122.45,125.92,2165305.0
TWLO,2020-02-13,125.63,130.53,125.0,128.67,3602201.0
TWLO,2020-02-14,128.87,129.73,127.51,127.74,2109461.0
TWLO,2020-02-18,127.5,129.13,126.02,128.14,3168582.0
TWLO,2020-02-19,128.76,129.65,127.92,128.06,1983267.0
TWLO,2020-02-20,128.0,128.56,123.1,126.71,2699443.0
TWLO,2020-02-21,125.38,125.74,120.9,123.27,2567857.0
TWLO,2020-02-24,115.0,118.6,113.03,117.94,4120249.0
TWLO,2020-02-25,119.0,120.13,111.67,112.31,4468557.0
TWLO,2020-02-26,113.11,115.84,111.12,112.96,2606035.0
TWLO,2020-02-27,107.52,114.9,105.27,110.91,3419934.0
TWLO,2020-02-28,105.97,112.65,105.73,112.64,3822179.0
TWLO,2020-03-02,113.7,114.25,108.01,111.48,3218402.0
TWLO,2020-03-03,111.57,112.28,102.26,105.37,5310648.0
TWLO,2020-03-04,106.86,107.26,103.83,104.88,3986004.0
TWLO,2020-03-05,103.81,108.58,102.84,105.99,2916157.0
TWLO,2020-03-06,103.5,104.35,98.58,101.77,3457238.0
TWLO,2020-03-09,92.88,98.99,91.0,93.05,3741722.0
TWLO,2020-03-10,96.47,96.81,89.55,92.61,5083340.0
TWLO,2020-03-11,90.18,92.42,85.18,87.01,4504334.0
TWLO,2020-03-12,77.08,82.82,75.75,78.34,5301763.0
TWLO,2020-03-13,83.18,83.18,73.72,79.99,5845318.0
TWLO,2020-03-16,69.42,77.99,68.06,71.7,3437685.0
TWLO,2020-03-17,72.23,80.66,72.23,77.62,3612704.0
TWLO,2020-03-18,72.57,78.46,70.26,74.09,2755016.0
TWLO,2020-03-19,74.25,83.31,71.57,82.5,4208960.0
TWLO,2020-03-20,83.22,89.39,83.01,84.14,3763407.0
