Ticker,Date,open,high,low,close,volume
TWOU,2020-01-02,24.16,24.32,23.33,23.53,641980.0
TWOU,2020-01-03,23.12,23.57,23.01,23.21,469239.0
TWOU,2020-01-06,22.96,24.1,22.79,23.97,912707.0
TWOU,2020-01-07,24.17,24.31,23.89,23.96,691503.0
TWOU,2020-01-08,24.1,24.32,23.02,24.0,715469.0
TWOU,2020-01-09,24.19,24.22,23.25,23.33,723610.0
TWOU,2020-01-10,23.36,23.36,21.29,21.51,1983340.0
TWOU,2020-01-13,21.64,22.17,20.95,21.21,1800250.0
TWOU,2020-01-14,21.13,21.73,20.8,21.46,1633352.0
TWOU,2020-01-15,21.46,22.02,21.13,21.21,699520.0
TWOU,2020-01-16,21.3,21.88,21.18,21.77,799726.0
TWOU,2020-01-17,21.9,24.9,21.55,22.84,3967068.0
TWOU,2020-01-21,22.66,22.91,21.86,21.92,1031286.0
TWOU,2020-01-22,22.0,22.38,21.59,21.64,742664.0
TWOU,2020-01-23,21.62,21.8,21.03,21.47,576410.0
TWOU,2020-01-24,21.55,21.65,19.62,19.78,2215069.0
TWOU,2020-01-27,19.2,19.68,18.8,18.84,1038329.0
TWOU,2020-01-28,19.0,19.9,18.89,19.83,942949.0
TWOU,2020-01-29,20.3,20.32,19.39,19.61,945529.0
TWOU,2020-01-30,19.38,20.11,19.36,20.05,764554.0
TWOU,2020-01-31,19.87,20.31,19.57,19.81,910992.0
TWOU,2020-02-03,19.79,20.16,19.68,20.0,1744206.0
TWOU,2020-02-04,20.53,21.24,20.0,21.23,1726450.0
TWOU,2020-02-05,21.62,22.09,21.2,21.88,1187677.0
TWOU,2020-02-06,21.93,23.1,21.85,22.74,1431568.0
TWOU,2020-02-07,23.73,25.64,23.66,25.33,3188307.0
TWOU,2020-02-10,25.37,26.34,22.91,23.23,2180589.0
TWOU,2020-02-11,23.32,25.6,23.32,25.17,2069367.0
TWOU,2020-02-12,25.44,25.68,24.6,24.71,1154105.0
TWOU,2020-02-13,24.4,25.07,24.1,24.98,874431.0
TWOU,2020-02-14,24.99,25.31,24.51,25.13,812985.0
TWOU,2020-02-18,24.93,25.25,24.52,25.17,518446.0
TWOU,2020-02-19,25.23,25.29,24.35,24.51,850515.0
TWOU,2020-02-20,24.5,26.69,24.5,24.99,1329982.0
TWOU,2020-02-21,24.81,25.69,24.37,24.69,794215.0
TWOU,2020-02-24,23.46,25.58,23.32,25.22,1441456.0
TWOU,2020-02-25,25.38,25.68,23.89,24.13,841362.0
TWOU,2020-02-26,24.2,25.13,22.95,22.97,670534.0
TWOU,2020-02-27,22.28,23.78,21.66,22.97,975264.0
TWOU,2020-02-28,21.96,23.51,21.82,23.51,1034297.0
TWOU,2020-03-02,23.8,24.75,22.81,24.7,1096958.0
TWOU,2020-03-03,24.88,26.36,24.42,25.5,1036042.0
TWOU,2020-03-04,26.0,28.39,25.54,28.28,1661038.0
TWOU,2020-03-05,27.65,28.36,26.54,27.86,1492266.0
TWOU,2020-03-06,26.94,30.06,26.55,26.82,2390800.0
TWOU,2020-03-09,24.51,27.36,23.29,27.12,1227247.0
TWOU,2020-03-10,28.68,29.7,27.9,28.6,2688152.0
TWOU,2020-03-11,28.15,28.95,26.54,26.75,1656368.0
TWOU,2020-03-12,24.41,27.05,24.0,24.95,2235733.0
TWOU,2020-03-13,26.09,26.47,20.47,24.91,2599275.0
TWOU,2020-03-16,23.87,25.47,19.72,19.75,1528499.0
TWOU,2020-03-17,19.55,20.0,17.07,17.46,2042880.0
TWOU,2020-03-18,16.76,17.78,11.51,12.51,1849101.0
TWOU,2020-03-19,12.86,16.98,12.07,15.74,1954505.0
TWOU,2020-03-20,16.25,17.06,15.12,15.98,2270104.0
TWOU,2020-03-23,16.04,17.35,15.61,16.62,2462299.0
TWOU,2020-03-24,17.7,19.91,16.9,18.79,1894227.0
TWOU,2020-03-25,19.15,19.75,17.88,18.53,1391270.0
TWOU,2020-03-26,18.88,21.91,18.47,21.76,2808581.0
TWOU,2020-03-27,20.99,23.19,20.13,21.98,4016706.0
TWOU,2020-03-30,22.12,22.96,21.39,22.71,1186462.0
TWOU,2020-03-31,22.5,22.7,20.09,21.22,1207668.0
TWOU,2020-04-01,21.51,21.73,18.13,18.55,1279979.0
TWOU,2020-04-02,18.62,20.69,18.16,19.29,1485923.0
TWOU,2020-04-03,19.2,19.53,17.41,17.88,1388725.0
TWOU,2020-04-06,18.66,19.99,18.19,19.9,1098784.0
TWOU,2020-04-07,20.62,21.26,19.68,20.45,956978.0
TWOU,2020-04-08,21.04,22.67,20.6,21.73,842465.0
TWOU,2020-04-09,22.34,23.17,21.94,22.51,910475.0
TWOU,2020-04-13,22.78,22.91,21.65,22.55,849293.0
TWOU,2020-04-14,23.6,25.17,23.24,24.26,1688519.0
TWOU,2020-04-15,23.18,24.32,23.0,23.49,872063.0
TWOU,2020-04-16,23.59,24.21,22.49,22.62,763413.0
TWOU,2020-04-17,23.32,24.6,22.8,23.97,947720.0
TWOU,2020-04-20,22.35,22.72,21.25,22.17,3417328.0
TWOU,2020-04-21,20.77,22.16,20.25,21.31,5797657.0
TWOU,2020-04-22,22.04,22.04,21.13,21.63,1833161.0
TWOU,2020-04-23,21.92,22.33,20.99,21.11,1527313.0
TWOU,2020-04-24,21.06,22.33,20.57,21.94,1763736.0
TWOU,2020-04-27,22.33,23.18,21.98,23.02,1976234.0
TWOU,2020-04-28,23.67,23.74,21.77,21.93,1321833.0
TWOU,2020-04-29,22.22,23.89,21.85,23.58,1576852.0
TWOU,2020-04-30,22.75,24.15,22.69,23.75,1387675.0
TWOU,2020-05-01,23.79,25.4,23.65,23.84,4453595.0
TWOU,2020-05-04,24.02,25.4,23.87,25.4,3815976.0
TWOU,2020-05-05,26.7,28.89,26.51,27.71,4852239.0
TWOU,2020-05-06,27.51,28.68,27.5,27.78,2246325.0
TWOU,2020-05-07,28.21,28.65,27.29,28.61,2497935.0
TWOU,2020-05-08,28.8,30.63,28.64,30.28,2542939.0
TWOU,2020-05-11,30.0,32.63,29.63,31.34,3404835.0
TWOU,2020-05-12,31.5,31.88,30.01,30.23,1985013.0
TWOU,2020-05-13,30.61,33.18,29.83,32.57,5207454.0
TWOU,2020-05-14,32.09,32.9,31.25,32.41,2027363.0
TWOU,2020-05-15,32.31,35.18,31.79,34.39,1966942.0
TWOU,2020-05-18,35.13,36.28,34.13,34.28,1909799.0
TWOU,2020-05-19,34.23,35.01,34.14,34.23,1582624.0
TWOU,2020-05-20,34.95,36.23,34.9,35.73,1188690.0
TWOU,2020-05-21,36.51,36.7,34.73,35.42,1534309.0
TWOU,2020-05-22,36.16,36.82,35.05,36.79,976729.0
TWOU,2020-05-26,38.16,38.35,35.54,35.72,2586579.0
