Ticker,Date,open,high,low,close,volume
TXG,2020-01-02,76.91,77.99,71.48,72.83,220198.0
TXG,2020-01-03,71.52,76.19,70.58,75.56,288316.0
TXG,2020-01-06,75.27,77.35,73.56,75.55,220670.0
TXG,2020-01-07,76.0,77.28,75.32,75.98,182702.0
TXG,2020-01-08,76.09,76.95,72.74,74.84,172146.0
TXG,2020-01-09,75.58,77.94,75.5,77.17,183648.0
TXG,2020-01-10,77.64,83.55,77.13,79.75,295837.0
TXG,2020-01-13,80.85,84.71,80.52,83.72,196765.0
TXG,2020-01-14,83.81,85.14,81.64,84.61,152147.0
TXG,2020-01-15,85.46,90.37,85.14,85.8,308071.0
TXG,2020-01-16,86.82,87.15,84.01,85.89,126018.0
TXG,2020-01-17,86.11,87.76,80.27,83.63,140668.0
TXG,2020-01-21,84.99,88.86,83.01,87.75,207616.0
TXG,2020-01-22,89.54,96.74,89.2,91.81,395216.0
TXG,2020-01-23,92.35,95.06,90.0,95.06,197343.0
TXG,2020-01-24,95.46,101.0,94.16,100.79,328164.0
TXG,2020-01-27,99.76,104.89,97.02,103.21,334901.0
TXG,2020-01-28,104.62,108.27,103.3,106.62,245356.0
TXG,2020-01-29,107.78,108.36,98.03,99.29,284832.0
TXG,2020-01-30,99.0,99.27,89.68,93.55,370312.0
TXG,2020-01-31,93.8,96.74,89.11,91.39,214731.0
TXG,2020-02-03,91.25,96.66,91.0,93.82,141160.0
TXG,2020-02-04,95.46,96.01,90.23,90.72,152517.0
TXG,2020-02-05,91.13,93.11,90.03,92.01,114336.0
TXG,2020-02-06,92.27,95.33,90.53,91.19,125780.0
TXG,2020-02-07,92.7,93.0,86.16,88.98,222451.0
TXG,2020-02-10,89.46,91.42,87.5,88.37,97814.0
TXG,2020-02-11,88.87,90.01,83.53,87.25,286737.0
TXG,2020-02-12,86.56,87.21,84.9,86.66,137853.0
TXG,2020-02-13,87.7,90.77,86.04,86.77,121850.0
TXG,2020-02-14,87.67,94.28,86.35,92.57,265645.0
TXG,2020-02-18,93.0,93.86,86.65,90.22,290265.0
TXG,2020-02-19,86.41,93.8,82.1,90.6,992275.0
TXG,2020-02-20,90.39,90.99,84.0,85.44,278961.0
TXG,2020-02-21,85.06,85.47,78.68,82.0,618359.0
TXG,2020-02-24,78.1,80.61,75.54,79.95,306467.0
TXG,2020-02-25,79.24,80.0,72.75,73.57,559782.0
TXG,2020-02-26,73.96,80.23,73.01,75.18,434314.0
TXG,2020-02-27,73.49,76.5,71.17,72.73,226112.0
TXG,2020-02-28,70.03,79.83,70.03,79.7,314878.0
TXG,2020-03-02,80.44,81.48,75.02,79.37,418703.0
TXG,2020-03-03,79.52,81.14,75.0,76.95,331784.0
TXG,2020-03-04,78.71,78.71,72.87,77.42,354791.0
TXG,2020-03-05,77.3,78.17,71.59,72.59,340086.0
TXG,2020-03-06,69.42,71.5,62.06,71.28,3934680.0
TXG,2020-03-09,63.52,68.32,62.51,65.29,721022.0
TXG,2020-03-10,65.95,67.18,60.9,66.5,921766.0
TXG,2020-03-11,62.91,64.0,57.41,60.76,1066856.0
TXG,2020-03-12,55.12,60.0,50.81,59.6,661268.0
TXG,2020-03-13,60.0,62.69,55.56,57.36,726143.0
TXG,2020-03-16,51.0,60.99,51.0,55.55,693479.0
TXG,2020-03-17,55.47,61.71,53.85,59.88,430657.0
TXG,2020-03-18,57.55,59.49,54.39,58.0,584510.0
TXG,2020-03-19,57.07,58.5,51.97,55.0,1125751.0
TXG,2020-03-20,53.78,56.78,52.51,55.78,1342463.0
TXG,2020-03-23,55.56,55.99,48.78,51.57,1261428.0
TXG,2020-03-24,53.75,57.81,53.75,57.11,694187.0
TXG,2020-03-25,57.01,62.59,55.18,59.99,535119.0
TXG,2020-03-26,60.0,63.99,59.99,61.04,307447.0
TXG,2020-03-27,60.4,62.1,59.25,59.99,148529.0
TXG,2020-03-30,61.16,63.84,58.06,62.8,418759.0
TXG,2020-03-31,63.36,63.36,60.32,62.32,286194.0
TXG,2020-04-01,59.8,60.96,57.01,58.39,424543.0
TXG,2020-04-02,58.12,60.65,56.81,59.74,344168.0
TXG,2020-04-03,59.45,61.4,58.04,58.69,422222.0
TXG,2020-04-06,59.13,62.5,59.13,62.27,628943.0
TXG,2020-04-07,62.96,63.05,58.11,60.85,607171.0
TXG,2020-04-08,60.33,64.55,59.36,64.32,494420.0
TXG,2020-04-09,64.99,66.31,62.78,65.92,595130.0
TXG,2020-04-13,66.4,67.48,62.7,64.89,353073.0
TXG,2020-04-14,64.22,67.0,62.87,66.75,949947.0
TXG,2020-04-15,66.12,67.48,64.65,66.8,396333.0
TXG,2020-04-16,67.48,68.72,66.26,68.5,452158.0
TXG,2020-04-17,69.48,71.91,69.28,71.16,676031.0
TXG,2020-04-20,68.42,74.98,67.75,74.2,692412.0
TXG,2020-04-21,74.48,75.42,73.55,74.58,738500.0
TXG,2020-04-22,76.57,76.57,75.01,76.0,647756.0
TXG,2020-04-23,75.4,76.42,72.82,73.94,631885.0
TXG,2020-04-24,73.08,74.52,72.78,74.0,701685.0
TXG,2020-04-27,75.0,76.77,74.09,76.19,1117800.0
TXG,2020-04-28,76.72,77.44,75.31,76.26,522170.0
TXG,2020-04-29,77.4,82.36,76.25,81.75,1096315.0
TXG,2020-04-30,81.06,82.4,78.66,79.87,577030.0
TXG,2020-05-01,78.51,79.8,76.01,78.41,613999.0
TXG,2020-05-04,78.33,78.94,76.82,77.91,360230.0
TXG,2020-05-05,79.13,80.14,77.59,78.17,664096.0
TXG,2020-05-06,78.29,79.5,77.03,78.7,352083.0
TXG,2020-05-07,79.51,81.47,78.41,80.81,599343.0
TXG,2020-05-08,80.98,84.4,80.5,82.96,532876.0
TXG,2020-05-11,83.0,85.12,82.08,82.1,786340.0
TXG,2020-05-12,79.55,83.0,74.0,82.59,1392465.0
TXG,2020-05-13,81.01,83.5,78.37,80.08,948558.0
TXG,2020-05-14,74.53,79.37,72.36,78.97,1387959.0
TXG,2020-05-15,78.08,80.0,77.6,77.95,520272.0
TXG,2020-05-18,78.0,80.97,76.92,77.2,879493.0
TXG,2020-05-19,77.3,79.71,77.3,78.2,1019612.0
TXG,2020-05-20,79.0,80.5,77.71,78.0,1054333.0
TXG,2020-05-21,78.16,78.47,75.33,76.0,512825.0
TXG,2020-05-22,75.59,75.59,72.04,74.85,1056012.0
TXG,2020-05-26,75.89,78.79,74.85,76.0,690616.0
TXG,2020-05-27,75.7,78.0,74.01,77.66,535642.0
TXG,2020-05-28,78.28,79.39,76.26,76.29,357677.0
TXG,2020-05-29,76.56,78.19,76.01,77.97,876972.0
TXG,2020-06-01,77.98,82.36,76.6,81.95,1226875.0
TXG,2020-06-02,81.91,82.24,79.95,80.5,776590.0
TXG,2020-06-03,81.17,86.9,80.6,85.91,1655971.0
TXG,2020-06-04,84.41,84.75,78.52,79.7,1288309.0
TXG,2020-06-05,80.26,82.53,78.68,82.38,722834.0
TXG,2020-06-08,83.29,83.32,80.6,81.0,1183930.0
TXG,2020-06-09,80.91,85.53,80.42,83.09,678503.0
TXG,2020-06-10,83.54,86.16,83.54,85.5,604114.0
TXG,2020-06-11,84.15,85.21,81.57,81.99,600103.0
TXG,2020-06-12,83.16,84.89,80.9,83.26,894482.0
TXG,2020-06-15,82.76,89.07,80.9,88.42,1658893.0
TXG,2020-06-16,89.98,90.67,87.12,88.46,848208.0
TXG,2020-06-17,89.47,90.9,87.85,88.3,1495786.0
TXG,2020-06-18,87.9,89.81,87.75,88.84,1259488.0
TXG,2020-06-19,89.55,90.85,87.47,88.14,1893740.0
TXG,2020-06-22,88.2,89.43,86.09,89.13,1275932.0
