Ticker,Date,open,high,low,close,volume
U,2020-09-18,75.0,76.79,67.0,68.35,20620981.0
U,2020-09-21,67.11,73.98,65.11,72.96,5055201.0
U,2020-09-22,76.64,84.98,75.11,84.82,6893682.0
U,2020-09-23,88.67,88.88,79.9,81.85,4343874.0
U,2020-09-24,77.75,83.89,75.7,83.2,2487241.0
U,2020-09-25,84.79,93.36,84.25,89.85,3681670.0
U,2020-09-28,94.46,100.0,94.1,95.8,3999879.0
U,2020-09-29,98.16,102.63,93.5,94.92,2818379.0
U,2020-09-30,94.9,96.36,85.03,87.28,3670659.0
U,2020-10-01,89.33,90.97,83.5,84.56,4530848.0
U,2020-10-02,81.55,87.62,81.55,83.53,2771333.0
U,2020-10-05,85.83,85.85,82.3,84.0,1260519.0
U,2020-10-06,84.61,84.76,82.71,82.79,1014436.0
U,2020-10-07,84.04,89.5,83.76,88.65,1767750.0
U,2020-10-08,91.19,93.5,88.8,91.4,1892944.0
U,2020-10-09,92.85,100.42,92.7,99.11,2587670.0
U,2020-10-12,100.13,101.0,89.8,90.0,3867995.0
U,2020-10-13,92.35,94.78,91.0,92.11,2000670.0
U,2020-10-14,93.52,96.1,89.2,90.02,2199777.0
U,2020-10-15,88.2,93.39,87.0,91.43,1365848.0
U,2020-10-16,92.19,93.6,90.88,92.56,960312.0
U,2020-10-19,94.0,95.4,88.21,89.3,1669136.0
U,2020-10-20,89.83,90.62,86.1,87.15,1224848.0
U,2020-10-21,87.27,91.27,87.27,91.0,1270210.0
U,2020-10-22,90.82,101.0,88.28,100.96,4738063.0
U,2020-10-23,101.0,103.97,93.0,97.28,3246221.0
U,2020-10-26,98.0,103.49,91.63,99.96,2933307.0
U,2020-10-27,100.0,108.35,95.5,104.0,5984257.0
U,2020-10-28,100.0,102.0,96.2,99.76,2391453.0
U,2020-10-29,101.79,109.28,98.5,108.84,2805257.0
U,2020-10-30,105.81,107.3,92.22,94.88,5104520.0
U,2020-11-02,96.67,98.69,93.37,94.13,2514458.0
U,2020-11-03,96.0,99.5,94.6,98.07,2161629.0
U,2020-11-04,101.81,106.88,100.5,106.45,2788945.0
U,2020-11-05,110.0,112.79,107.23,110.76,2106629.0
U,2020-11-06,110.5,119.88,108.15,119.0,1727745.0
U,2020-11-09,116.88,117.03,102.41,102.85,3158657.0
U,2020-11-10,106.06,106.19,98.0,99.66,2447126.0
U,2020-11-11,102.76,106.5,101.53,105.58,1663723.0
U,2020-11-12,105.0,106.53,99.51,101.74,2968206.0
U,2020-11-13,100.0,116.86,100.0,114.77,4781654.0
U,2020-11-16,109.0,112.5,105.37,111.51,4675012.0
U,2020-11-17,107.83,122.95,107.83,118.05,3710751.0
U,2020-11-18,119.19,119.27,113.51,115.01,1897191.0
U,2020-11-19,115.01,118.5,114.0,116.31,1663753.0
U,2020-11-20,117.31,124.18,116.34,122.8,2691957.0
U,2020-11-23,123.31,129.87,122.6,129.4,2108843.0
