Ticker,Date,open,high,low,close,volume
VCYT,2020-01-02,28.23,28.23,26.69,27.51,488795.0
VCYT,2020-01-03,26.79,26.84,26.13,26.55,547082.0
VCYT,2020-01-06,26.32,26.38,25.36,25.97,495794.0
VCYT,2020-01-07,25.88,26.56,25.51,26.24,558842.0
VCYT,2020-01-08,26.38,27.45,26.3,27.25,778379.0
VCYT,2020-01-09,27.56,28.71,27.56,28.45,574715.0
VCYT,2020-01-10,28.61,29.27,28.58,28.9,626636.0
VCYT,2020-01-13,28.9,29.04,28.09,28.37,401676.0
VCYT,2020-01-14,28.14,28.99,27.83,28.57,353697.0
VCYT,2020-01-15,28.68,29.94,28.68,29.44,445207.0
VCYT,2020-01-16,29.65,30.21,29.46,30.17,437996.0
VCYT,2020-01-17,30.48,30.86,29.93,30.15,345043.0
VCYT,2020-01-21,29.95,30.15,28.33,28.41,416083.0
VCYT,2020-01-22,28.14,29.03,28.0,28.52,269191.0
VCYT,2020-01-23,28.49,28.8,27.63,28.57,297452.0
VCYT,2020-01-24,28.73,28.96,27.29,27.49,277380.0
VCYT,2020-01-27,26.49,27.21,26.06,27.01,592739.0
VCYT,2020-01-28,27.31,27.62,26.81,27.44,267654.0
VCYT,2020-01-29,27.62,27.85,26.96,27.37,253822.0
VCYT,2020-01-30,27.02,27.22,26.27,26.64,153038.0
VCYT,2020-01-31,26.47,26.84,26.0,26.25,467278.0
VCYT,2020-02-03,26.51,27.11,26.38,26.95,437645.0
VCYT,2020-02-04,27.66,28.21,27.11,28.08,375836.0
VCYT,2020-02-05,28.63,28.92,27.43,27.48,307113.0
VCYT,2020-02-06,27.75,27.93,26.15,26.2,246750.0
VCYT,2020-02-07,26.17,26.85,25.8,25.99,304281.0
VCYT,2020-02-10,25.85,26.69,25.65,26.67,270547.0
VCYT,2020-02-11,27.1,27.33,26.46,26.6,237719.0
VCYT,2020-02-12,26.81,26.86,25.38,26.54,306027.0
VCYT,2020-02-13,26.19,26.78,25.71,26.16,304516.0
VCYT,2020-02-14,26.14,27.14,25.82,26.85,259255.0
VCYT,2020-02-18,26.68,27.16,25.94,26.31,190773.0
VCYT,2020-02-19,26.47,27.03,26.15,26.74,274260.0
VCYT,2020-02-20,26.54,26.77,25.6,25.67,336990.0
VCYT,2020-02-21,25.66,25.7,24.65,25.24,593888.0
VCYT,2020-02-24,24.2,24.35,23.61,23.81,521342.0
VCYT,2020-02-25,23.98,24.26,23.03,23.54,489032.0
VCYT,2020-02-26,22.46,23.35,22.22,23.26,1249561.0
VCYT,2020-02-27,22.64,25.12,22.2,23.82,806928.0
VCYT,2020-02-28,22.95,24.73,22.69,24.69,646781.0
VCYT,2020-03-02,24.65,26.22,24.49,26.1,538672.0
VCYT,2020-03-03,26.01,26.15,24.73,24.94,478294.0
VCYT,2020-03-04,25.45,25.9,25.02,25.27,368803.0
VCYT,2020-03-05,24.61,25.59,24.37,24.76,508374.0
VCYT,2020-03-06,24.0,24.54,23.59,23.91,399347.0
VCYT,2020-03-09,22.5,24.5,22.5,24.07,527988.0
VCYT,2020-03-10,24.61,25.48,23.68,25.43,468107.0
VCYT,2020-03-11,24.66,25.12,23.22,23.66,707110.0
VCYT,2020-03-12,21.95,22.14,19.24,19.87,962746.0
VCYT,2020-03-13,20.91,21.22,17.36,21.16,1045588.0
VCYT,2020-03-16,19.46,19.53,18.21,18.75,815105.0
VCYT,2020-03-17,19.26,20.57,17.75,18.45,913602.0
VCYT,2020-03-18,17.49,18.18,13.9,16.13,641311.0
VCYT,2020-03-19,16.46,19.1,15.72,19.02,733284.0
VCYT,2020-03-20,19.17,21.09,18.03,18.39,845109.0
VCYT,2020-03-23,18.84,18.99,16.53,16.85,450628.0
VCYT,2020-03-24,17.33,20.08,17.33,19.66,571325.0
VCYT,2020-03-25,19.63,22.15,18.03,22.01,665584.0
VCYT,2020-03-26,22.13,24.69,21.03,24.6,682368.0
VCYT,2020-03-27,23.59,24.96,22.49,23.16,547333.0
VCYT,2020-03-30,23.38,24.3,22.11,24.17,521292.0
VCYT,2020-03-31,24.0,24.6,22.65,24.31,742288.0
VCYT,2020-04-01,22.47,23.89,20.05,20.28,674211.0
VCYT,2020-04-02,19.97,21.42,19.73,20.94,532345.0
VCYT,2020-04-03,20.85,21.05,19.21,19.49,559451.0
VCYT,2020-04-06,20.08,21.64,19.75,21.36,548513.0
VCYT,2020-04-07,22.22,23.14,21.08,22.71,619852.0
VCYT,2020-04-08,23.1,23.38,22.23,23.23,589892.0
VCYT,2020-04-09,23.79,24.18,21.54,22.45,688340.0
VCYT,2020-04-13,22.43,22.58,21.26,22.27,282228.0
VCYT,2020-04-14,22.96,23.91,22.68,23.61,325399.0
VCYT,2020-04-15,22.93,23.0,21.93,22.13,323016.0
VCYT,2020-04-16,22.48,22.83,21.87,22.75,346572.0
VCYT,2020-04-17,23.21,23.5,21.93,23.19,717470.0
VCYT,2020-04-20,22.5,24.86,22.21,23.28,415475.0
VCYT,2020-04-21,22.59,23.02,21.19,22.52,325445.0
VCYT,2020-04-22,23.07,23.96,22.43,23.39,258292.0
VCYT,2020-04-23,23.47,24.63,23.47,23.74,304888.0
VCYT,2020-04-24,23.74,23.85,23.1,23.41,296949.0
VCYT,2020-04-27,23.94,25.77,23.82,25.26,472493.0
VCYT,2020-04-28,25.96,26.0,25.03,25.46,451672.0
VCYT,2020-04-29,26.15,27.64,25.36,27.46,389801.0
VCYT,2020-04-30,26.91,27.6,26.49,26.97,508266.0
VCYT,2020-05-01,26.3,26.39,25.26,26.17,297017.0
VCYT,2020-05-04,25.79,27.31,25.73,27.31,435965.0
VCYT,2020-05-05,27.65,28.29,26.73,27.25,502902.0
VCYT,2020-05-06,27.44,27.66,26.86,27.18,499751.0
VCYT,2020-05-07,27.4,27.69,24.72,27.21,742203.0
VCYT,2020-05-08,28.0,28.58,27.26,28.11,369089.0
VCYT,2020-05-11,27.32,27.47,26.02,26.55,565350.0
VCYT,2020-05-12,26.58,27.35,25.72,26.41,717413.0
