Ticker,Date,open,high,low,close,volume
VOE,2020-01-02,119.7,119.88,118.45,119.15,465732.0
VOE,2020-01-03,118.2,118.6,118.0,118.31,260240.0
VOE,2020-01-06,117.83,118.31,117.55,118.23,306988.0
VOE,2020-01-07,118.22,118.47,117.84,118.11,195144.0
VOE,2020-01-08,118.17,118.81,118.05,118.37,202660.0
VOE,2020-01-09,118.79,118.84,118.4,118.76,190177.0
VOE,2020-01-10,118.9,118.97,118.3,118.49,183630.0
VOE,2020-01-13,118.61,119.35,118.55,119.31,322353.0
VOE,2020-01-14,119.11,119.93,119.11,119.76,180955.0
VOE,2020-01-15,119.56,120.41,119.45,119.99,222889.0
VOE,2020-01-16,120.48,121.26,120.45,121.26,219577.0
VOE,2020-01-17,121.49,121.6,121.31,121.49,264438.0
VOE,2020-01-21,121.01,121.26,120.74,120.9,244317.0
VOE,2020-01-22,121.11,121.49,120.77,120.93,201858.0
VOE,2020-01-23,120.64,121.46,119.82,121.34,170251.0
VOE,2020-01-24,121.48,121.48,119.51,120.19,210066.0
VOE,2020-01-27,118.6,118.85,118.22,118.4,259872.0
VOE,2020-01-28,118.87,119.78,118.7,119.31,167388.0
VOE,2020-01-29,119.66,119.73,118.83,118.83,216591.0
VOE,2020-01-30,118.08,119.19,117.66,119.14,241621.0
VOE,2020-01-31,118.7,118.7,116.88,117.2,239350.0
VOE,2020-02-03,117.74,118.74,117.74,118.0,416259.0
VOE,2020-02-04,119.22,119.75,119.19,119.23,387049.0
VOE,2020-02-05,120.2,121.26,120.2,121.18,197899.0
VOE,2020-02-06,121.48,121.64,120.75,120.75,183899.0
VOE,2020-02-07,120.37,120.37,119.73,119.85,196707.0
VOE,2020-02-10,119.63,120.37,119.56,120.36,173232.0
VOE,2020-02-11,120.91,121.74,120.91,121.38,190192.0
VOE,2020-02-12,121.91,122.2,121.65,121.9,188794.0
VOE,2020-02-13,121.26,121.78,120.97,121.65,187218.0
VOE,2020-02-14,121.72,121.78,121.09,121.52,217474.0
VOE,2020-02-18,121.32,121.4,120.49,121.07,295486.0
VOE,2020-02-19,121.43,121.75,121.21,121.27,376268.0
VOE,2020-02-20,121.03,121.72,120.56,121.5,224164.0
VOE,2020-02-21,121.02,121.02,120.18,120.37,209095.0
VOE,2020-02-24,117.53,117.95,116.65,117.04,384258.0
VOE,2020-02-25,117.48,117.6,112.86,112.95,566281.0
