Ticker,Date,open,high,low,close,volume
WORK,2020-01-02,22.32,23.16,22.14,23.02,11670361.0
WORK,2020-01-03,22.5,22.92,22.38,22.46,6770915.0
WORK,2020-01-06,22.32,23.66,22.16,23.52,12537608.0
WORK,2020-01-07,23.53,23.95,23.22,23.83,10046420.0
WORK,2020-01-08,23.61,24.26,23.25,23.77,7524125.0
WORK,2020-01-09,23.77,23.96,22.5,23.17,11311847.0
WORK,2020-01-10,23.35,23.44,22.76,23.12,5637093.0
WORK,2020-01-13,23.19,23.51,22.82,23.2,5838692.0
WORK,2020-01-14,22.94,22.94,21.91,22.28,10474495.0
WORK,2020-01-15,22.4,23.23,22.22,22.33,7991924.0
WORK,2020-01-16,22.55,23.3,22.55,22.97,6968278.0
WORK,2020-01-17,23.19,23.24,22.17,22.46,9408681.0
WORK,2020-01-21,22.48,22.68,22.06,22.31,5275884.0
WORK,2020-01-22,22.5,22.75,22.13,22.14,3963955.0
WORK,2020-01-23,22.24,22.29,21.21,21.22,8072998.0
WORK,2020-01-24,21.47,21.8,20.56,20.59,9070499.0
WORK,2020-01-27,20.05,20.5,19.8,20.06,9400441.0
WORK,2020-01-28,20.57,21.18,20.41,20.98,8438194.0
WORK,2020-01-29,21.22,21.27,20.48,20.8,7147264.0
WORK,2020-01-30,20.62,20.73,20.11,20.64,6295298.0
WORK,2020-01-31,20.51,20.78,20.2,20.73,5398811.0
WORK,2020-02-03,20.78,21.1,20.27,20.98,6471885.0
WORK,2020-02-04,21.55,23.59,21.55,23.25,20621060.0
WORK,2020-02-05,23.36,23.66,22.53,23.31,12429006.0
WORK,2020-02-06,23.4,23.48,22.54,22.65,7972435.0
WORK,2020-02-07,22.61,23.07,22.5,22.99,4734953.0
WORK,2020-02-10,23.12,27.89,23.0,26.54,61005953.0
WORK,2020-02-11,24.55,26.03,24.33,25.98,22224031.0
WORK,2020-02-12,26.05,26.37,24.87,25.81,9891652.0
WORK,2020-02-13,25.45,26.66,25.26,26.55,9858935.0
WORK,2020-02-14,27.0,28.38,26.62,27.99,17914540.0
WORK,2020-02-18,28.1,29.37,27.32,27.58,14614220.0
WORK,2020-02-19,27.84,28.34,27.41,27.5,7218983.0
WORK,2020-02-20,27.57,28.08,26.52,27.49,10114791.0
WORK,2020-02-21,29.67,29.7,27.7,28.44,18561009.0
WORK,2020-02-24,27.08,28.38,26.34,27.92,11519521.0
WORK,2020-02-25,28.06,28.3,26.22,26.75,11124629.0
WORK,2020-02-26,27.42,27.7,26.15,26.61,7580207.0
WORK,2020-02-27,25.58,27.08,25.09,26.22,8731474.0
WORK,2020-02-28,25.25,27.04,25.14,27.02,9927870.0
WORK,2020-03-02,27.71,27.71,26.01,27.21,9163811.0
WORK,2020-03-03,27.09,27.27,26.11,26.92,8929896.0
WORK,2020-03-04,27.0,27.81,26.73,27.8,7931775.0
WORK,2020-03-05,27.1,30.47,27.0,28.39,20713829.0
WORK,2020-03-06,28.78,29.19,25.25,26.42,17042088.0
WORK,2020-03-09,24.33,25.05,23.13,24.89,10489148.0
WORK,2020-03-10,26.04,26.1,23.6,25.06,11114447.0
WORK,2020-03-11,24.8,25.28,22.86,23.62,9458762.0
WORK,2020-03-12,21.74,24.48,20.76,21.35,22313149.0
WORK,2020-03-13,21.02,21.02,15.9,19.59,49949452.0
WORK,2020-03-16,16.03,19.43,15.1,17.04,22321421.0
WORK,2020-03-17,17.05,21.37,16.76,19.9,21975493.0
WORK,2020-03-18,17.99,18.7,16.03,18.01,26186729.0
