Ticker,Date,open,high,low,close,volume
XONE,2020-01-02,7.52,7.6,7.41,7.59,47090.0
XONE,2020-01-03,7.48,7.57,7.42,7.47,23133.0
XONE,2020-01-06,7.38,7.55,7.22,7.51,38444.0
XONE,2020-01-07,7.47,7.55,7.39,7.49,23577.0
XONE,2020-01-08,7.54,7.69,7.53,7.6,36627.0
XONE,2020-01-09,7.67,7.77,7.56,7.64,46156.0
XONE,2020-01-10,7.66,7.89,7.51,7.88,55499.0
XONE,2020-01-13,7.85,7.95,7.65,7.65,52624.0
XONE,2020-01-14,7.66,7.84,7.61,7.76,33344.0
XONE,2020-01-15,7.69,7.88,7.55,7.68,62573.0
XONE,2020-01-16,7.68,7.7,7.07,7.07,149946.0
XONE,2020-01-17,7.06,7.27,7.02,7.05,59329.0
XONE,2020-01-21,7.05,7.2,7.05,7.15,23173.0
XONE,2020-01-22,7.25,7.35,7.11,7.23,52114.0
XONE,2020-01-23,7.25,7.31,7.13,7.21,37483.0
XONE,2020-01-24,7.19,7.5,7.12,7.5,41734.0
XONE,2020-01-27,7.35,7.44,7.07,7.08,101080.0
XONE,2020-01-28,7.1,7.32,7.1,7.23,29740.0
XONE,2020-01-29,7.17,7.3,7.1,7.16,20405.0
XONE,2020-01-30,7.11,7.15,6.87,6.96,77400.0
XONE,2020-01-31,6.91,7.0,6.88,6.99,41852.0
XONE,2020-02-03,7.0,7.15,6.98,7.07,19154.0
XONE,2020-02-04,7.1,7.15,7.04,7.05,22055.0
XONE,2020-02-05,7.07,7.29,7.01,7.12,28606.0
XONE,2020-02-06,7.1,7.1,6.95,6.99,14710.0
XONE,2020-02-07,6.96,7.03,6.9,6.95,37747.0
XONE,2020-02-10,6.93,7.06,6.8,7.0,18170.0
XONE,2020-02-11,7.01,7.38,7.01,7.26,57899.0
XONE,2020-02-12,7.29,7.34,7.05,7.28,38873.0
XONE,2020-02-13,7.2,7.34,7.14,7.27,20642.0
XONE,2020-02-14,7.33,7.38,7.21,7.32,27200.0
XONE,2020-02-18,7.25,7.37,7.21,7.33,19126.0
XONE,2020-02-19,7.34,7.53,7.24,7.33,48331.0
XONE,2020-02-20,7.26,7.69,7.26,7.46,62248.0
XONE,2020-02-21,7.4,7.55,7.15,7.15,27893.0
XONE,2020-02-24,7.1,7.35,6.87,7.2,40501.0
XONE,2020-02-25,7.11,7.11,6.56,6.65,91928.0
XONE,2020-02-26,6.61,6.86,6.41,6.58,95814.0
XONE,2020-02-27,6.71,7.25,6.22,6.43,93760.0
XONE,2020-02-28,6.11,6.33,6.02,6.1,102147.0
XONE,2020-03-02,6.08,7.09,6.06,6.56,73335.0
XONE,2020-03-03,6.69,6.86,6.34,6.44,38603.0
XONE,2020-03-04,6.47,6.62,6.29,6.45,18859.0
XONE,2020-03-05,6.29,6.4,6.0,6.06,95751.0
XONE,2020-03-06,6.0,6.0,5.72,5.8,116472.0
XONE,2020-03-09,5.49,5.59,5.03,5.37,135122.0
XONE,2020-03-10,5.68,5.68,5.3,5.42,51348.0
XONE,2020-03-11,5.42,5.43,5.06,5.16,100742.0
XONE,2020-03-12,4.82,4.9,4.18,4.47,95355.0
XONE,2020-03-13,4.47,4.7,4.13,4.15,176930.0
XONE,2020-03-16,3.77,4.19,3.55,3.85,171715.0
XONE,2020-03-17,4.03,4.68,3.95,4.49,106189.0
XONE,2020-03-18,4.57,4.7,4.19,4.52,186361.0
XONE,2020-03-19,4.63,5.19,4.63,5.05,94373.0
