Date,Fund,Company,Ticker,CUSIP,Shares,Market_Value,Weight
2020-11-18,IZRL,ONE SOFTWARE TECHNOLOGIES LT,ONE,6987709,13708.0,1641505.06,3.67
2020-11-18,IZRL,PARTNER COMMUNICATIONS CO,PTNR,6374420,279933.0,1462904.26,3.27
2020-11-18,IZRL,GAMIDA CELL LTD,GMDA,M47364100,212893.0,1405093.8,3.14
2020-11-18,IZRL,CELLCOM ISRAEL LTD,CEL,B23WQK8,284912.0,1396185.36,3.12
2020-11-18,IZRL,ITURAN LOCATION AND CONTROL,ITRN,M6158M104,79695.0,1324530.9,2.96
2020-11-18,IZRL,FIVERR INTERNATIONAL LTD,FVRR,M4R82T106,7116.0,1301160.6,2.91
2020-11-18,IZRL,FATTAL HOLDINGS 1998 LTD,FTAL,BG1YKN5,16473.0,1302118.17,2.91
2020-11-18,IZRL,TOWER SEMICONDUCTOR LTD,TSEM,M87915274,56016.0,1299571.2,2.91
2020-11-18,IZRL,RADA ELECTRONIC INDS LTD,RADA,M81863124,163912.0,1249009.44,2.79
2020-11-18,IZRL,GILAT SATELLITE NETWORKS LTD,GILT,M51474118,220255.0,1200389.75,2.69
2020-11-18,IZRL,DANEL (ADIR YEOSHUA) LTD,DANE,6253433,8946.0,1202168.01,2.69
2020-11-18,IZRL,TARO PHARMACEUTICAL INDUS,TARO,M8737E108,18472.0,1195877.28,2.68
2020-11-18,IZRL,HILAN LTD,HLAN,6267230,25310.0,1172270.13,2.62
2020-11-18,IZRL,NOVA MEASURING INSTRUMENTS,NVMI,M7516K103,19007.0,1168550.36,2.61
2020-11-18,IZRL,INMODE LTD,INMD,M5425M103,27210.0,1163499.6,2.6
2020-11-18,IZRL,SILICOM LTD,SILC,M84116108,31109.0,1159121.34,2.59
2020-11-18,IZRL,TEVA PHARMACEUTICAL-SP ADR,TEVA,881624209,118738.0,1125636.24,2.52
2020-11-18,IZRL,RADWARE LTD,RDWR,M81873107,45101.0,1123916.92,2.51
2020-11-18,IZRL,NICE LTD - SPON ADR,NICE,653656108,4703.0,1099091.1,2.46
2020-11-18,IZRL,ALLOT LTD,ALLT,M0854Q105,108897.0,1092236.91,2.44
2020-11-18,IZRL,ELBIT SYSTEMS LTD,ESLT,6308913,9256.0,1087103.89,2.43
2020-11-18,IZRL,PERION NETWORK LTD,PERI,M78673114,142800.0,1079568.0,2.42
2020-11-18,IZRL,SAPIENS INTERNATIONAL CORP,SPNS,G7T16G103,36338.0,1080692.12,2.42
2020-11-18,IZRL,CAMTEK LTD,CAMT,M20791105,60358.0,1070147.34,2.39
2020-11-18,IZRL,UROGEN PHARMA LTD,URGN UQ,M96088105,48767.0,1057268.56,2.37
2020-11-18,IZRL,MATRIX IT LTD,MTRX,6747754,45814.0,1048111.37,2.35
2020-11-18,IZRL,CYBERARK SOFTWARE LTD/ISRAEL,CYBR,M2682V108,9843.0,1047492.06,2.34
2020-11-18,IZRL,CERAGON NETWORKS LTD,CRNT,M22013102,431010.0,1038734.1,2.32
2020-11-18,IZRL,CHECK POINT SOFTWARE TECH,CHKP,M22465104,8648.0,1016053.52,2.27
2020-11-18,IZRL,PLURISTEM THERAPEUTICS INC,PSTI,72940R300,104785.0,1002792.45,2.24
2020-11-18,IZRL,BEZEQ THE ISRAELI TELECOM CO,BEZQ,6098032,910890.0,996111.68,2.23
2020-11-18,IZRL,POLYPID LTD,PYPD,M8001Q118,101862.0,989080.02,2.21
2020-11-18,IZRL,WIX.COM LTD,WIX,M98068105,3853.0,956199.01,2.14
2020-11-18,IZRL,STRATASYS LTD,SSYS,M85548101,66939.0,939823.56,2.1
2020-11-18,IZRL,KAMADA LTD,KMDA,B0L2CR5,138997.0,918981.57,2.06
2020-11-18,IZRL,AUDIOCODES LTD,AUDC,M15342104,33069.0,875667.12,1.96
2020-11-18,IZRL,REDHILL BIOPHARMA LTD-SP ADR,RDHL,757468103,109958.0,868668.2,1.94
2020-11-18,IZRL,BATM ADVANCED COMMUNICATIONS,BATM,B85PTW0,739108.0,867409.57,1.94
2020-11-18,IZRL,COMPUGEN LTD,CGEN,M25722105,64004.0,840372.52,1.88
2020-11-18,IZRL,AYALA PHARMACEUTICALS INC,AYLA,05465V108,69728.0,745392.32,1.67
2020-11-18,IZRL,BIONDVAX PHARMACEUTICALS-ADR,BVXV,09073Q105,27355.0,76046.9,0.17
